"DATE","CUM10M1","CUM10M2","CUM10M3","CUM10M4","CUM10M5","CUM10M6","CUM10M7","CUM10M8","CUM10M9","CUM10M10","CUM10M11","CUM10M12","CUM11M1","CUM11M2","CUM11M3","CUM11M4","CUM11M5","CUM11M6","CUM11M7","CUM11M8","CUM11M9","CUM11M10","CUM11M11","CUM11M12","CUM12M1","CUM12M2","CUM12M3","CUM12M4","CUM12M5","CUM12M6","CUM12M7","CUM12M8","CUM12M9","CUM12M10","CUM12M11","CUM12M12","CUM13M1","CUM13M2","CUM13M3","CUM13M4","CUM13M5","CUM13M6","CUM13M7","CUM13M8","CUM13M9","CUM13M10","CUM13M11","CUM13M12","CUM14M1","CUM14M2","CUM14M3","CUM14M4","CUM14M5","CUM14M6","CUM14M7","CUM14M8","CUM14M9","CUM14M10","CUM14M11","CUM14M12","CUM15M1","CUM15M2","CUM15M3","CUM15M4","CUM15M5"
"1948:01","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4"
"1948:02","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0"
"1948:03","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4"
"1948:04","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8","82.8"
"1948:05","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3"
"1948:06","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6"
"1948:07","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4"
"1948:08","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7","82.7"
"1948:09","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5"
"1948:10","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7"
