"DATE","EMPLOY64M12","EMPLOY65M1","EMPLOY65M2","EMPLOY65M3","EMPLOY65M4","EMPLOY65M5","EMPLOY65M6","EMPLOY65M7","EMPLOY65M8","EMPLOY65M9","EMPLOY65M10","EMPLOY65M11","EMPLOY65M12","EMPLOY66M1","EMPLOY66M2","EMPLOY66M3","EMPLOY66M4","EMPLOY66M5","EMPLOY66M6","EMPLOY66M7","EMPLOY66M8","EMPLOY66M9","EMPLOY66M10","EMPLOY66M11","EMPLOY66M12","EMPLOY67M1","EMPLOY67M2","EMPLOY67M3","EMPLOY67M4","EMPLOY67M5","EMPLOY67M6","EMPLOY67M7","EMPLOY67M8","EMPLOY67M9","EMPLOY67M10","EMPLOY67M11","EMPLOY67M12","EMPLOY68M1","EMPLOY68M2","EMPLOY68M3","EMPLOY68M4","EMPLOY68M5","EMPLOY68M6","EMPLOY68M7","EMPLOY68M8","EMPLOY68M9","EMPLOY68M10","EMPLOY68M11","EMPLOY68M12","EMPLOY69M1","EMPLOY69M2","EMPLOY69M3","EMPLOY69M4","EMPLOY69M5","EMPLOY69M6","EMPLOY69M7","EMPLOY69M8","EMPLOY69M9","EMPLOY69M10","EMPLOY69M11","EMPLOY69M12"
"1939:01","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0","29762.0"
"1939:02","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0","29913.0"
"1939:03","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0","30161.0"
"1939:04","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0"
"1939:05","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0","30179.0"
"1939:06","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0","30420.0"
"1939:07","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0","30473.0"
"1939:08","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0","30683.0"
"1939:09","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0","31128.0"
"1939:10","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0","31475.0"
