"DATE","EMPLOY70M1","EMPLOY70M2","EMPLOY70M3","EMPLOY70M4","EMPLOY70M5","EMPLOY70M6","EMPLOY70M7","EMPLOY70M8","EMPLOY70M9","EMPLOY70M10","EMPLOY70M11","EMPLOY70M12","EMPLOY71M1","EMPLOY71M2","EMPLOY71M3","EMPLOY71M4","EMPLOY71M5","EMPLOY71M6","EMPLOY71M7","EMPLOY71M8","EMPLOY71M9","EMPLOY71M10","EMPLOY71M11","EMPLOY71M12","EMPLOY72M1","EMPLOY72M2","EMPLOY72M3","EMPLOY72M4","EMPLOY72M5","EMPLOY72M6","EMPLOY72M7","EMPLOY72M8","EMPLOY72M9","EMPLOY72M10","EMPLOY72M11","EMPLOY72M12","EMPLOY73M1","EMPLOY73M2","EMPLOY73M3","EMPLOY73M4","EMPLOY73M5","EMPLOY73M6","EMPLOY73M7","EMPLOY73M8","EMPLOY73M9","EMPLOY73M10","EMPLOY73M11","EMPLOY73M12","EMPLOY74M1","EMPLOY74M2","EMPLOY74M3","EMPLOY74M4","EMPLOY74M5","EMPLOY74M6","EMPLOY74M7","EMPLOY74M8","EMPLOY74M9","EMPLOY74M10","EMPLOY74M11","EMPLOY74M12","EMPLOY75M1","EMPLOY75M2","EMPLOY75M3","EMPLOY75M4","EMPLOY75M5","EMPLOY75M6","EMPLOY75M7","EMPLOY75M8","EMPLOY75M9","EMPLOY75M10","EMPLOY75M11","EMPLOY75M12","EMPLOY76M1","EMPLOY76M2","EMPLOY76M3","EMPLOY76M4","EMPLOY76M5","EMPLOY76M6","EMPLOY76M7","EMPLOY76M8","EMPLOY76M9","EMPLOY76M10","EMPLOY76M11","EMPLOY76M12","EMPLOY77M1","EMPLOY77M2","EMPLOY77M3","EMPLOY77M4","EMPLOY77M5","EMPLOY77M6","EMPLOY77M7","EMPLOY77M8","EMPLOY77M9","EMPLOY77M10","EMPLOY77M11","EMPLOY77M12","EMPLOY78M1","EMPLOY78M2","EMPLOY78M3","EMPLOY78M4","EMPLOY78M5","EMPLOY78M6","EMPLOY78M7","EMPLOY78M8","EMPLOY78M9","EMPLOY78M10","EMPLOY78M11","EMPLOY78M12","EMPLOY79M1","EMPLOY79M2","EMPLOY79M3","EMPLOY79M4","EMPLOY79M5","EMPLOY79M6","EMPLOY79M7","EMPLOY79M8","EMPLOY79M9","EMPLOY79M10","EMPLOY79M11","EMPLOY79M12"
"1939:01","29762.0","29762.0","29762.0","29762.0","29762.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","29750.0","#N/A","#N/A","#N/A"
"1939:02","29913.0","29913.0","29913.0","29913.0","29913.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","29848.0","#N/A","#N/A","#N/A"
"1939:03","30161.0","30161.0","30161.0","30161.0","30161.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","30142.0","#N/A","#N/A","#N/A"
"1939:04","29980.0","29980.0","29980.0","29980.0","29980.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","29980.0","#N/A","#N/A","#N/A"
"1939:05","30179.0","30179.0","30179.0","30179.0","30179.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","30175.0","#N/A","#N/A","#N/A"
"1939:06","30420.0","30420.0","30420.0","30420.0","30420.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","30402.0","#N/A","#N/A","#N/A"
"1939:07","30473.0","30473.0","30473.0","30473.0","30473.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","30464.0","#N/A","#N/A","#N/A"
"1939:08","30683.0","30683.0","30683.0","30683.0","30683.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","30639.0","#N/A","#N/A","#N/A"
"1939:09","31128.0","31128.0","31128.0","31128.0","31128.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","31113.0","#N/A","#N/A","#N/A"
"1939:10","31475.0","31475.0","31475.0","31475.0","31475.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","31486.0","#N/A","#N/A","#N/A"
