"DATE","HG10M1","HG10M2","HG10M3","HG10M4","HG10M5","HG10M6","HG10M7","HG10M8","HG10M9","HG10M10","HG10M11","HG10M12","HG11M1","HG11M2","HG11M3","HG11M4","HG11M5","HG11M6","HG11M7","HG11M8","HG11M9","HG11M10","HG11M11","HG11M12","HG12M1","HG12M2","HG12M3","HG12M4","HG12M5","HG12M6","HG12M7","HG12M8","HG12M9","HG12M10","HG12M11","HG12M12","HG13M1","HG13M2","HG13M3","HG13M4","HG13M5","HG13M6","HG13M7","HG13M8","HG13M9","HG13M10","HG13M11","HG13M12","HG14M1","HG14M2","HG14M3","HG14M4","HG14M5","HG14M6","HG14M7","HG14M8","HG14M9","HG14M10","HG14M11","HG14M12","HG15M1","HG15M2","HG15M3","HG15M4","HG15M5"
"1947:01","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9"
"1947:02","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3"
"1947:03","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4"
"1947:04","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2"
"1947:05","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0"
"1947:06","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5","93.5"
"1947:07","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3","92.3"
"1947:08","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6"
"1947:09","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0"
"1947:10","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3"
"1947:11","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5","94.5"
"1947:12","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7"
"1948:01","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5","95.5"
"1948:02","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9"
"1948:03","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2"
"1948:04","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2"
"1948:05","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9","93.9"
"1948:06","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9"
