"DATE","NCPROFAT65M9","NCPROFAT65M10","NCPROFAT65M11","NCPROFAT65M12","NCPROFAT66M1","NCPROFAT66M2","NCPROFAT66M3","NCPROFAT66M4","NCPROFAT66M5","NCPROFAT66M6","NCPROFAT66M7","NCPROFAT66M8","NCPROFAT66M9","NCPROFAT66M10","NCPROFAT66M11","NCPROFAT66M12","NCPROFAT67M1","NCPROFAT67M2","NCPROFAT67M3","NCPROFAT67M4","NCPROFAT67M5","NCPROFAT67M6","NCPROFAT67M7","NCPROFAT67M8","NCPROFAT67M9","NCPROFAT67M10","NCPROFAT67M11","NCPROFAT67M12","NCPROFAT68M1","NCPROFAT68M2","NCPROFAT68M3","NCPROFAT68M4","NCPROFAT68M5","NCPROFAT68M6","NCPROFAT68M7","NCPROFAT68M8","NCPROFAT68M9","NCPROFAT68M10","NCPROFAT68M11","NCPROFAT68M12","NCPROFAT69M1","NCPROFAT69M2","NCPROFAT69M3","NCPROFAT69M4","NCPROFAT69M5","NCPROFAT69M6","NCPROFAT69M7","NCPROFAT69M8","NCPROFAT69M9","NCPROFAT69M10","NCPROFAT69M11","NCPROFAT69M12"
"1947:Q1","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7","20.7"
"1947:Q2","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6","19.6"
"1947:Q3","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4"
"1947:Q4","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1"
"1948:Q1","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2"
"1948:Q2","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4"
"1948:Q3","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0"
"1948:Q4","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2"
"1949:Q1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1"
"1949:Q2","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7","17.7"
