"DATE","NCPROFATW90M1","NCPROFATW90M2","NCPROFATW90M3","NCPROFATW90M4","NCPROFATW90M5","NCPROFATW90M6","NCPROFATW90M7","NCPROFATW90M8","NCPROFATW90M9","NCPROFATW90M10","NCPROFATW90M11","NCPROFATW90M12","NCPROFATW91M1","NCPROFATW91M2","NCPROFATW91M3","NCPROFATW91M4","NCPROFATW91M5","NCPROFATW91M6","NCPROFATW91M7","NCPROFATW91M8","NCPROFATW91M9","NCPROFATW91M10","NCPROFATW91M11","NCPROFATW91M12","NCPROFATW92M1","NCPROFATW92M2","NCPROFATW92M3","NCPROFATW92M4","NCPROFATW92M5","NCPROFATW92M6","NCPROFATW92M7","NCPROFATW92M8","NCPROFATW92M9","NCPROFATW92M10","NCPROFATW92M11","NCPROFATW92M12","NCPROFATW93M1","NCPROFATW93M2","NCPROFATW93M3","NCPROFATW93M4","NCPROFATW93M5","NCPROFATW93M6","NCPROFATW93M7","NCPROFATW93M8","NCPROFATW93M9","NCPROFATW93M10","NCPROFATW93M11","NCPROFATW93M12","NCPROFATW94M1","NCPROFATW94M2","NCPROFATW94M3","NCPROFATW94M4","NCPROFATW94M5","NCPROFATW94M6","NCPROFATW94M7","NCPROFATW94M8","NCPROFATW94M9","NCPROFATW94M10","NCPROFATW94M11","NCPROFATW94M12","NCPROFATW95M1","NCPROFATW95M2","NCPROFATW95M3","NCPROFATW95M4","NCPROFATW95M5","NCPROFATW95M6","NCPROFATW95M7","NCPROFATW95M8","NCPROFATW95M9","NCPROFATW95M10","NCPROFATW95M11","NCPROFATW95M12","NCPROFATW96M1","NCPROFATW96M2","NCPROFATW96M3","NCPROFATW96M4","NCPROFATW96M5","NCPROFATW96M6","NCPROFATW96M7","NCPROFATW96M8","NCPROFATW96M9","NCPROFATW96M10","NCPROFATW96M11","NCPROFATW96M12","NCPROFATW97M1","NCPROFATW97M2","NCPROFATW97M3","NCPROFATW97M4","NCPROFATW97M5","NCPROFATW97M6","NCPROFATW97M7","NCPROFATW97M8","NCPROFATW97M9","NCPROFATW97M10","NCPROFATW97M11","NCPROFATW97M12","NCPROFATW98M1","NCPROFATW98M2","NCPROFATW98M3","NCPROFATW98M4","NCPROFATW98M5","NCPROFATW98M6","NCPROFATW98M7","NCPROFATW98M8","NCPROFATW98M9","NCPROFATW98M10","NCPROFATW98M11","NCPROFATW98M12","NCPROFATW99M1","NCPROFATW99M2","NCPROFATW99M3","NCPROFATW99M4","NCPROFATW99M5","NCPROFATW99M6","NCPROFATW99M7","NCPROFATW99M8","NCPROFATW99M9","NCPROFATW99M10","NCPROFATW99M11","NCPROFATW99M12"
"1946:Q1","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","#N/A","#N/A"
"1946:Q2","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","8.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","#N/A","#N/A"
"1946:Q3","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","#N/A","#N/A"
"1946:Q4","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","#N/A","#N/A"
"1947:Q1","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","#N/A","#N/A"
"1947:Q2","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","12.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","#N/A","#N/A"
"1947:Q3","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","#N/A","#N/A"
"1947:Q4","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","#N/A","#N/A"
"1948:Q1","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","16.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","17.2","#N/A","#N/A"
"1948:Q2","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","17.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","#N/A","#N/A"
