"DATE","NCPROFATW10M1","NCPROFATW10M2","NCPROFATW10M3","NCPROFATW10M4","NCPROFATW10M5","NCPROFATW10M6","NCPROFATW10M7","NCPROFATW10M8","NCPROFATW10M9","NCPROFATW10M10","NCPROFATW10M11","NCPROFATW10M12","NCPROFATW11M1","NCPROFATW11M2","NCPROFATW11M3","NCPROFATW11M4","NCPROFATW11M5","NCPROFATW11M6","NCPROFATW11M7","NCPROFATW11M8","NCPROFATW11M9","NCPROFATW11M10","NCPROFATW11M11","NCPROFATW11M12","NCPROFATW12M1","NCPROFATW12M2","NCPROFATW12M3","NCPROFATW12M4","NCPROFATW12M5","NCPROFATW12M6","NCPROFATW12M7","NCPROFATW12M8","NCPROFATW12M9","NCPROFATW12M10","NCPROFATW12M11","NCPROFATW12M12","NCPROFATW13M1","NCPROFATW13M2","NCPROFATW13M3","NCPROFATW13M4","NCPROFATW13M5","NCPROFATW13M6","NCPROFATW13M7","NCPROFATW13M8","NCPROFATW13M9","NCPROFATW13M10","NCPROFATW13M11","NCPROFATW13M12","NCPROFATW14M1","NCPROFATW14M2","NCPROFATW14M3","NCPROFATW14M4","NCPROFATW14M5","NCPROFATW14M6","NCPROFATW14M7","NCPROFATW14M8","NCPROFATW14M9","NCPROFATW14M10","NCPROFATW14M11","NCPROFATW14M12","NCPROFATW15M1","NCPROFATW15M2","NCPROFATW15M3","NCPROFATW15M4","NCPROFATW15M5","NCPROFATW15M6","NCPROFATW15M7","NCPROFATW15M8","NCPROFATW15M9","NCPROFATW15M10","NCPROFATW15M11"
"1946:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1946:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1946:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1946:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1947:Q1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9"
"1947:Q2","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5"
"1947:Q3","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8"
"1947:Q4","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3"
"1948:Q1","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.3","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8","17.8"
"1948:Q2","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.0"
