"DATE","NDPI65Q4","NDPI66Q1","NDPI66Q2","NDPI66Q3","NDPI66Q4","NDPI67Q1","NDPI67Q2","NDPI67Q3","NDPI67Q4","NDPI68Q1","NDPI68Q2","NDPI68Q3","NDPI68Q4","NDPI69Q1","NDPI69Q2","NDPI69Q3","NDPI69Q4","NDPI70Q1","NDPI70Q2","NDPI70Q3","NDPI70Q4","NDPI71Q1","NDPI71Q2","NDPI71Q3","NDPI71Q4","NDPI72Q1","NDPI72Q2","NDPI72Q3","NDPI72Q4","NDPI73Q1","NDPI73Q2","NDPI73Q3","NDPI73Q4","NDPI74Q1","NDPI74Q2","NDPI74Q3","NDPI74Q4","NDPI75Q1","NDPI75Q2","NDPI75Q3","NDPI75Q4","NDPI76Q1","NDPI76Q2","NDPI76Q3","NDPI76Q4","NDPI77Q1","NDPI77Q2","NDPI77Q3","NDPI77Q4","NDPI78Q1","NDPI78Q2","NDPI78Q3","NDPI78Q4","NDPI79Q1","NDPI79Q2","NDPI79Q3","NDPI79Q4","NDPI80Q1","NDPI80Q2","NDPI80Q3","NDPI80Q4","NDPI81Q1","NDPI81Q2","NDPI81Q3","NDPI81Q4","NDPI82Q1","NDPI82Q2","NDPI82Q3","NDPI82Q4","NDPI83Q1","NDPI83Q2","NDPI83Q3","NDPI83Q4","NDPI84Q1","NDPI84Q2","NDPI84Q3","NDPI84Q4","NDPI85Q1","NDPI85Q2","NDPI85Q3","NDPI85Q4","NDPI86Q1","NDPI86Q2","NDPI86Q3","NDPI86Q4","NDPI87Q1","NDPI87Q2","NDPI87Q3","NDPI87Q4","NDPI88Q1","NDPI88Q2","NDPI88Q3","NDPI88Q4","NDPI89Q1","NDPI89Q2","NDPI89Q3","NDPI89Q4","NDPI90Q1","NDPI90Q2","NDPI90Q3","NDPI90Q4","NDPI91Q1","NDPI91Q2","NDPI91Q3","NDPI91Q4","NDPI92Q1","NDPI92Q2","NDPI92Q3","NDPI92Q4","NDPI93Q1","NDPI93Q2","NDPI93Q3","NDPI93Q4","NDPI94Q1","NDPI94Q2","NDPI94Q3","NDPI94Q4","NDPI95Q1","NDPI95Q2","NDPI95Q3","NDPI95Q4","NDPI96Q1","NDPI96Q2","NDPI96Q3","NDPI96Q4","NDPI97Q1","NDPI97Q2","NDPI97Q3","NDPI97Q4","NDPI98Q1","NDPI98Q2","NDPI98Q3","NDPI98Q4","NDPI99Q1","NDPI99Q2","NDPI99Q3","NDPI99Q4","NDPI00Q1","NDPI00Q2","NDPI00Q3","NDPI00Q4","NDPI01Q1","NDPI01Q2","NDPI01Q3","NDPI01Q4","NDPI02Q1","NDPI02Q2","NDPI02Q3","NDPI02Q4","NDPI03Q1","NDPI03Q2","NDPI03Q3","NDPI03Q4","NDPI04Q1","NDPI04Q2","NDPI04Q3","NDPI04Q4","NDPI05Q1","NDPI05Q2","NDPI05Q3","NDPI05Q4","NDPI06Q1","NDPI06Q2","NDPI06Q3","NDPI06Q4","NDPI07Q1","NDPI07Q2","NDPI07Q3","NDPI07Q4","NDPI08Q1","NDPI08Q2","NDPI08Q3","NDPI08Q4","NDPI09Q1","NDPI09Q2","NDPI09Q3","NDPI09Q4","NDPI10Q1","NDPI10Q2","NDPI10Q3","NDPI10Q4","NDPI11Q1","NDPI11Q2","NDPI11Q3","NDPI11Q4","NDPI12Q1","NDPI12Q2","NDPI12Q3","NDPI12Q4","NDPI13Q1","NDPI13Q2","NDPI13Q3","NDPI13Q4","NDPI14Q1","NDPI14Q2","NDPI14Q3","NDPI14Q4","NDPI15Q1","NDPI15Q2"
"1947:Q1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","#N/A","#N/A","#N/A","#N/A","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","#N/A","#N/A","#N/A","#N/A","#N/A","167.8","167.8","167.8","167.8","167.8","167.8","167.8","167.8","167.8","167.8","#N/A","#N/A","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","168.4","#N/A","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","168.3","171.0","171.0","171.0","171.0","171.0","171.0","171.0","171.0"
"1947:Q2","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","165.1","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","163.9","#N/A","#N/A","#N/A","#N/A","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","#N/A","#N/A","#N/A","#N/A","#N/A","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","#N/A","#N/A","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","166.2","#N/A","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","170.4","170.4","170.4","170.4","170.4","170.4","170.4","170.4"
"1947:Q3","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","170.9","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","171.3","#N/A","#N/A","#N/A","#N/A","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","171.8","#N/A","#N/A","#N/A","#N/A","#N/A","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","#N/A","#N/A","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","174.0","#N/A","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0"
"1947:Q4","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","#N/A","#N/A","#N/A","#N/A","174.1","174.1","174.1","174.1","174.1","174.1","174.1","174.1","174.1","174.1","174.1","174.1","#N/A","#N/A","#N/A","#N/A","#N/A","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","#N/A","#N/A","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","176.2","#N/A","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","179.8","179.8","179.8","179.8","179.8","179.8","179.8","179.8"
"1948:Q1","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","180.3","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.1","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","#N/A","#N/A","#N/A","#N/A","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","179.6","#N/A","#N/A","#N/A","#N/A","#N/A","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","#N/A","#N/A","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","181.1","#N/A","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","180.9","185.4","185.4","185.4","185.4","185.4","185.4","185.4","185.4"
"1948:Q2","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","187.8","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.6","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","#N/A","#N/A","#N/A","#N/A","187.1","187.1","187.1","187.1","187.1","187.1","187.1","187.1","187.1","187.1","187.1","187.1","#N/A","#N/A","#N/A","#N/A","#N/A","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","188.8","#N/A","#N/A","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","#N/A","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","189.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2"
"1948:Q3","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","193.2","#N/A","#N/A","#N/A","#N/A","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","#N/A","#N/A","#N/A","#N/A","#N/A","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","195.3","#N/A","#N/A","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","196.1","#N/A","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4"
"1948:Q4","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","192.6","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","#N/A","#N/A","#N/A","#N/A","193.3","193.3","193.3","193.3","193.3","193.3","193.3","193.3","193.3","193.3","193.3","193.3","#N/A","#N/A","#N/A","#N/A","#N/A","195.1","195.1","195.1","195.1","195.1","195.1","195.1","195.1","195.1","195.1","#N/A","#N/A","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.5","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","#N/A","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","195.9","199.9","199.9","199.9","199.9","199.9","199.9","199.9","199.9"
"1949:Q1","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.1","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","188.0","#N/A","#N/A","#N/A","#N/A","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","#N/A","#N/A","#N/A","#N/A","#N/A","189.9","189.9","189.9","189.9","189.9","189.9","189.9","189.9","189.9","189.9","#N/A","#N/A","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","190.5","#N/A","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","190.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4","194.4"
"1949:Q2","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","188.3","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","187.4","#N/A","#N/A","#N/A","#N/A","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","#N/A","#N/A","#N/A","#N/A","#N/A","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","189.3","#N/A","#N/A","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.6","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","190.0","#N/A","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","194.2","194.2","194.2","194.2","194.2","194.2","194.2","194.2"
