"DATE","NOUTPUT65M11","NOUTPUT65M12","NOUTPUT66M1","NOUTPUT66M2","NOUTPUT66M3","NOUTPUT66M4","NOUTPUT66M5","NOUTPUT66M6","NOUTPUT66M7","NOUTPUT66M8","NOUTPUT66M9","NOUTPUT66M10","NOUTPUT66M11","NOUTPUT66M12","NOUTPUT67M1","NOUTPUT67M2","NOUTPUT67M3","NOUTPUT67M4","NOUTPUT67M5","NOUTPUT67M6","NOUTPUT67M7","NOUTPUT67M8","NOUTPUT67M9","NOUTPUT67M10","NOUTPUT67M11","NOUTPUT67M12","NOUTPUT68M1","NOUTPUT68M2","NOUTPUT68M3","NOUTPUT68M4","NOUTPUT68M5","NOUTPUT68M6","NOUTPUT68M7","NOUTPUT68M8","NOUTPUT68M9","NOUTPUT68M10","NOUTPUT68M11","NOUTPUT68M12","NOUTPUT69M1","NOUTPUT69M2","NOUTPUT69M3","NOUTPUT69M4","NOUTPUT69M5","NOUTPUT69M6","NOUTPUT69M7","NOUTPUT69M8","NOUTPUT69M9","NOUTPUT69M10","NOUTPUT69M11","NOUTPUT69M12"
"1947:Q1","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6"
"1947:Q2","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6"
"1947:Q3","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8"
"1947:Q4","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1"
"1948:Q1","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0"
"1948:Q2","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6"
"1948:Q3","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5"
"1948:Q4","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9"
"1949:Q1","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5"
"1949:Q2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2"
