"DATE","NOUTPUT70M1","NOUTPUT70M2","NOUTPUT70M3","NOUTPUT70M4","NOUTPUT70M5","NOUTPUT70M6","NOUTPUT70M7","NOUTPUT70M8","NOUTPUT70M9","NOUTPUT70M10","NOUTPUT70M11","NOUTPUT70M12","NOUTPUT71M1","NOUTPUT71M2","NOUTPUT71M3","NOUTPUT71M4","NOUTPUT71M5","NOUTPUT71M6","NOUTPUT71M7","NOUTPUT71M8","NOUTPUT71M9","NOUTPUT71M10","NOUTPUT71M11","NOUTPUT71M12","NOUTPUT72M1","NOUTPUT72M2","NOUTPUT72M3","NOUTPUT72M4","NOUTPUT72M5","NOUTPUT72M6","NOUTPUT72M7","NOUTPUT72M8","NOUTPUT72M9","NOUTPUT72M10","NOUTPUT72M11","NOUTPUT72M12","NOUTPUT73M1","NOUTPUT73M2","NOUTPUT73M3","NOUTPUT73M4","NOUTPUT73M5","NOUTPUT73M6","NOUTPUT73M7","NOUTPUT73M8","NOUTPUT73M9","NOUTPUT73M10","NOUTPUT73M11","NOUTPUT73M12","NOUTPUT74M1","NOUTPUT74M2","NOUTPUT74M3","NOUTPUT74M4","NOUTPUT74M5","NOUTPUT74M6","NOUTPUT74M7","NOUTPUT74M8","NOUTPUT74M9","NOUTPUT74M10","NOUTPUT74M11","NOUTPUT74M12","NOUTPUT75M1","NOUTPUT75M2","NOUTPUT75M3","NOUTPUT75M4","NOUTPUT75M5","NOUTPUT75M6","NOUTPUT75M7","NOUTPUT75M8","NOUTPUT75M9","NOUTPUT75M10","NOUTPUT75M11","NOUTPUT75M12","NOUTPUT76M1","NOUTPUT76M2","NOUTPUT76M3","NOUTPUT76M4","NOUTPUT76M5","NOUTPUT76M6","NOUTPUT76M7","NOUTPUT76M8","NOUTPUT76M9","NOUTPUT76M10","NOUTPUT76M11","NOUTPUT76M12","NOUTPUT77M1","NOUTPUT77M2","NOUTPUT77M3","NOUTPUT77M4","NOUTPUT77M5","NOUTPUT77M6","NOUTPUT77M7","NOUTPUT77M8","NOUTPUT77M9","NOUTPUT77M10","NOUTPUT77M11","NOUTPUT77M12","NOUTPUT78M1","NOUTPUT78M2","NOUTPUT78M3","NOUTPUT78M4","NOUTPUT78M5","NOUTPUT78M6","NOUTPUT78M7","NOUTPUT78M8","NOUTPUT78M9","NOUTPUT78M10","NOUTPUT78M11","NOUTPUT78M12","NOUTPUT79M1","NOUTPUT79M2","NOUTPUT79M3","NOUTPUT79M4","NOUTPUT79M5","NOUTPUT79M6","NOUTPUT79M7","NOUTPUT79M8","NOUTPUT79M9","NOUTPUT79M10","NOUTPUT79M11","NOUTPUT79M12"
"1947:Q1","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","223.6","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9"
"1947:Q2","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1","229.1"
"1947:Q3","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","231.8","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3"
"1947:Q4","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6","243.6"
"1948:Q1","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","248.0","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6","249.6"
"1948:Q2","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1"
"1948:Q3","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","262.5","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0","264.0"
"1948:Q4","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","263.9","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5","265.5"
"1949:Q1","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","258.5","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1","260.1"
"1949:Q2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","255.2","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6"
