"DATE","NPI65Q4","NPI66Q1","NPI66Q2","NPI66Q3","NPI66Q4","NPI67Q1","NPI67Q2","NPI67Q3","NPI67Q4","NPI68Q1","NPI68Q2","NPI68Q3","NPI68Q4","NPI69Q1","NPI69Q2","NPI69Q3","NPI69Q4","NPI70Q1","NPI70Q2","NPI70Q3","NPI70Q4","NPI71Q1","NPI71Q2","NPI71Q3","NPI71Q4","NPI72Q1","NPI72Q2","NPI72Q3","NPI72Q4","NPI73Q1","NPI73Q2","NPI73Q3","NPI73Q4","NPI74Q1","NPI74Q2","NPI74Q3","NPI74Q4","NPI75Q1","NPI75Q2","NPI75Q3","NPI75Q4","NPI76Q1","NPI76Q2","NPI76Q3","NPI76Q4","NPI77Q1","NPI77Q2","NPI77Q3","NPI77Q4","NPI78Q1","NPI78Q2","NPI78Q3","NPI78Q4","NPI79Q1","NPI79Q2","NPI79Q3","NPI79Q4","NPI80Q1","NPI80Q2","NPI80Q3","NPI80Q4","NPI81Q1","NPI81Q2","NPI81Q3","NPI81Q4","NPI82Q1","NPI82Q2","NPI82Q3","NPI82Q4","NPI83Q1","NPI83Q2","NPI83Q3","NPI83Q4","NPI84Q1","NPI84Q2","NPI84Q3","NPI84Q4","NPI85Q1","NPI85Q2","NPI85Q3","NPI85Q4","NPI86Q1","NPI86Q2","NPI86Q3","NPI86Q4","NPI87Q1","NPI87Q2","NPI87Q3","NPI87Q4","NPI88Q1","NPI88Q2","NPI88Q3","NPI88Q4","NPI89Q1","NPI89Q2","NPI89Q3","NPI89Q4","NPI90Q1","NPI90Q2","NPI90Q3","NPI90Q4","NPI91Q1","NPI91Q2","NPI91Q3","NPI91Q4","NPI92Q1","NPI92Q2","NPI92Q3","NPI92Q4","NPI93Q1","NPI93Q2","NPI93Q3","NPI93Q4","NPI94Q1","NPI94Q2","NPI94Q3","NPI94Q4","NPI95Q1","NPI95Q2","NPI95Q3","NPI95Q4","NPI96Q1","NPI96Q2","NPI96Q3","NPI96Q4","NPI97Q1","NPI97Q2","NPI97Q3","NPI97Q4","NPI98Q1","NPI98Q2","NPI98Q3","NPI98Q4","NPI99Q1","NPI99Q2","NPI99Q3","NPI99Q4","NPI00Q1","NPI00Q2","NPI00Q3","NPI00Q4","NPI01Q1","NPI01Q2","NPI01Q3","NPI01Q4","NPI02Q1","NPI02Q2","NPI02Q3","NPI02Q4","NPI03Q1","NPI03Q2","NPI03Q3","NPI03Q4","NPI04Q1","NPI04Q2","NPI04Q3","NPI04Q4","NPI05Q1","NPI05Q2","NPI05Q3","NPI05Q4","NPI06Q1","NPI06Q2","NPI06Q3","NPI06Q4","NPI07Q1","NPI07Q2","NPI07Q3","NPI07Q4","NPI08Q1","NPI08Q2","NPI08Q3","NPI08Q4","NPI09Q1","NPI09Q2","NPI09Q3","NPI09Q4","NPI10Q1","NPI10Q2","NPI10Q3","NPI10Q4","NPI11Q1","NPI11Q2","NPI11Q3","NPI11Q4","NPI12Q1","NPI12Q2","NPI12Q3","NPI12Q4","NPI13Q1","NPI13Q2","NPI13Q3","NPI13Q4","NPI14Q1","NPI14Q2","NPI14Q3","NPI14Q4","NPI15Q1","NPI15Q2"
"1947:Q1","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","187.9","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","#N/A","#N/A","#N/A","#N/A","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","186.7","#N/A","#N/A","#N/A","#N/A","#N/A","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","188.2","#N/A","#N/A","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","188.5","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","#N/A","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","187.5","190.2","190.2","190.2","190.2","190.2","190.2","190.2","190.2"
"1947:Q2","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.7","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","#N/A","#N/A","#N/A","#N/A","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","184.9","#N/A","#N/A","#N/A","#N/A","#N/A","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","#N/A","#N/A","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","186.8","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","185.7","#N/A","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","185.5","189.9","189.9","189.9","189.9","189.9","189.9","189.9","189.9"
"1947:Q3","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","193.8","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","#N/A","#N/A","#N/A","#N/A","192.9","192.9","192.9","192.9","192.9","192.9","192.9","192.9","192.9","192.9","192.9","192.9","#N/A","#N/A","#N/A","#N/A","#N/A","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","#N/A","#N/A","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","193.7","#N/A","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","193.6","197.8","197.8","197.8","197.8","197.8","197.8","197.8","197.8"
"1947:Q4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","197.4","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","#N/A","#N/A","#N/A","#N/A","196.2","196.2","196.2","196.2","196.2","196.2","196.2","196.2","196.2","196.2","196.2","196.2","#N/A","#N/A","#N/A","#N/A","#N/A","198.0","198.0","198.0","198.0","198.0","198.0","198.0","198.0","198.0","198.0","#N/A","#N/A","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","198.3","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","197.0","#N/A","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","196.9","200.6","200.6","200.6","200.6","200.6","200.6","200.6","200.6"
"1948:Q1","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","203.3","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","201.6","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.0","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","#N/A","#N/A","#N/A","#N/A","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","202.2","#N/A","#N/A","#N/A","#N/A","#N/A","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","203.9","#N/A","#N/A","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","204.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","202.3","#N/A","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","202.1","206.6","206.6","206.6","206.6","206.6","206.6","206.6","206.6"
"1948:Q2","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","208.8","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.5","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","207.7","#N/A","#N/A","#N/A","#N/A","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","#N/A","#N/A","#N/A","#N/A","#N/A","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","#N/A","#N/A","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","209.7","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","#N/A","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","208.1","212.1","212.1","212.1","212.1","212.1","212.1","212.1","212.1"
"1948:Q3","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","212.7","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","#N/A","#N/A","#N/A","#N/A","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","#N/A","#N/A","#N/A","#N/A","#N/A","214.9","214.9","214.9","214.9","214.9","214.9","214.9","214.9","214.9","214.9","#N/A","#N/A","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","#N/A","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","214.2","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6"
"1948:Q4","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","214.5","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","213.3","#N/A","#N/A","#N/A","#N/A","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","213.1","#N/A","#N/A","#N/A","#N/A","#N/A","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","214.8","#N/A","#N/A","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","215.3","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","#N/A","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","214.3","218.3","218.3","218.3","218.3","218.3","218.3","218.3","218.3"
"1949:Q1","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","208.6","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","#N/A","#N/A","#N/A","#N/A","207.2","207.2","207.2","207.2","207.2","207.2","207.2","207.2","207.2","207.2","207.2","207.2","#N/A","#N/A","#N/A","#N/A","#N/A","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","#N/A","#N/A","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","209.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","208.3","#N/A","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","208.2","212.2","212.2","212.2","212.2","212.2","212.2","212.2","212.2"
"1949:Q2","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","207.1","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","205.5","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","206.1","#N/A","#N/A","#N/A","#N/A","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","205.8","#N/A","#N/A","#N/A","#N/A","#N/A","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","207.6","#N/A","#N/A","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","208.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","#N/A","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","206.8","211.2","211.2","211.2","211.2","211.2","211.2","211.2","211.2"
