"DATE","NPSAV65Q4","NPSAV66Q1","NPSAV66Q2","NPSAV66Q3","NPSAV66Q4","NPSAV67Q1","NPSAV67Q2","NPSAV67Q3","NPSAV67Q4","NPSAV68Q1","NPSAV68Q2","NPSAV68Q3","NPSAV68Q4","NPSAV69Q1","NPSAV69Q2","NPSAV69Q3","NPSAV69Q4","NPSAV70Q1","NPSAV70Q2","NPSAV70Q3","NPSAV70Q4","NPSAV71Q1","NPSAV71Q2","NPSAV71Q3","NPSAV71Q4","NPSAV72Q1","NPSAV72Q2","NPSAV72Q3","NPSAV72Q4","NPSAV73Q1","NPSAV73Q2","NPSAV73Q3","NPSAV73Q4","NPSAV74Q1","NPSAV74Q2","NPSAV74Q3","NPSAV74Q4","NPSAV75Q1","NPSAV75Q2","NPSAV75Q3","NPSAV75Q4","NPSAV76Q1","NPSAV76Q2","NPSAV76Q3","NPSAV76Q4","NPSAV77Q1","NPSAV77Q2","NPSAV77Q3","NPSAV77Q4","NPSAV78Q1","NPSAV78Q2","NPSAV78Q3","NPSAV78Q4","NPSAV79Q1","NPSAV79Q2","NPSAV79Q3","NPSAV79Q4","NPSAV80Q1","NPSAV80Q2","NPSAV80Q3","NPSAV80Q4","NPSAV81Q1","NPSAV81Q2","NPSAV81Q3","NPSAV81Q4","NPSAV82Q1","NPSAV82Q2","NPSAV82Q3","NPSAV82Q4","NPSAV83Q1","NPSAV83Q2","NPSAV83Q3","NPSAV83Q4","NPSAV84Q1","NPSAV84Q2","NPSAV84Q3","NPSAV84Q4","NPSAV85Q1","NPSAV85Q2","NPSAV85Q3","NPSAV85Q4","NPSAV86Q1","NPSAV86Q2","NPSAV86Q3","NPSAV86Q4","NPSAV87Q1","NPSAV87Q2","NPSAV87Q3","NPSAV87Q4","NPSAV88Q1","NPSAV88Q2","NPSAV88Q3","NPSAV88Q4","NPSAV89Q1","NPSAV89Q2","NPSAV89Q3","NPSAV89Q4","NPSAV90Q1","NPSAV90Q2","NPSAV90Q3","NPSAV90Q4","NPSAV91Q1","NPSAV91Q2","NPSAV91Q3","NPSAV91Q4","NPSAV92Q1","NPSAV92Q2","NPSAV92Q3","NPSAV92Q4","NPSAV93Q1","NPSAV93Q2","NPSAV93Q3","NPSAV93Q4","NPSAV94Q1","NPSAV94Q2","NPSAV94Q3","NPSAV94Q4","NPSAV95Q1","NPSAV95Q2","NPSAV95Q3","NPSAV95Q4","NPSAV96Q1","NPSAV96Q2","NPSAV96Q3","NPSAV96Q4","NPSAV97Q1","NPSAV97Q2","NPSAV97Q3","NPSAV97Q4","NPSAV98Q1","NPSAV98Q2","NPSAV98Q3","NPSAV98Q4","NPSAV99Q1","NPSAV99Q2","NPSAV99Q3","NPSAV99Q4","NPSAV00Q1","NPSAV00Q2","NPSAV00Q3","NPSAV00Q4","NPSAV01Q1","NPSAV01Q2","NPSAV01Q3","NPSAV01Q4","NPSAV02Q1","NPSAV02Q2","NPSAV02Q3","NPSAV02Q4","NPSAV03Q1","NPSAV03Q2","NPSAV03Q3","NPSAV03Q4","NPSAV04Q1","NPSAV04Q2","NPSAV04Q3","NPSAV04Q4","NPSAV05Q1","NPSAV05Q2","NPSAV05Q3","NPSAV05Q4","NPSAV06Q1","NPSAV06Q2","NPSAV06Q3","NPSAV06Q4","NPSAV07Q1","NPSAV07Q2","NPSAV07Q3","NPSAV07Q4","NPSAV08Q1","NPSAV08Q2","NPSAV08Q3","NPSAV08Q4","NPSAV09Q1","NPSAV09Q2","NPSAV09Q3","NPSAV09Q4","NPSAV10Q1","NPSAV10Q2","NPSAV10Q3","NPSAV10Q4","NPSAV11Q1","NPSAV11Q2","NPSAV11Q3","NPSAV11Q4","NPSAV12Q1","NPSAV12Q2","NPSAV12Q3","NPSAV12Q4","NPSAV13Q1","NPSAV13Q2","NPSAV13Q3","NPSAV13Q4","NPSAV14Q1","NPSAV14Q2","NPSAV14Q3","NPSAV14Q4","NPSAV15Q1","NPSAV15Q2"
"1947:Q1","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","#N/A","#N/A","#N/A","#N/A","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","#N/A","#N/A","#N/A","#N/A","#N/A","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","#N/A","#N/A","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9"
"1947:Q2","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","#N/A","#N/A","#N/A","#N/A","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","#N/A","#N/A","#N/A","#N/A","#N/A","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","#N/A","#N/A","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","#N/A","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5"
"1947:Q3","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","#N/A","#N/A","#N/A","#N/A","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","#N/A","#N/A","#N/A","#N/A","#N/A","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","#N/A","#N/A","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","#N/A","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5"
"1947:Q4","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","#N/A","#N/A","#N/A","#N/A","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","#N/A","#N/A","#N/A","#N/A","#N/A","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","#N/A","#N/A","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","7.3","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","#N/A","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
"1948:Q1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","#N/A","#N/A","#N/A","#N/A","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","#N/A","#N/A","#N/A","#N/A","#N/A","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","#N/A","#N/A","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","#N/A","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8"
"1948:Q2","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","#N/A","#N/A","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","#N/A","#N/A","#N/A","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","12.1","#N/A","#N/A","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","#N/A","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","16.7","16.7","16.7","16.7","16.7","16.7","16.7","16.7"
"1948:Q3","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","16.4","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","#N/A","#N/A","#N/A","#N/A","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","#N/A","#N/A","#N/A","#N/A","#N/A","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","#N/A","#N/A","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","17.0","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","16.6","#N/A","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9"
"1948:Q4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","#N/A","#N/A","#N/A","#N/A","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","12.7","#N/A","#N/A","#N/A","#N/A","#N/A","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","#N/A","#N/A","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.9","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","#N/A","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5","19.5"
"1949:Q1","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","#N/A","#N/A","#N/A","#N/A","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","#N/A","#N/A","#N/A","#N/A","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","#N/A","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2"
"1949:Q2","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.9","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","6.8","#N/A","#N/A","#N/A","#N/A","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","#N/A","#N/A","#N/A","#N/A","#N/A","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","#N/A","#N/A","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","#N/A","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","8.8","13.2","13.2","13.2","13.2","13.2","13.2","13.2","13.2"
