"DATE","OPH98M11","OPH98M12","OPH99M1","OPH99M2","OPH99M3","OPH99M4","OPH99M5","OPH99M6","OPH99M7","OPH99M8","OPH99M9","OPH99M10","OPH99M11","OPH99M12","OPH00M1","OPH00M2","OPH00M3","OPH00M4","OPH00M5","OPH00M6","OPH00M7","OPH00M8","OPH00M9","OPH00M10","OPH00M11","OPH00M12","OPH01M1","OPH01M2","OPH01M3","OPH01M4","OPH01M5","OPH01M6","OPH01M7","OPH01M8","OPH01M9","OPH01M10","OPH01M11","OPH01M12","OPH02M1","OPH02M2","OPH02M3","OPH02M4","OPH02M5","OPH02M6","OPH02M7","OPH02M8","OPH02M9","OPH02M10","OPH02M11","OPH02M12","OPH03M1","OPH03M2","OPH03M3","OPH03M4","OPH03M5","OPH03M6","OPH03M7","OPH03M8","OPH03M9","OPH03M10","OPH03M11","OPH03M12","OPH04M1","OPH04M2","OPH04M3","OPH04M4","OPH04M5","OPH04M6","OPH04M7","OPH04M8","OPH04M9","OPH04M10","OPH04M11","OPH04M12","OPH05M1","OPH05M2","OPH05M3","OPH05M4","OPH05M5","OPH05M6","OPH05M7","OPH05M8","OPH05M9","OPH05M10","OPH05M11","OPH05M12","OPH06M1","OPH06M2","OPH06M3","OPH06M4","OPH06M5","OPH06M6","OPH06M7","OPH06M8","OPH06M9","OPH06M10","OPH06M11","OPH06M12","OPH07M1","OPH07M2","OPH07M3","OPH07M4","OPH07M5","OPH07M6","OPH07M7","OPH07M8","OPH07M9","OPH07M10","OPH07M11","OPH07M12","OPH08M1","OPH08M2","OPH08M3","OPH08M4","OPH08M5","OPH08M6","OPH08M7","OPH08M8","OPH08M9","OPH08M10","OPH08M11","OPH08M12","OPH09M1","OPH09M2","OPH09M3","OPH09M4","OPH09M5","OPH09M6","OPH09M7","OPH09M8","OPH09M9","OPH09M10","OPH09M11","OPH09M12","OPH10M1","OPH10M2","OPH10M3","OPH10M4","OPH10M5","OPH10M6","OPH10M7","OPH10M8","OPH10M9","OPH10M10","OPH10M11","OPH10M12","OPH11M1","OPH11M2","OPH11M3","OPH11M4","OPH11M5","OPH11M6","OPH11M7","OPH11M8","OPH11M9","OPH11M10","OPH11M11","OPH11M12","OPH12M1","OPH12M2","OPH12M3","OPH12M4","OPH12M5","OPH12M6","OPH12M7","OPH12M8","OPH12M9","OPH12M10","OPH12M11","OPH12M12","OPH13M1","OPH13M2","OPH13M3","OPH13M4","OPH13M5","OPH13M6","OPH13M7","OPH13M8","OPH13M9","OPH13M10","OPH13M11","OPH13M12","OPH14M1","OPH14M2","OPH14M3","OPH14M4","OPH14M5","OPH14M6","OPH14M7","OPH14M8","OPH14M9","OPH14M10","OPH14M11","OPH14M12","OPH15M1","OPH15M2","OPH15M3","OPH15M4","OPH15M5","OPH15M6","OPH15M7","OPH15M8","OPH15M9","OPH15M10","OPH15M11"
"1947:Q1","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","#N/A","#N/A","#N/A","#N/A","#N/A","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","32.3","32.3","32.3","32.3","32.3","32.3","32.1","32.1","32.1","32.1","32.1","32.1","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.1","32.1","32.1","32.1","32.1","32.1","32.103","32.103","32.103","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.11","32.13","32.13","32.13","32.13","32.13","32.13","32.13","32.13","32.13","32.13","32.13","32.13","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.455","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.467","23.473","23.473","23.473","23.473","23.473","21.291","21.291","21.291","21.431","21.431","21.431","21.431","21.455","21.455","21.455","21.455","21.455","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.479","21.479","21.479","21.479","21.479","21.479","21.479","21.479","21.479"
"1947:Q2","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","#N/A","#N/A","#N/A","#N/A","#N/A","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","32.7","32.7","32.7","32.7","32.7","32.7","32.3","32.3","32.3","32.3","32.3","32.3","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.5","32.3","32.3","32.3","32.3","32.3","32.3","32.297","32.297","32.297","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.303","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.304","32.307","32.307","32.307","32.307","32.307","32.307","32.307","32.307","32.307","32.307","32.307","32.307","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.584","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.597","23.603","23.603","23.603","23.603","23.603","21.392","21.392","21.392","21.533","21.533","21.533","21.533","21.556","21.556","21.556","21.556","21.556","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581","21.581"
"1947:Q3","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","#N/A","#N/A","#N/A","#N/A","#N/A","31.7","31.7","31.7","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","32.6","32.6","32.6","32.6","32.6","32.6","32.0","32.0","32.0","32.0","32.0","32.0","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.1","32.1","32.1","32.1","32.1","32.1","32.062","32.062","32.062","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.069","32.065","32.065","32.065","32.065","32.065","32.065","32.065","32.065","32.065","32.065","32.065","32.065","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.407","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.42","23.426","23.426","23.426","23.426","23.426","21.2","21.2","21.2","21.34","21.34","21.34","21.34","21.363","21.363","21.363","21.363","21.363","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388","21.388"
"1947:Q4","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","#N/A","#N/A","#N/A","#N/A","#N/A","32.1","32.1","32.1","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","33.0","33.0","33.0","33.0","33.0","33.0","32.4","32.4","32.4","32.4","32.4","32.4","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.4","32.4","32.4","32.4","32.4","32.4","32.439","32.439","32.439","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.446","32.452","32.452","32.452","32.452","32.452","32.452","32.452","32.452","32.452","32.452","32.452","32.452","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.69","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.702","23.708","23.708","23.708","23.708","23.708","21.476","21.476","21.476","21.617","21.617","21.617","21.617","21.641","21.641","21.641","21.641","21.641","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667","21.667"
"1948:Q1","34.8","34.8","34.8","34.9","34.9","34.9","34.9","34.9","34.9","34.9","34.9","34.9","34.9","#N/A","#N/A","#N/A","#N/A","#N/A","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","33.7","33.7","33.7","33.7","33.7","33.7","33.1","33.1","33.1","33.1","33.1","33.1","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.2","33.2","33.2","33.2","33.2","33.2","33.167","33.167","33.167","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.174","33.209","33.209","33.209","33.209","33.209","33.209","33.209","33.209","33.209","33.209","33.209","33.209","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.243","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.255","24.262","24.262","24.262","24.262","24.262","21.963","21.963","21.963","22.11","22.11","22.11","22.11","22.134","22.134","22.134","22.134","22.134","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159","22.159"
"1948:Q2","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","#N/A","#N/A","#N/A","#N/A","#N/A","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","34.3","34.3","34.3","34.3","34.3","34.3","33.8","33.8","33.8","33.8","33.8","33.8","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","33.9","33.9","33.9","33.9","33.9","33.9","33.899","33.899","33.899","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.906","33.952","33.952","33.952","33.952","33.952","33.952","33.952","33.952","33.952","33.952","33.952","33.952","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.785","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.798","24.804","24.804","24.804","24.804","24.804","22.413","22.413","22.413","22.561","22.561","22.561","22.561","22.586","22.586","22.586","22.586","22.586","22.613","22.613","22.613","22.613","22.613","22.613","22.613","22.612","22.612","22.612","22.612","22.612","22.612","22.612","22.612","22.612"
"1948:Q3","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","#N/A","#N/A","#N/A","#N/A","#N/A","33.2","33.2","33.2","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","34.1","34.1","34.1","34.1","34.1","34.1","33.7","33.7","33.7","33.7","33.7","33.7","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","34.0","33.8","33.8","33.8","33.8","33.8","33.8","33.762","33.762","33.762","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.769","33.791","33.791","33.791","33.791","33.791","33.791","33.791","33.791","33.791","33.791","33.791","33.791","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.668","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.68","24.686","24.686","24.686","24.686","24.686","22.307","22.307","22.307","22.456","22.456","22.456","22.456","22.481","22.481","22.481","22.481","22.481","22.507","22.507","22.507","22.507","22.507","22.507","22.507","22.506","22.506","22.506","22.506","22.506","22.506","22.506","22.506","22.506"
"1948:Q4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","#N/A","#N/A","#N/A","#N/A","#N/A","33.4","33.4","33.4","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","34.4","34.4","34.4","34.4","34.4","34.4","34.0","34.0","34.0","34.0","34.0","34.0","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.0","34.0","34.0","34.0","34.0","34.0","34.032","34.032","34.032","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.039","34.008","34.008","34.008","34.008","34.008","34.008","34.008","34.008","34.008","34.008","34.008","34.008","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.826","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.841","24.847","24.847","24.847","24.847","24.847","22.428","22.428","22.428","22.576","22.576","22.576","22.576","22.601","22.601","22.601","22.601","22.601","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627","22.627"
"1949:Q1","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","#N/A","#N/A","#N/A","#N/A","#N/A","33.3","33.3","33.3","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","34.3","34.3","34.3","34.3","34.3","34.3","33.8","33.8","33.8","33.8","33.8","33.8","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","33.9","33.9","33.9","33.9","33.9","33.9","33.865","33.865","33.865","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.872","33.902","33.902","33.902","33.902","33.902","33.902","33.902","33.902","33.902","33.902","33.902","33.902","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.749","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.761","24.767","24.767","24.767","24.767","24.767","22.348","22.348","22.348","22.496","22.496","22.496","22.496","22.521","22.521","22.521","22.521","22.521","22.548","22.548","22.548","22.548","22.548","22.548","22.548","22.547","22.547","22.547","22.547","22.547","22.547","22.547","22.547","22.547"
"1949:Q2","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","#N/A","#N/A","#N/A","#N/A","#N/A","33.5","33.5","33.5","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","34.4","34.4","34.4","34.4","34.4","34.4","34.0","34.0","34.0","34.0","34.0","34.0","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.0","34.0","34.0","34.0","34.0","34.0","34.013","34.013","34.013","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.02","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.021","34.031","34.031","34.031","34.031","34.031","34.031","34.031","34.031","34.031","34.031","34.031","34.031","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.843","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.855","24.862","24.862","24.862","24.862","24.862","22.439","22.439","22.439","22.587","22.587","22.587","22.587","22.612","22.612","22.612","22.612","22.612","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638","22.638"
