"DATE","PCONG09M8","PCONG09M9","PCONG09M10","PCONG09M11","PCONG09M12","PCONG10M1","PCONG10M2","PCONG10M3","PCONG10M4","PCONG10M5","PCONG10M6","PCONG10M7","PCONG10M8","PCONG10M9","PCONG10M10","PCONG10M11","PCONG10M12","PCONG11M1","PCONG11M2","PCONG11M3","PCONG11M4","PCONG11M5","PCONG11M6","PCONG11M7","PCONG11M8","PCONG11M9","PCONG11M10","PCONG11M11","PCONG11M12","PCONG12M1","PCONG12M2","PCONG12M3","PCONG12M4","PCONG12M5","PCONG12M6","PCONG12M7","PCONG12M8","PCONG12M9","PCONG12M10","PCONG12M11","PCONG12M12","PCONG13M1","PCONG13M2","PCONG13M3","PCONG13M4","PCONG13M5","PCONG13M6","PCONG13M7","PCONG13M8","PCONG13M9","PCONG13M10","PCONG13M11","PCONG13M12","PCONG14M1","PCONG14M2","PCONG14M3","PCONG14M4","PCONG14M5","PCONG14M6","PCONG14M7","PCONG14M8","PCONG14M9","PCONG14M10","PCONG14M11","PCONG14M12","PCONG15M1","PCONG15M2","PCONG15M3","PCONG15M4","PCONG15M5"
"1947:Q1","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.514","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","23.546","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862","22.862"
"1947:Q2","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.74","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.773","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082","23.082"
"1947:Q3","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.104","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","24.137","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435","23.435"
"1947:Q4","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.738","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.772","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052","24.052"
"1948:Q1","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.093","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","25.128","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397","24.397"
"1948:Q2","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.362","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","25.397","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658","24.658"
"1948:Q3","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.754","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.789","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038","25.038"
"1948:Q4","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.563","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","25.598","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851","24.851"
"1949:Q1","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.247","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","25.282","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543","24.543"
"1949:Q2","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.961","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.996","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264","24.264"
