"DATE","PCON65Q4","PCON66Q1","PCON66Q2","PCON66Q3","PCON66Q4","PCON67Q1","PCON67Q2","PCON67Q3","PCON67Q4","PCON68Q1","PCON68Q2","PCON68Q3","PCON68Q4","PCON69Q1","PCON69Q2","PCON69Q3","PCON69Q4","PCON70Q1","PCON70Q2","PCON70Q3","PCON70Q4","PCON71Q1","PCON71Q2","PCON71Q3","PCON71Q4","PCON72Q1","PCON72Q2","PCON72Q3","PCON72Q4","PCON73Q1","PCON73Q2","PCON73Q3","PCON73Q4","PCON74Q1","PCON74Q2","PCON74Q3","PCON74Q4","PCON75Q1","PCON75Q2","PCON75Q3","PCON75Q4","PCON76Q1","PCON76Q2","PCON76Q3","PCON76Q4","PCON77Q1","PCON77Q2","PCON77Q3","PCON77Q4","PCON78Q1","PCON78Q2","PCON78Q3","PCON78Q4","PCON79Q1","PCON79Q2","PCON79Q3","PCON79Q4","PCON80Q1","PCON80Q2","PCON80Q3","PCON80Q4","PCON81Q1","PCON81Q2","PCON81Q3","PCON81Q4","PCON82Q1","PCON82Q2","PCON82Q3","PCON82Q4","PCON83Q1","PCON83Q2","PCON83Q3","PCON83Q4","PCON84Q1","PCON84Q2","PCON84Q3","PCON84Q4","PCON85Q1","PCON85Q2","PCON85Q3","PCON85Q4","PCON86Q1","PCON86Q2","PCON86Q3","PCON86Q4","PCON87Q1","PCON87Q2","PCON87Q3","PCON87Q4","PCON88Q1","PCON88Q2","PCON88Q3","PCON88Q4","PCON89Q1","PCON89Q2","PCON89Q3","PCON89Q4","PCON90Q1","PCON90Q2","PCON90Q3","PCON90Q4","PCON91Q1","PCON91Q2","PCON91Q3","PCON91Q4","PCON92Q1","PCON92Q2","PCON92Q3","PCON92Q4","PCON93Q1","PCON93Q2","PCON93Q3","PCON93Q4","PCON94Q1","PCON94Q2","PCON94Q3","PCON94Q4","PCON95Q1","PCON95Q2","PCON95Q3","PCON95Q4","PCON96Q1","PCON96Q2","PCON96Q3","PCON96Q4","PCON97Q1","PCON97Q2","PCON97Q3","PCON97Q4","PCON98Q1","PCON98Q2","PCON98Q3","PCON98Q4","PCON99Q1","PCON99Q2","PCON99Q3","PCON99Q4","PCON00Q1","PCON00Q2","PCON00Q3","PCON00Q4","PCON01Q1","PCON01Q2","PCON01Q3","PCON01Q4","PCON02Q1","PCON02Q2","PCON02Q3","PCON02Q4","PCON03Q1","PCON03Q2","PCON03Q3","PCON03Q4","PCON04Q1","PCON04Q2","PCON04Q3","PCON04Q4","PCON05Q1","PCON05Q2","PCON05Q3","PCON05Q4","PCON06Q1","PCON06Q2","PCON06Q3","PCON06Q4","PCON07Q1","PCON07Q2","PCON07Q3","PCON07Q4","PCON08Q1","PCON08Q2","PCON08Q3","PCON08Q4","PCON09Q1","PCON09Q2","PCON09Q3","PCON09Q4","PCON10Q1","PCON10Q2","PCON10Q3","PCON10Q4","PCON11Q1","PCON11Q2","PCON11Q3","PCON11Q4","PCON12Q1","PCON12Q2","PCON12Q3","PCON12Q4","PCON13Q1","PCON13Q2","PCON13Q3","PCON13Q4","PCON14Q1","PCON14Q2","PCON14Q3","PCON14Q4","PCON15Q1","PCON15Q2","PCON15Q3","PCON15Q4"
"1947:Q1","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","76.2045","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.5362","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","51.6044","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","23.7198","#N/A","#N/A","#N/A","#N/A","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","19.9745","#N/A","#N/A","#N/A","#N/A","#N/A","17.1692","17.1692","17.1692","17.1692","17.1692","17.1692","17.1692","17.1692","17.1692","17.1692","#N/A","#N/A","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","16.2446","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","15.3657","13.8135","13.8135","13.8135","13.8135","13.8135","13.8135","13.8135","13.8135","13.8209","13.8209","13.8209","13.8209","13.8209","13.8209","13.8209","13.8209","13.0315","13.0315","13.0315","13.0315","13.0315","13.0315","13.0315","13.0315","13.0315","13.0315"
"1947:Q2","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","76.7633","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0338","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","52.0847","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","23.9169","#N/A","#N/A","#N/A","#N/A","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","20.1431","#N/A","#N/A","#N/A","#N/A","#N/A","17.2859","17.2859","17.2859","17.2859","17.2859","17.2859","17.2859","17.2859","17.2859","17.2859","#N/A","#N/A","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","16.3993","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","15.4932","13.928","13.928","13.928","13.928","13.928","13.928","13.928","13.928","13.9341","13.9341","13.9341","13.9341","13.9341","13.9341","13.9341","13.9341","13.1387","13.1387","13.1387","13.1387","13.1387","13.1387","13.1387","13.1387","13.1387","13.1387"
"1947:Q3","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","78.351","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.1534","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","53.2227","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","24.4328","#N/A","#N/A","#N/A","#N/A","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","20.5975","#N/A","#N/A","#N/A","#N/A","#N/A","17.6092","17.6092","17.6092","17.6092","17.6092","17.6092","17.6092","17.6092","17.6092","17.6092","#N/A","#N/A","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","16.7057","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","15.7783","14.1854","14.1854","14.1854","14.1854","14.1854","14.1854","14.1854","14.1854","14.1928","14.1928","14.1928","14.1928","14.1928","14.1928","14.1928","14.1928","13.3818","13.3818","13.3818","13.3818","13.3818","13.3818","13.3818","13.3818","13.3818","13.3818"
"1947:Q4","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","80.3184","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.5573","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","54.6284","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","25.0897","#N/A","#N/A","#N/A","#N/A","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","21.1386","#N/A","#N/A","#N/A","#N/A","#N/A","18.0453","18.0453","18.0453","18.0453","18.0453","18.0453","18.0453","18.0453","18.0453","18.0453","#N/A","#N/A","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","17.1318","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","16.1704","14.5369","14.5369","14.5369","14.5369","14.5369","14.5369","14.5369","14.5369","14.5432","14.5432","14.5432","14.5432","14.5432","14.5432","14.5432","14.5432","13.7125","13.7125","13.7125","13.7125","13.7136","13.7136","13.7136","13.7136","13.7136","13.7136"
"1948:Q1","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","81.1031","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.0598","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","55.149","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","25.2742","#N/A","#N/A","#N/A","#N/A","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","21.2747","#N/A","#N/A","#N/A","#N/A","#N/A","18.2546","18.2546","18.2546","18.2546","18.2546","18.2546","18.2546","18.2546","18.2546","18.2546","#N/A","#N/A","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","17.3204","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","16.3533","14.697","14.697","14.697","14.697","14.697","14.697","14.697","14.697","14.7033","14.7033","14.7033","14.7033","14.7033","14.7033","14.7033","14.7033","13.864","13.864","13.864","13.864","13.864","13.864","13.864","13.864","13.864","13.864"
"1948:Q2","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","82.0123","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.68","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","55.7514","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","25.565","#N/A","#N/A","#N/A","#N/A","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","21.5254","#N/A","#N/A","#N/A","#N/A","#N/A","18.4633","18.4633","18.4633","18.4633","18.4633","18.4633","18.4633","18.4633","18.4633","18.4633","#N/A","#N/A","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","17.5085","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","16.5323","14.8517","14.8517","14.8517","14.8517","14.8517","14.8517","14.8517","14.8517","14.8593","14.8593","14.8593","14.8593","14.8593","14.8593","14.8593","14.8593","14.0101","14.0101","14.0101","14.0101","14.0101","14.0101","14.0101","14.0101","14.0101","14.0101"
"1948:Q3","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","83.2307","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.4995","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","56.5899","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","25.9335","#N/A","#N/A","#N/A","#N/A","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","21.8048","#N/A","#N/A","#N/A","#N/A","#N/A","18.7381","18.7381","18.7381","18.7381","18.7381","18.7381","18.7381","18.7381","18.7381","18.7381","#N/A","#N/A","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","17.7653","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","16.7787","15.077","15.077","15.077","15.077","15.077","15.077","15.077","15.077","15.0834","15.0834","15.0834","15.0834","15.0834","15.0834","15.0834","15.0834","14.2227","14.2227","14.2227","14.2227","14.2227","14.2227","14.2227","14.2227","14.2227","14.2227"
"1948:Q4","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","82.9887","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.248","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","56.3729","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","25.8463","#N/A","#N/A","#N/A","#N/A","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","21.6995","#N/A","#N/A","#N/A","#N/A","#N/A","18.6833","18.6833","18.6833","18.6833","18.6833","18.6833","18.6833","18.6833","18.6833","18.6833","#N/A","#N/A","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","17.6984","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","16.7261","15.0333","15.0333","15.0333","15.0333","15.0333","15.0333","15.0333","15.0333","15.041","15.041","15.041","15.041","15.041","15.041","15.041","15.041","14.1811","14.1811","14.1811","14.1811","14.1822","14.1822","14.1822","14.1822","14.1822","14.1822"
"1949:Q1","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","82.2702","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.7978","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","55.9215","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","25.6716","#N/A","#N/A","#N/A","#N/A","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","21.5317","#N/A","#N/A","#N/A","#N/A","#N/A","18.5371","18.5371","18.5371","18.5371","18.5371","18.5371","18.5371","18.5371","18.5371","18.5371","#N/A","#N/A","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","17.5719","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","16.6026","14.9178","14.9178","14.9178","14.9178","14.9178","14.9178","14.9178","14.9178","14.9241","14.9241","14.9241","14.9241","14.9241","14.9241","14.9241","14.9241","14.0711","14.0711","14.0711","14.0711","14.0711","14.0711","14.0711","14.0711","14.0711","14.0711"
"1949:Q2","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","81.7383","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.6006","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","55.7223","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","25.5991","#N/A","#N/A","#N/A","#N/A","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","21.4551","#N/A","#N/A","#N/A","#N/A","#N/A","18.4251","18.4251","18.4251","18.4251","18.4251","18.4251","18.4251","18.4251","18.4251","18.4251","#N/A","#N/A","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","17.4605","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","16.4973","14.8253","14.8253","14.8253","14.8253","14.8253","14.8253","14.8253","14.8253","14.8327","14.8327","14.8327","14.8327","14.8327","14.8327","14.8327","14.8327","13.9837","13.9837","13.9837","13.9837","13.9848","13.9848","13.9848","13.9848","13.9848","13.9848"
