"DATE","pconshh09Q3","pconshh09Q4","pconshh10Q1","pconshh10Q2","pconshh10Q3","pconshh10Q4","pconshh11Q1","pconshh11Q2","pconshh11Q3","pconshh11Q4","pconshh12Q1","pconshh12Q2","pconshh12Q3","pconshh12Q4","pconshh13Q1","pconshh13Q2","pconshh13Q3","pconshh13Q4","pconshh14Q1","pconshh14Q2","pconshh14Q3","pconshh14Q4","pconshh15Q1","pconshh15Q2"
"1947:Q1","8.633","8.633","8.633","8.633","8.633","8.633","8.633","8.633","8.632","8.632","8.632","8.632","8.632","8.632","8.632","8.632","7.985","7.985","7.985","7.985","7.986","7.986","7.986","7.986"
"1947:Q2","8.68","8.68","8.68","8.68","8.68","8.68","8.68","8.68","8.679","8.679","8.679","8.679","8.679","8.679","8.679","8.679","8.028","8.028","8.028","8.028","8.029","8.029","8.029","8.029"
"1947:Q3","8.883","8.883","8.883","8.883","8.883","8.883","8.883","8.883","8.882","8.882","8.882","8.882","8.882","8.882","8.882","8.882","8.216","8.216","8.216","8.216","8.216","8.216","8.216","8.216"
"1947:Q4","9.083","9.083","9.083","9.083","9.083","9.083","9.083","9.083","9.082","9.082","9.082","9.082","9.082","9.082","9.082","9.082","8.402","8.402","8.402","8.402","8.402","8.402","8.402","8.402"
"1948:Q1","9.134","9.134","9.134","9.134","9.134","9.134","9.134","9.134","9.133","9.133","9.133","9.133","9.133","9.133","9.133","9.133","8.449","8.449","8.449","8.449","8.449","8.449","8.449","8.449"
"1948:Q2","9.221","9.221","9.221","9.221","9.221","9.221","9.221","9.221","9.22","9.22","9.22","9.22","9.22","9.22","9.22","9.22","8.529","8.529","8.529","8.529","8.529","8.529","8.529","8.529"
"1948:Q3","9.36","9.36","9.36","9.36","9.36","9.36","9.36","9.36","9.359","9.359","9.359","9.359","9.359","9.359","9.359","9.359","8.657","8.657","8.657","8.657","8.658","8.658","8.658","8.658"
"1948:Q4","9.395","9.395","9.395","9.395","9.395","9.395","9.395","9.395","9.394","9.394","9.394","9.394","9.394","9.394","9.394","9.394","8.69","8.69","8.69","8.69","8.69","8.69","8.69","8.69"
"1949:Q1","9.391","9.391","9.391","9.391","9.391","9.391","9.391","9.391","9.39","9.39","9.39","9.39","9.39","9.39","9.39","9.39","8.687","8.687","8.687","8.687","8.687","8.687","8.687","8.687"
"1949:Q2","9.411","9.411","9.411","9.411","9.411","9.411","9.411","9.411","9.41","9.41","9.41","9.41","9.41","9.41","9.41","9.41","8.705","8.705","8.705","8.705","8.705","8.705","8.705","8.705"
"1949:Q3","9.441","9.441","9.441","9.441","9.441","9.441","9.441","9.441","9.44","9.44","9.44","9.44","9.44","9.44","9.44","9.44","8.733","8.733","8.733","8.733","8.733","8.733","8.733","8.733"
"1949:Q4","9.509","9.509","9.509","9.509","9.509","9.509","9.509","9.509","9.508","9.508","9.508","9.508","9.508","9.508","9.508","9.508","8.796","8.796","8.796","8.796","8.796","8.796","8.796","8.796"
"1950:Q1","9.548","9.548","9.548","9.548","9.548","9.548","9.548","9.548","9.547","9.547","9.547","9.547","9.547","9.547","9.547","9.547","8.832","8.832","8.832","8.832","8.832","8.832","8.832","8.832"
