"DATE","P65M11","P65M12","P66M1","P66M2","P66M3","P66M4","P66M5","P66M6","P66M7","P66M8","P66M9","P66M10","P66M11","P66M12","P67M1","P67M2","P67M3","P67M4","P67M5","P67M6","P67M7","P67M8","P67M9","P67M10","P67M11","P67M12","P68M1","P68M2","P68M3","P68M4","P68M5","P68M6","P68M7","P68M8","P68M9","P68M10","P68M11","P68M12","P69M1","P69M2","P69M3","P69M4","P69M5","P69M6","P69M7","P69M8","P69M9","P69M10","P69M11","P69M12"
"1947:Q1","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765"
"1947:Q2","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657"
"1947:Q3","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708"
"1947:Q4","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793"
"1948:Q1","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088"
"1948:Q2","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576"
"1948:Q3","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709"
"1948:Q4","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286"
"1949:Q1","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661"
"1949:Q2","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318"
"1949:Q3","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408","78.8408"
"1949:Q4","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741","78.8741"
"1950:Q1","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274","78.3274"
"1950:Q2","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244","79.0244"
"1950:Q3","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883","80.7883"
"1950:Q4","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751","82.2751"
"1951:Q1","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453","84.8453"
"1951:Q2","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997","85.3997"
"1951:Q3","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187","85.6187"
"1951:Q4","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735","86.6735"
"1952:Q1","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399","86.7399"
"1952:Q2","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038"
"1952:Q3","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738"
"1952:Q4","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556"
"1953:Q1","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766"
"1953:Q2","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565"
"1953:Q3","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216"
"1953:Q4","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583"
"1954:Q1","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259"
"1954:Q2","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294"
"1954:Q3","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629"
