"DATE","P70M1","P70M2","P70M3","P70M4","P70M5","P70M6","P70M7","P70M8","P70M9","P70M10","P70M11","P70M12","P71M1","P71M2","P71M3","P71M4","P71M5","P71M6","P71M7","P71M8","P71M9","P71M10","P71M11","P71M12","P72M1","P72M2","P72M3","P72M4","P72M5","P72M6","P72M7","P72M8","P72M9","P72M10","P72M11","P72M12","P73M1","P73M2","P73M3","P73M4","P73M5","P73M6","P73M7","P73M8","P73M9","P73M10","P73M11","P73M12","P74M1","P74M2","P74M3","P74M4","P74M5","P74M6","P74M7","P74M8","P74M9","P74M10","P74M11","P74M12","P75M1","P75M2","P75M3","P75M4","P75M5","P75M6","P75M7","P75M8","P75M9","P75M10","P75M11","P75M12","P76M1","P76M2","P76M3","P76M4","P76M5","P76M6","P76M7","P76M8","P76M9","P76M10","P76M11","P76M12","P77M1","P77M2","P77M3","P77M4","P77M5","P77M6","P77M7","P77M8","P77M9","P77M10","P77M11","P77M12","P78M1","P78M2","P78M3","P78M4","P78M5","P78M6","P78M7","P78M8","P78M9","P78M10","P78M11","P78M12","P79M1","P79M2","P79M3","P79M4","P79M5","P79M6","P79M7","P79M8","P79M9","P79M10","P79M11","P79M12"
"1947:Q1","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698"
"1947:Q2","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053"
"1947:Q3","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504"
"1947:Q4","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425"
"1948:Q1","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942"
"1948:Q2","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012"
"1948:Q3","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897"
"1948:Q4","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539"
"1949:Q1","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843"
"1949:Q2","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852"
