"DATE","P10M1","P10M2","P10M3","P10M4","P10M5","P10M6","P10M7","P10M8","P10M9","P10M10","P10M11","P10M12","P11M1","P11M2","P11M3","P11M4","P11M5","P11M6","P11M7","P11M8","P11M9","P11M10","P11M11","P11M12","P12M1","P12M2","P12M3","P12M4","P12M5","P12M6","P12M7","P12M8","P12M9","P12M10","P12M11","P12M12","P13M1","P13M2","P13M3","P13M4","P13M5","P13M6","P13M7","P13M8","P13M9","P13M10","P13M11","P13M12","P14M1","P14M2","P14M3","P14M4","P14M5","P14M6","P14M7","P14M8","P14M9","P14M10","P14M11","P14M12","P15M1","P15M2","P15M3","P15M4","P15M5"
"1947:Q1","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607"
"1947:Q2","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779"
"1947:Q3","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979"
"1947:Q4","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246"
"1948:Q1","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395"
"1948:Q2","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552"
"1948:Q3","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788"
"1948:Q4","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.783","13.782","13.782","13.782","13.782","13.782","13.782","13.782","13.782","13.782","13.782"
"1949:Q1","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738"
"1949:Q2","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652"
