"DATE","RCOND65Q4","RCOND66Q1","RCOND66Q2","RCOND66Q3","RCOND66Q4","RCOND67Q1","RCOND67Q2","RCOND67Q3","RCOND67Q4","RCOND68Q1","RCOND68Q2","RCOND68Q3","RCOND68Q4","RCOND69Q1","RCOND69Q2","RCOND69Q3","RCOND69Q4","RCOND70Q1","RCOND70Q2","RCOND70Q3","RCOND70Q4","RCOND71Q1","RCOND71Q2","RCOND71Q3","RCOND71Q4","RCOND72Q1","RCOND72Q2","RCOND72Q3","RCOND72Q4","RCOND73Q1","RCOND73Q2","RCOND73Q3","RCOND73Q4","RCOND74Q1","RCOND74Q2","RCOND74Q3","RCOND74Q4","RCOND75Q1","RCOND75Q2","RCOND75Q3","RCOND75Q4","RCOND76Q1","RCOND76Q2","RCOND76Q3","RCOND76Q4","RCOND77Q1","RCOND77Q2","RCOND77Q3","RCOND77Q4","RCOND78Q1","RCOND78Q2","RCOND78Q3","RCOND78Q4","RCOND79Q1","RCOND79Q2","RCOND79Q3","RCOND79Q4","RCOND80Q1","RCOND80Q2","RCOND80Q3","RCOND80Q4","RCOND81Q1","RCOND81Q2","RCOND81Q3","RCOND81Q4","RCOND82Q1","RCOND82Q2","RCOND82Q3","RCOND82Q4","RCOND83Q1","RCOND83Q2","RCOND83Q3","RCOND83Q4","RCOND84Q1","RCOND84Q2","RCOND84Q3","RCOND84Q4","RCOND85Q1","RCOND85Q2","RCOND85Q3","RCOND85Q4","RCOND86Q1","RCOND86Q2","RCOND86Q3","RCOND86Q4","RCOND87Q1","RCOND87Q2","RCOND87Q3","RCOND87Q4","RCOND88Q1","RCOND88Q2","RCOND88Q3","RCOND88Q4","RCOND89Q1","RCOND89Q2","RCOND89Q3","RCOND89Q4","RCOND90Q1","RCOND90Q2","RCOND90Q3","RCOND90Q4","RCOND91Q1","RCOND91Q2","RCOND91Q3","RCOND91Q4","RCOND92Q1","RCOND92Q2","RCOND92Q3","RCOND92Q4","RCOND93Q1","RCOND93Q2","RCOND93Q3","RCOND93Q4","RCOND94Q1","RCOND94Q2","RCOND94Q3","RCOND94Q4","RCOND95Q1","RCOND95Q2","RCOND95Q3","RCOND95Q4","RCOND96Q1","RCOND96Q2","RCOND96Q3","RCOND96Q4","RCOND97Q1","RCOND97Q2","RCOND97Q3","RCOND97Q4","RCOND98Q1","RCOND98Q2","RCOND98Q3","RCOND98Q4","RCOND99Q1","RCOND99Q2","RCOND99Q3","RCOND99Q4","RCOND00Q1","RCOND00Q2","RCOND00Q3","RCOND00Q4","RCOND01Q1","RCOND01Q2","RCOND01Q3","RCOND01Q4","RCOND02Q1","RCOND02Q2","RCOND02Q3","RCOND02Q4","RCOND03Q1","RCOND03Q2","RCOND03Q3","RCOND03Q4","RCOND04Q1","RCOND04Q2","RCOND04Q3","RCOND04Q4","RCOND05Q1","RCOND05Q2","RCOND05Q3","RCOND05Q4","RCOND06Q1","RCOND06Q2","RCOND06Q3","RCOND06Q4","RCOND07Q1","RCOND07Q2","RCOND07Q3","RCOND07Q4","RCOND08Q1","RCOND08Q2","RCOND08Q3","RCOND08Q4","RCOND09Q1","RCOND09Q2","RCOND09Q3","RCOND09Q4","RCOND10Q1","RCOND10Q2","RCOND10Q3","RCOND10Q4","RCOND11Q1","RCOND11Q2","RCOND11Q3","RCOND11Q4","RCOND12Q1","RCOND12Q2","RCOND12Q3","RCOND12Q4","RCOND13Q1","RCOND13Q2","RCOND13Q3","RCOND13Q4","RCOND14Q1","RCOND14Q2","RCOND14Q3","RCOND14Q4","RCOND15Q1","RCOND15Q2"
"1947:Q1","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","#N/A","#N/A","#N/A","#N/A","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","#N/A","#N/A","#N/A","#N/A","#N/A","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","#N/A","#N/A","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","50.1","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6"
"1947:Q2","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","#N/A","#N/A","#N/A","#N/A","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","#N/A","#N/A","#N/A","#N/A","#N/A","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","#N/A","#N/A","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6"
"1947:Q3","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","#N/A","#N/A","#N/A","#N/A","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","#N/A","#N/A","#N/A","#N/A","#N/A","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","#N/A","#N/A","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","59.4","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","51.9","48.3","48.3","48.3","48.3","48.3","48.3","48.3","48.3"
"1947:Q4","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","#N/A","#N/A","#N/A","#N/A","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","#N/A","#N/A","#N/A","#N/A","#N/A","64.3","64.3","64.3","64.3","64.3","64.3","64.3","64.3","64.3","64.3","#N/A","#N/A","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","63.5","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4"
"1948:Q1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","#N/A","#N/A","#N/A","#N/A","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","#N/A","#N/A","#N/A","#N/A","#N/A","63.7","63.7","63.7","63.7","63.7","63.7","63.7","63.7","63.7","63.7","#N/A","#N/A","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1"
"1948:Q2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","#N/A","#N/A","#N/A","#N/A","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","#N/A","#N/A","#N/A","#N/A","#N/A","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","#N/A","#N/A","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","58.3","55.4","55.4","55.4","55.4","55.4","55.4","55.4","55.4","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5"
"1948:Q3","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","#N/A","#N/A","#N/A","#N/A","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","73.1","#N/A","#N/A","#N/A","#N/A","#N/A","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","#N/A","#N/A","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4"
"1948:Q4","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","#N/A","#N/A","#N/A","#N/A","74.3","74.3","74.3","74.3","74.3","74.3","74.3","74.3","74.3","74.3","74.3","74.3","#N/A","#N/A","#N/A","#N/A","#N/A","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","#N/A","#N/A","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","55.5","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6"
"1949:Q1","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","#N/A","#N/A","#N/A","#N/A","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","73.2","#N/A","#N/A","#N/A","#N/A","#N/A","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","#N/A","#N/A","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.0","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7"
"1949:Q2","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","#N/A","#N/A","#N/A","#N/A","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","#N/A","#N/A","#N/A","#N/A","#N/A","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","#N/A","#N/A","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","55.1","55.1","55.1","55.1","55.1","55.1","55.1","55.1"
