"DATE","rcong09Q3","rcong09Q4","rcong10Q1","rcong10Q2","rcong10Q3","rcong10Q4","rcong11Q1","rcong11Q2","rcong11Q3","rcong11Q4","rcong12Q1","rcong12Q2","rcong12Q3","rcong12Q4","rcong13Q1","rcong13Q2","rcong13Q3","rcong13Q4","rcong14Q1","rcong14Q2","rcong14Q3","rcong14Q4","rcong15Q1","rcong15Q2"
"1947:Q1","406.5","406.5","406.5","406.5","406.5","406.5","406.5","406.5","406.2","406.2","406.2","406.2","406.2","406.2","406.2","406.2","418.4","418.4","418.4","418.4","418.4","418.4","418.4","418.4"
"1947:Q2","413.9","413.9","413.9","413.9","413.9","413.9","413.9","413.9","413.5","413.5","413.5","413.5","413.5","413.5","413.5","413.5","425.9","425.9","425.9","425.9","425.9","425.9","425.9","425.9"
"1947:Q3","416.6","416.6","416.6","416.6","416.6","416.6","416.6","416.6","416.3","416.3","416.3","416.3","416.3","416.3","416.3","416.3","428.7","428.7","428.7","428.7","428.7","428.7","428.7","428.7"
"1947:Q4","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","417.8","417.8","417.8","417.8","417.8","417.8","417.8","417.8","430.3","430.3","430.3","430.3","430.3","430.3","430.3","430.3"
"1948:Q1","418.8","418.8","418.8","418.8","418.8","418.8","418.8","418.8","418.4","418.4","418.4","418.4","418.4","418.4","418.4","418.4","431.0","431.0","431.0","431.0","431.0","431.0","431.0","431.0"
"1948:Q2","422.6","422.6","422.6","422.6","422.6","422.6","422.6","422.6","422.2","422.2","422.2","422.2","422.2","422.2","422.2","422.2","434.9","434.9","434.9","434.9","434.9","434.9","434.9","434.9"
"1948:Q3","422.2","422.2","422.2","422.2","422.2","422.2","422.2","422.2","421.8","421.8","421.8","421.8","421.8","421.8","421.8","421.8","434.5","434.5","434.5","434.5","434.5","434.5","434.5","434.5"
"1948:Q4","425.1","425.1","425.1","425.1","425.1","425.1","425.1","425.1","424.6","424.6","424.6","424.6","424.6","424.6","424.6","424.6","437.3","437.3","437.3","437.3","437.3","437.3","437.3","437.3"
"1949:Q1","424.5","424.5","424.5","424.5","424.5","424.5","424.5","424.5","423.9","423.9","423.9","423.9","423.9","423.9","423.9","423.9","436.7","436.7","436.7","436.7","436.7","436.7","436.7","436.7"
"1949:Q2","433.8","433.8","433.8","433.8","433.8","433.8","433.8","433.8","433.2","433.2","433.2","433.2","433.2","433.2","433.2","433.2","446.3","446.3","446.3","446.3","446.3","446.3","446.3","446.3"
"1949:Q3","436.0","436.0","436.0","436.0","436.0","436.0","436.0","436.0","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","448.6","448.6","448.6","448.6","448.6","448.6","448.6","448.6"
"1949:Q4","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6"
"1950:Q1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","454.1","453.8","453.8","453.8","453.8","453.8","453.8","453.8","453.8","467.5","467.5","467.5","467.5","467.5","467.5","467.5","467.5"
"1950:Q2","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","472.5","472.5","472.5","472.5","472.5","472.5","472.5","472.5"
"1950:Q3","493.2","493.2","493.2","493.2","493.2","493.2","493.2","493.2","492.9","492.9","492.9","492.9","492.9","492.9","492.9","492.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9"
"1950:Q4","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.3","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","481.1","481.1","481.1","481.1","481.1","481.1","481.1","481.1"
"1951:Q1","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.7","477.3","477.3","477.3","477.3","477.3","477.3","477.3","477.3","491.7","491.7","491.7","491.7","491.7","491.7","491.7","491.7"
"1951:Q2","453.6","453.6","453.6","453.6","453.6","453.6","453.6","453.6","453.0","453.0","453.0","453.0","453.0","453.0","453.0","453.0","466.7","466.7","466.7","466.7","466.7","466.7","466.7","466.7"
"1951:Q3","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","471.9","471.9","471.9","471.9","471.9","471.9","471.9","471.9"
"1951:Q4","462.3","462.3","462.3","462.3","462.3","462.3","462.3","462.3","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7","475.7"
"1952:Q1","460.0","460.0","460.0","460.0","460.0","460.0","460.0","460.0","459.5","459.5","459.5","459.5","459.5","459.5","459.5","459.5","473.4","473.4","473.4","473.4","473.4","473.4","473.4","473.4"
"1952:Q2","470.3","470.3","470.3","470.3","470.3","470.3","470.3","470.3","469.8","469.8","469.8","469.8","469.8","469.8","469.8","469.8","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0"
"1952:Q3","469.8","469.8","469.8","469.8","469.8","469.8","469.8","469.8","469.3","469.3","469.3","469.3","469.3","469.3","469.3","469.3","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5"
"1952:Q4","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.0","493.0","493.0","493.0","493.0","493.0","493.0","493.0","507.9","507.9","507.9","507.9","507.9","507.9","507.9","507.9"
"1953:Q1","500.0","500.0","500.0","500.0","500.0","500.0","500.0","500.0","499.5","499.5","499.5","499.5","499.5","499.5","499.5","499.5","514.7","514.7","514.7","514.7","514.7","514.7","514.7","514.7"
"1953:Q2","501.0","501.0","501.0","501.0","501.0","501.0","501.0","501.0","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","515.6","515.6","515.6","515.6","515.6","515.6","515.6","515.6"
