"DATE","RCON65M11","RCON65M12","RCON66M1","RCON66M2","RCON66M3","RCON66M4","RCON66M5","RCON66M6","RCON66M7","RCON66M8","RCON66M9","RCON66M10","RCON66M11","RCON66M12","RCON67M1","RCON67M2","RCON67M3","RCON67M4","RCON67M5","RCON67M6","RCON67M7","RCON67M8","RCON67M9","RCON67M10","RCON67M11","RCON67M12","RCON68M1","RCON68M2","RCON68M3","RCON68M4","RCON68M5","RCON68M6","RCON68M7","RCON68M8","RCON68M9","RCON68M10","RCON68M11","RCON68M12","RCON69M1","RCON69M2","RCON69M3","RCON69M4","RCON69M5","RCON69M6","RCON69M7","RCON69M8","RCON69M9","RCON69M10","RCON69M11","RCON69M12"
"1947:Q1","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4","203.4"
"1947:Q2","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0"
"1947:Q3","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4","207.4"
"1947:Q4","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3","207.3"
"1948:Q1","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5","208.5"
"1948:Q2","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7","210.7"
"1948:Q3","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1","211.1"
"1948:Q4","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8","212.8"
"1949:Q1","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2","213.2"
"1949:Q2","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3","216.3"
"1949:Q3","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8","216.8"
"1949:Q4","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7","219.7"
"1950:Q1","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5","223.5"
"1950:Q2","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6","227.6"
"1950:Q3","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8"
"1950:Q4","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1","232.1"
"1951:Q1","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0","236.0"
"1951:Q2","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0"
"1951:Q3","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0","232.0"
"1951:Q4","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3","233.3"
"1952:Q1","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7"
"1952:Q2","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1","238.1"
"1952:Q3","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1","239.1"
"1952:Q4","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8","246.8"
"1953:Q1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1"
"1953:Q2","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5","251.5"
"1953:Q3","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1","251.1"
"1953:Q4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4","250.4"
"1954:Q1","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8","250.8"
"1954:Q2","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3"
"1954:Q3","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9","256.9"
"1954:Q4","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9"
"1955:Q1","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6"
"1955:Q2","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0"
"1955:Q3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3"
"1955:Q4","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9","279.9"
"1956:Q1","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8","279.8"
"1956:Q2","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3"
"1956:Q3","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8","280.8"
"1956:Q4","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7","284.7"
"1957:Q1","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6"
"1957:Q2","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0","287.0"
