"DATE","RCON90M1","RCON90M2","RCON90M3","RCON90M4","RCON90M5","RCON90M6","RCON90M7","RCON90M8","RCON90M9","RCON90M10","RCON90M11","RCON90M12","RCON91M1","RCON91M2","RCON91M3","RCON91M4","RCON91M5","RCON91M6","RCON91M7","RCON91M8","RCON91M9","RCON91M10","RCON91M11","RCON91M12","RCON92M1","RCON92M2","RCON92M3","RCON92M4","RCON92M5","RCON92M6","RCON92M7","RCON92M8","RCON92M9","RCON92M10","RCON92M11","RCON92M12","RCON93M1","RCON93M2","RCON93M3","RCON93M4","RCON93M5","RCON93M6","RCON93M7","RCON93M8","RCON93M9","RCON93M10","RCON93M11","RCON93M12","RCON94M1","RCON94M2","RCON94M3","RCON94M4","RCON94M5","RCON94M6","RCON94M7","RCON94M8","RCON94M9","RCON94M10","RCON94M11","RCON94M12","RCON95M1","RCON95M2","RCON95M3","RCON95M4","RCON95M5","RCON95M6","RCON95M7","RCON95M8","RCON95M9","RCON95M10","RCON95M11","RCON95M12","RCON96M1","RCON96M2","RCON96M3","RCON96M4","RCON96M5","RCON96M6","RCON96M7","RCON96M8","RCON96M9","RCON96M10","RCON96M11","RCON96M12","RCON97M1","RCON97M2","RCON97M3","RCON97M4","RCON97M5","RCON97M6","RCON97M7","RCON97M8","RCON97M9","RCON97M10","RCON97M11","RCON97M12","RCON98M1","RCON98M2","RCON98M3","RCON98M4","RCON98M5","RCON98M6","RCON98M7","RCON98M8","RCON98M9","RCON98M10","RCON98M11","RCON98M12","RCON99M1","RCON99M2","RCON99M3","RCON99M4","RCON99M5","RCON99M6","RCON99M7","RCON99M8","RCON99M9","RCON99M10","RCON99M11","RCON99M12"
"1947:Q1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","784.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","912.1","#N/A","#N/A"
"1947:Q2","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","796.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","928.5","#N/A","#N/A"
"1947:Q3","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","796.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","931.9","#N/A","#N/A"
"1947:Q4","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","795.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","932.1","#N/A","#N/A"
"1948:Q1","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","936.2","#N/A","#N/A"
"1948:Q2","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","946.2","#N/A","#N/A"
"1948:Q3","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","814.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","947.8","#N/A","#N/A"
"1948:Q4","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","822.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","955.4","#N/A","#N/A"
"1949:Q1","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","823.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","957.0","#N/A","#N/A"
"1949:Q2","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","834.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","971.5","#N/A","#N/A"
