"DATE","RCON10M1","RCON10M2","RCON10M3","RCON10M4","RCON10M5","RCON10M6","RCON10M7","RCON10M8","RCON10M9","RCON10M10","RCON10M11","RCON10M12","RCON11M1","RCON11M2","RCON11M3","RCON11M4","RCON11M5","RCON11M6","RCON11M7","RCON11M8","RCON11M9","RCON11M10","RCON11M11","RCON11M12","RCON12M1","RCON12M2","RCON12M3","RCON12M4","RCON12M5","RCON12M6","RCON12M7","RCON12M8","RCON12M9","RCON12M10","RCON12M11","RCON12M12","RCON13M1","RCON13M2","RCON13M3","RCON13M4","RCON13M5","RCON13M6","RCON13M7","RCON13M8","RCON13M9","RCON13M10","RCON13M11","RCON13M12","RCON14M1","RCON14M2","RCON14M3","RCON14M4","RCON14M5","RCON14M6","RCON14M7","RCON14M8","RCON14M9","RCON14M10","RCON14M11","RCON14M12","RCON15M1","RCON15M2","RCON15M3","RCON15M4","RCON15M5"
"1947:Q1","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1131.5","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1130.9","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4","1199.4"
"1947:Q2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1150.2","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1149.7","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3","1219.3"
"1947:Q3","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1154.0","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1153.4","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3","1223.3"
"1947:Q4","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1154.3","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1153.8","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.7","1223.6","1223.6","1223.6","1223.6","1223.6","1223.6","1223.6","1223.6","1223.6","1223.6"
"1948:Q1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1160.1","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1159.6","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8","1229.8"
"1948:Q2","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.6","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1173.0","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1","1244.1"
"1948:Q3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1174.8","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9","1245.9"
"1948:Q4","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.7","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1184.1","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.9","1255.8","1255.8","1255.8","1255.8","1255.8","1255.8","1255.8","1255.8","1255.8","1255.8"
"1949:Q1","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.5","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1186.0","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9","1257.9"
"1949:Q2","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.7","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1204.1","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.2","1277.1","1277.1","1277.1","1277.1","1277.1","1277.1","1277.1","1277.1","1277.1","1277.1"
