"DATE","RCONNDM98M11","RCONNDM98M12","RCONNDM99M1","RCONNDM99M2","RCONNDM99M3","RCONNDM99M4","RCONNDM99M5","RCONNDM99M6","RCONNDM99M7","RCONNDM99M8","RCONNDM99M9","RCONNDM99M10","RCONNDM99M11","RCONNDM99M12","RCONNDM00M1","RCONNDM00M2","RCONNDM00M3","RCONNDM00M4","RCONNDM00M5","RCONNDM00M6","RCONNDM00M7","RCONNDM00M8","RCONNDM00M9","RCONNDM00M10","RCONNDM00M11","RCONNDM00M12","RCONNDM01M1","RCONNDM01M2","RCONNDM01M3","RCONNDM01M4","RCONNDM01M5","RCONNDM01M6","RCONNDM01M7","RCONNDM01M8","RCONNDM01M9","RCONNDM01M10","RCONNDM01M11","RCONNDM01M12","RCONNDM02M1","RCONNDM02M2","RCONNDM02M3","RCONNDM02M4","RCONNDM02M5","RCONNDM02M6","RCONNDM02M7","RCONNDM02M8","RCONNDM02M9","RCONNDM02M10","RCONNDM02M11","RCONNDM02M12","RCONNDM03M1","RCONNDM03M2","RCONNDM03M3","RCONNDM03M4","RCONNDM03M5","RCONNDM03M6","RCONNDM03M7","RCONNDM03M8","RCONNDM03M9","RCONNDM03M10","RCONNDM03M11","RCONNDM03M12","RCONNDM04M1","RCONNDM04M2","RCONNDM04M3","RCONNDM04M4","RCONNDM04M5","RCONNDM04M6","RCONNDM04M7","RCONNDM04M8","RCONNDM04M9","RCONNDM04M10","RCONNDM04M11","RCONNDM04M12","RCONNDM05M1","RCONNDM05M2","RCONNDM05M3","RCONNDM05M4","RCONNDM05M5","RCONNDM05M6","RCONNDM05M7","RCONNDM05M8","RCONNDM05M9","RCONNDM05M10","RCONNDM05M11","RCONNDM05M12","RCONNDM06M1","RCONNDM06M2","RCONNDM06M3","RCONNDM06M4","RCONNDM06M5","RCONNDM06M6","RCONNDM06M7","RCONNDM06M8","RCONNDM06M9","RCONNDM06M10","RCONNDM06M11","RCONNDM06M12","RCONNDM07M1","RCONNDM07M2","RCONNDM07M3","RCONNDM07M4","RCONNDM07M5","RCONNDM07M6","RCONNDM07M7","RCONNDM07M8","RCONNDM07M9","RCONNDM07M10","RCONNDM07M11","RCONNDM07M12","RCONNDM08M1","RCONNDM08M2","RCONNDM08M3","RCONNDM08M4","RCONNDM08M5","RCONNDM08M6","RCONNDM08M7","RCONNDM08M8","RCONNDM08M9","RCONNDM08M10","RCONNDM08M11","RCONNDM08M12","RCONNDM09M1","RCONNDM09M2","RCONNDM09M3","RCONNDM09M4","RCONNDM09M5","RCONNDM09M6","RCONNDM09M7","RCONNDM09M8","RCONNDM09M9","RCONNDM09M10","RCONNDM09M11","RCONNDM09M12","RCONNDM10M1","RCONNDM10M2","RCONNDM10M3","RCONNDM10M4","RCONNDM10M5","RCONNDM10M6","RCONNDM10M7","RCONNDM10M8","RCONNDM10M9","RCONNDM10M10","RCONNDM10M11","RCONNDM10M12","RCONNDM11M1","RCONNDM11M2","RCONNDM11M3","RCONNDM11M4","RCONNDM11M5","RCONNDM11M6","RCONNDM11M7","RCONNDM11M8","RCONNDM11M9","RCONNDM11M10","RCONNDM11M11","RCONNDM11M12","RCONNDM12M1","RCONNDM12M2","RCONNDM12M3","RCONNDM12M4","RCONNDM12M5","RCONNDM12M6","RCONNDM12M7","RCONNDM12M8","RCONNDM12M9","RCONNDM12M10","RCONNDM12M11","RCONNDM12M12","RCONNDM13M1","RCONNDM13M2","RCONNDM13M3","RCONNDM13M4","RCONNDM13M5","RCONNDM13M6","RCONNDM13M7","RCONNDM13M8","RCONNDM13M9","RCONNDM13M10","RCONNDM13M11","RCONNDM13M12","RCONNDM14M1","RCONNDM14M2","RCONNDM14M3","RCONNDM14M4","RCONNDM14M5","RCONNDM14M6","RCONNDM14M7","RCONNDM14M8","RCONNDM14M9","RCONNDM14M10","RCONNDM14M11","RCONNDM14M12","RCONNDM15M1","RCONNDM15M2","RCONNDM15M3","RCONNDM15M4","RCONNDM15M5","RCONNDM15M6","RCONNDM15M7","RCONNDM15M8","RCONNDM15M9","RCONNDM15M10","RCONNDM15M11"
"1959:01","595.59","595.59","595.59","595.59","595.59","595.59","595.59","595.59","595.59","595.59","595.59","595.59","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","640.2","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.415","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","578.336","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546","629.546"
"1959:02","597.744","597.744","597.744","597.744","597.744","597.744","597.744","597.744","597.744","597.744","597.744","597.744","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","642.8","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.405","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","579.352","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656","630.656"
"1959:03","606.64","606.64","606.64","606.64","606.64","606.64","606.64","606.64","606.64","606.64","606.64","606.64","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","652.1","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.599","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","590.545","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836","642.836"
"1959:04","596.938","596.938","596.938","596.938","596.938","596.938","596.938","596.938","596.938","596.938","596.938","596.938","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","641.9","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.53","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","580.465","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874","631.874"
"1959:05","608.451","608.451","608.451","608.451","608.451","608.451","608.451","608.451","608.451","608.451","608.451","608.451","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","654.5","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","592.056","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","591.99","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424","644.424"
"1959:06","609.072","609.072","609.072","609.072","609.072","609.072","609.072","609.072","609.072","609.072","609.072","609.072","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","655.4","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.288","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","590.252","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51","642.51"
"1959:07","604.776","604.776","604.776","604.776","604.776","604.776","604.776","604.776","604.776","604.776","604.776","604.776","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","587.01","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","586.989","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965","638.965"
"1959:08","606.534","606.534","606.534","606.534","606.534","606.534","606.534","606.534","606.534","606.534","606.534","606.534","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","652.6","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.558","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","588.513","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64","640.64"
"1959:09","612.879","612.879","612.879","612.879","612.879","612.879","612.879","612.879","612.879","612.879","612.879","612.879","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","659.3","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.991","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","593.944","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556","646.556"
"1959:10","612.337","612.337","612.337","612.337","612.337","612.337","612.337","612.337","612.337","612.337","612.337","612.337","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","658.8","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.207","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","594.158","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795","646.795"
