"DATE","RCONND10M1","RCONND10M2","RCONND10M3","RCONND10M4","RCONND10M5","RCONND10M6","RCONND10M7","RCONND10M8","RCONND10M9","RCONND10M10","RCONND10M11","RCONND10M12","RCONND11M1","RCONND11M2","RCONND11M3","RCONND11M4","RCONND11M5","RCONND11M6","RCONND11M7","RCONND11M8","RCONND11M9","RCONND11M10","RCONND11M11","RCONND11M12","RCONND12M1","RCONND12M2","RCONND12M3","RCONND12M4","RCONND12M5","RCONND12M6","RCONND12M7","RCONND12M8","RCONND12M9","RCONND12M10","RCONND12M11","RCONND12M12","RCONND13M1","RCONND13M2","RCONND13M3","RCONND13M4","RCONND13M5","RCONND13M6","RCONND13M7","RCONND13M8","RCONND13M9","RCONND13M10","RCONND13M11","RCONND13M12","RCONND14M1","RCONND14M2","RCONND14M3","RCONND14M4","RCONND14M5","RCONND14M6","RCONND14M7","RCONND14M8","RCONND14M9","RCONND14M10","RCONND14M11","RCONND14M12","RCONND15M1","RCONND15M2","RCONND15M3","RCONND15M4","RCONND15M5"
"1947:Q1","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7"
"1947:Q2","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6"
"1947:Q3","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8"
"1947:Q4","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6"
"1948:Q1","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1"
"1948:Q2","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7"
"1948:Q3","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8"
"1948:Q4","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0"
"1949:Q1","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8"
"1949:Q2","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1"
