"DATE","RCONND65Q4","RCONND66Q1","RCONND66Q2","RCONND66Q3","RCONND66Q4","RCONND67Q1","RCONND67Q2","RCONND67Q3","RCONND67Q4","RCONND68Q1","RCONND68Q2","RCONND68Q3","RCONND68Q4","RCONND69Q1","RCONND69Q2","RCONND69Q3","RCONND69Q4","RCONND70Q1","RCONND70Q2","RCONND70Q3","RCONND70Q4","RCONND71Q1","RCONND71Q2","RCONND71Q3","RCONND71Q4","RCONND72Q1","RCONND72Q2","RCONND72Q3","RCONND72Q4","RCONND73Q1","RCONND73Q2","RCONND73Q3","RCONND73Q4","RCONND74Q1","RCONND74Q2","RCONND74Q3","RCONND74Q4","RCONND75Q1","RCONND75Q2","RCONND75Q3","RCONND75Q4","RCONND76Q1","RCONND76Q2","RCONND76Q3","RCONND76Q4","RCONND77Q1","RCONND77Q2","RCONND77Q3","RCONND77Q4","RCONND78Q1","RCONND78Q2","RCONND78Q3","RCONND78Q4","RCONND79Q1","RCONND79Q2","RCONND79Q3","RCONND79Q4","RCONND80Q1","RCONND80Q2","RCONND80Q3","RCONND80Q4","RCONND81Q1","RCONND81Q2","RCONND81Q3","RCONND81Q4","RCONND82Q1","RCONND82Q2","RCONND82Q3","RCONND82Q4","RCONND83Q1","RCONND83Q2","RCONND83Q3","RCONND83Q4","RCONND84Q1","RCONND84Q2","RCONND84Q3","RCONND84Q4","RCONND85Q1","RCONND85Q2","RCONND85Q3","RCONND85Q4","RCONND86Q1","RCONND86Q2","RCONND86Q3","RCONND86Q4","RCONND87Q1","RCONND87Q2","RCONND87Q3","RCONND87Q4","RCONND88Q1","RCONND88Q2","RCONND88Q3","RCONND88Q4","RCONND89Q1","RCONND89Q2","RCONND89Q3","RCONND89Q4","RCONND90Q1","RCONND90Q2","RCONND90Q3","RCONND90Q4","RCONND91Q1","RCONND91Q2","RCONND91Q3","RCONND91Q4","RCONND92Q1","RCONND92Q2","RCONND92Q3","RCONND92Q4","RCONND93Q1","RCONND93Q2","RCONND93Q3","RCONND93Q4","RCONND94Q1","RCONND94Q2","RCONND94Q3","RCONND94Q4","RCONND95Q1","RCONND95Q2","RCONND95Q3","RCONND95Q4","RCONND96Q1","RCONND96Q2","RCONND96Q3","RCONND96Q4","RCONND97Q1","RCONND97Q2","RCONND97Q3","RCONND97Q4","RCONND98Q1","RCONND98Q2","RCONND98Q3","RCONND98Q4","RCONND99Q1","RCONND99Q2","RCONND99Q3","RCONND99Q4","RCONND00Q1","RCONND00Q2","RCONND00Q3","RCONND00Q4","RCONND01Q1","RCONND01Q2","RCONND01Q3","RCONND01Q4","RCONND02Q1","RCONND02Q2","RCONND02Q3","RCONND02Q4","RCONND03Q1","RCONND03Q2","RCONND03Q3","RCONND03Q4","RCONND04Q1","RCONND04Q2","RCONND04Q3","RCONND04Q4","RCONND05Q1","RCONND05Q2","RCONND05Q3","RCONND05Q4","RCONND06Q1","RCONND06Q2","RCONND06Q3","RCONND06Q4","RCONND07Q1","RCONND07Q2","RCONND07Q3","RCONND07Q4","RCONND08Q1","RCONND08Q2","RCONND08Q3","RCONND08Q4","RCONND09Q1","RCONND09Q2","RCONND09Q3","RCONND09Q4","RCONND10Q1","RCONND10Q2","RCONND10Q3","RCONND10Q4","RCONND11Q1","RCONND11Q2","RCONND11Q3","RCONND11Q4","RCONND12Q1","RCONND12Q2","RCONND12Q3","RCONND12Q4","RCONND13Q1","RCONND13Q2","RCONND13Q3","RCONND13Q4","RCONND14Q1","RCONND14Q2","RCONND14Q3","RCONND14Q4","RCONND15Q1","RCONND15Q2"
"1947:Q1","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","153.0","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","#N/A","#N/A","#N/A","#N/A","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","#N/A","#N/A","#N/A","#N/A","#N/A","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","#N/A","#N/A","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","439.3","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7"
"1947:Q2","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","155.8","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","#N/A","#N/A","#N/A","#N/A","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","#N/A","#N/A","#N/A","#N/A","#N/A","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","#N/A","#N/A","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","446.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","482.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.7","431.6","431.6","431.6","431.6","431.6","431.6","431.6","431.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6","469.6"
"1947:Q3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","109.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","#N/A","#N/A","#N/A","#N/A","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","#N/A","#N/A","#N/A","#N/A","#N/A","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","#N/A","#N/A","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","448.1","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","484.5","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.7","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8"
"1947:Q4","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","#N/A","#N/A","#N/A","#N/A","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","#N/A","#N/A","#N/A","#N/A","#N/A","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","#N/A","#N/A","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","442.2","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","465.6","465.6","465.6","465.6","465.6","465.6","465.6","465.6"
"1948:Q1","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","#N/A","#N/A","#N/A","#N/A","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","#N/A","#N/A","#N/A","#N/A","#N/A","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","#N/A","#N/A","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","442.3","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","429.4","467.1","467.1","467.1","467.1","467.1","467.1","467.1","467.1"
"1948:Q2","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","155.6","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","#N/A","#N/A","#N/A","#N/A","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","#N/A","#N/A","#N/A","#N/A","#N/A","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","#N/A","#N/A","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","446.9","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","483.0","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","433.6","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7"
"1948:Q3","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","#N/A","#N/A","#N/A","#N/A","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","#N/A","#N/A","#N/A","#N/A","#N/A","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","#N/A","#N/A","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","443.3","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","479.0","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","430.9","468.8","468.8","468.8","468.8","468.8","468.8","468.8","468.8"
"1948:Q4","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","109.7","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","#N/A","#N/A","#N/A","#N/A","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","#N/A","#N/A","#N/A","#N/A","#N/A","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","#N/A","#N/A","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","449.6","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.6","436.5","436.5","436.5","436.5","436.5","436.5","436.5","436.5","475.0","475.0","475.0","475.0","475.0","475.0","475.0","475.0"
"1949:Q1","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","157.2","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","#N/A","#N/A","#N/A","#N/A","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","#N/A","#N/A","#N/A","#N/A","#N/A","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","#N/A","#N/A","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","451.8","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","488.3","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","438.2","476.8","476.8","476.8","476.8","476.8","476.8","476.8","476.8"
"1949:Q2","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","157.5","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","#N/A","#N/A","#N/A","#N/A","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","#N/A","#N/A","#N/A","#N/A","#N/A","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","#N/A","#N/A","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","452.7","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","439.4","478.1","478.1","478.1","478.1","478.1","478.1","478.1","478.1"
