"DATE","RCONS10M1","RCONS10M2","RCONS10M3","RCONS10M4","RCONS10M5","RCONS10M6","RCONS10M7","RCONS10M8","RCONS10M9","RCONS10M10","RCONS10M11","RCONS10M12","RCONS11M1","RCONS11M2","RCONS11M3","RCONS11M4","RCONS11M5","RCONS11M6","RCONS11M7","RCONS11M8","RCONS11M9","RCONS11M10","RCONS11M11","RCONS11M12","RCONS12M1","RCONS12M2","RCONS12M3","RCONS12M4","RCONS12M5","RCONS12M6","RCONS12M7","RCONS12M8","RCONS12M9","RCONS12M10","RCONS12M11","RCONS12M12","RCONS13M1","RCONS13M2","RCONS13M3","RCONS13M4","RCONS13M5","RCONS13M6","RCONS13M7","RCONS13M8","RCONS13M9","RCONS13M10","RCONS13M11","RCONS13M12","RCONS14M1","RCONS14M2","RCONS14M3","RCONS14M4","RCONS14M5","RCONS14M6","RCONS14M7","RCONS14M8","RCONS14M9","RCONS14M10","RCONS14M11","RCONS14M12","RCONS15M1","RCONS15M2","RCONS15M3","RCONS15M4","RCONS15M5","RCONS15M6","RCONS15M7","RCONS15M8","RCONS15M9","RCONS15M10","RCONS15M11"
"1947:Q1","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","672.8","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","673.3","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0","724.0"
"1947:Q2","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","682.5","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","683.0","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5","734.5"
"1947:Q3","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.0","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","681.5","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.8","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9","732.9"
"1947:Q4","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","677.5","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","678.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0","729.0"
"1948:Q1","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","684.7","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9","736.9"
"1948:Q2","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","695.4","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","696.0","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4","748.4"
"1948:Q3","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.2","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","699.8","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.4","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3","752.3"
"1948:Q4","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.2","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","706.8","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9"
"1949:Q1","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","710.8","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","711.3","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7","764.7"
"1949:Q2","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.4","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","714.9","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6","768.6"
