"DATE","REX80M1","REX80M2","REX80M3","REX80M4","REX80M5","REX80M6","REX80M7","REX80M8","REX80M9","REX80M10","REX80M11","REX80M12","REX81M1","REX81M2","REX81M3","REX81M4","REX81M5","REX81M6","REX81M7","REX81M8","REX81M9","REX81M10","REX81M11","REX81M12","REX82M1","REX82M2","REX82M3","REX82M4","REX82M5","REX82M6","REX82M7","REX82M8","REX82M9","REX82M10","REX82M11","REX82M12","REX83M1","REX83M2","REX83M3","REX83M4","REX83M5","REX83M6","REX83M7","REX83M8","REX83M9","REX83M10","REX83M11","REX83M12","REX84M1","REX84M2","REX84M3","REX84M4","REX84M5","REX84M6","REX84M7","REX84M8","REX84M9","REX84M10","REX84M11","REX84M12","REX85M1","REX85M2","REX85M3","REX85M4","REX85M5","REX85M6","REX85M7","REX85M8","REX85M9","REX85M10","REX85M11","REX85M12","REX86M1","REX86M2","REX86M3","REX86M4","REX86M5","REX86M6","REX86M7","REX86M8","REX86M9","REX86M10","REX86M11","REX86M12","REX87M1","REX87M2","REX87M3","REX87M4","REX87M5","REX87M6","REX87M7","REX87M8","REX87M9","REX87M10","REX87M11","REX87M12","REX88M1","REX88M2","REX88M3","REX88M4","REX88M5","REX88M6","REX88M7","REX88M8","REX88M9","REX88M10","REX88M11","REX88M12","REX89M1","REX89M2","REX89M3","REX89M4","REX89M5","REX89M6","REX89M7","REX89M8","REX89M9","REX89M10","REX89M11","REX89M12"
"1947:Q1","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9"
"1947:Q2","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6","85.6"
"1947:Q3","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9"
"1947:Q4","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9"
"1948:Q1","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5","71.5"
"1948:Q2","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0"
"1948:Q3","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4"
"1948:Q4","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0"
"1949:Q1","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8"
"1949:Q2","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9"
