"DATE","RGF10M1","RGF10M2","RGF10M3","RGF10M4","RGF10M5","RGF10M6","RGF10M7","RGF10M8","RGF10M9","RGF10M10","RGF10M11","RGF10M12","RGF11M1","RGF11M2","RGF11M3","RGF11M4","RGF11M5","RGF11M6","RGF11M7","RGF11M8","RGF11M9","RGF11M10","RGF11M11","RGF11M12","RGF12M1","RGF12M2","RGF12M3","RGF12M4","RGF12M5","RGF12M6","RGF12M7","RGF12M8","RGF12M9","RGF12M10","RGF12M11","RGF12M12","RGF13M1","RGF13M2","RGF13M3","RGF13M4","RGF13M5","RGF13M6","RGF13M7","RGF13M8","RGF13M9","RGF13M10","RGF13M11","RGF13M12","RGF14M1","RGF14M2","RGF14M3","RGF14M4","RGF14M5","RGF14M6","RGF14M7","RGF14M8","RGF14M9","RGF14M10","RGF14M11","RGF14M12","RGF15M1","RGF15M2","RGF15M3","RGF15M4","RGF15M5"
"1947:Q1","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4","238.4"
"1947:Q2","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.1","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9","239.9"
"1947:Q3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.3","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","224.4","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3","239.3"
"1947:Q4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.4","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","216.6","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4","234.4"
"1948:Q1","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","224.0","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5","239.5"
"1948:Q2","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","237.6","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4","248.4"
"1948:Q3","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","242.5","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8","253.8"
"1948:Q4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","255.6","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0","265.0"
"1949:Q1","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.6","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3","270.3"
"1949:Q2","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","270.5","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0"
"1949:Q3","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.5","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","267.6","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0","277.0"
"1949:Q4","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2","264.2"
"1950:Q1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.1","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","242.2","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0","253.0"
"1950:Q2","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.4","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","247.6","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8","258.8"
"1950:Q3","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3","251.3"
"1950:Q4","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.7","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9","282.9"
"1951:Q1","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5","335.5"
"1951:Q2","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","387.4","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7","402.7"
"1951:Q3","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","454.4","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9","467.9"
"1951:Q4","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.1","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","492.0","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6"
"1952:Q1","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2"
"1952:Q2","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5"
