"DATE","RG90M1","RG90M2","RG90M3","RG90M4","RG90M5","RG90M6","RG90M7","RG90M8","RG90M9","RG90M10","RG90M11","RG90M12","RG91M1","RG91M2","RG91M3","RG91M4","RG91M5","RG91M6","RG91M7","RG91M8","RG91M9","RG91M10","RG91M11","RG91M12","RG92M1","RG92M2","RG92M3","RG92M4","RG92M5","RG92M6","RG92M7","RG92M8","RG92M9","RG92M10","RG92M11","RG92M12","RG93M1","RG93M2","RG93M3","RG93M4","RG93M5","RG93M6","RG93M7","RG93M8","RG93M9","RG93M10","RG93M11","RG93M12","RG94M1","RG94M2","RG94M3","RG94M4","RG94M5","RG94M6","RG94M7","RG94M8","RG94M9","RG94M10","RG94M11","RG94M12","RG95M1","RG95M2","RG95M3","RG95M4","RG95M5","RG95M6","RG95M7","RG95M8","RG95M9","RG95M10","RG95M11","RG95M12","RG96M1","RG96M2","RG96M3","RG96M4","RG96M5","RG96M6","RG96M7","RG96M8","RG96M9","RG96M10","RG96M11","RG96M12","RG97M1","RG97M2","RG97M3","RG97M4","RG97M5","RG97M6","RG97M7","RG97M8","RG97M9","RG97M10","RG97M11","RG97M12","RG98M1","RG98M2","RG98M3","RG98M4","RG98M5","RG98M6","RG98M7","RG98M8","RG98M9","RG98M10","RG98M11","RG98M12","RG99M1","RG99M2","RG99M3","RG99M4","RG99M5","RG99M6","RG99M7","RG99M8","RG99M9","RG99M10","RG99M11","RG99M12"
"1947:Q1","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","#N/A","#N/A"
"1947:Q2","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","#N/A","#N/A"
"1947:Q3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","#N/A","#N/A"
"1947:Q4","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","#N/A","#N/A"
"1948:Q1","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","#N/A","#N/A"
"1948:Q2","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","#N/A","#N/A"
"1948:Q3","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","#N/A","#N/A"
"1948:Q4","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","#N/A","#N/A"
"1949:Q1","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","#N/A","#N/A"
"1949:Q2","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","#N/A","#N/A"
