"DATE","RG10M1","RG10M2","RG10M3","RG10M4","RG10M5","RG10M6","RG10M7","RG10M8","RG10M9","RG10M10","RG10M11","RG10M12","RG11M1","RG11M2","RG11M3","RG11M4","RG11M5","RG11M6","RG11M7","RG11M8","RG11M9","RG11M10","RG11M11","RG11M12","RG12M1","RG12M2","RG12M3","RG12M4","RG12M5","RG12M6","RG12M7","RG12M8","RG12M9","RG12M10","RG12M11","RG12M12","RG13M1","RG13M2","RG13M3","RG13M4","RG13M5","RG13M6","RG13M7","RG13M8","RG13M9","RG13M10","RG13M11","RG13M12","RG14M1","RG14M2","RG14M3","RG14M4","RG14M5","RG14M6","RG14M7","RG14M8","RG14M9","RG14M10","RG14M11","RG14M12","RG15M1","RG15M2","RG15M3","RG15M4","RG15M5","RG15M6","RG15M7","RG15M8","RG15M9","RG15M10","RG15M11"
"1947:Q1","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7"
"1947:Q2","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8"
"1947:Q3","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9"
"1947:Q4","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5"
"1948:Q1","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6"
"1948:Q2","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0"
"1948:Q3","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0"
"1948:Q4","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8"
"1949:Q1","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6"
"1949:Q2","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5"
"1949:Q3","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6","577.6"
