"DATE","RGSL65M11","RGSL65M12","RGSL66M1","RGSL66M2","RGSL66M3","RGSL66M4","RGSL66M5","RGSL66M6","RGSL66M7","RGSL66M8","RGSL66M9","RGSL66M10","RGSL66M11","RGSL66M12","RGSL67M1","RGSL67M2","RGSL67M3","RGSL67M4","RGSL67M5","RGSL67M6","RGSL67M7","RGSL67M8","RGSL67M9","RGSL67M10","RGSL67M11","RGSL67M12","RGSL68M1","RGSL68M2","RGSL68M3","RGSL68M4","RGSL68M5","RGSL68M6","RGSL68M7","RGSL68M8","RGSL68M9","RGSL68M10","RGSL68M11","RGSL68M12","RGSL69M1","RGSL69M2","RGSL69M3","RGSL69M4","RGSL69M5","RGSL69M6","RGSL69M7","RGSL69M8","RGSL69M9","RGSL69M10","RGSL69M11","RGSL69M12"
"1947:Q1","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8"
"1947:Q2","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4"
"1947:Q3","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2"
"1947:Q4","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5"
"1948:Q1","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8"
"1948:Q2","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5"
"1948:Q3","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8"
"1948:Q4","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3"
"1949:Q1","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4"
"1949:Q2","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6"
