"DATE","RGSL10M1","RGSL10M2","RGSL10M3","RGSL10M4","RGSL10M5","RGSL10M6","RGSL10M7","RGSL10M8","RGSL10M9","RGSL10M10","RGSL10M11","RGSL10M12","RGSL11M1","RGSL11M2","RGSL11M3","RGSL11M4","RGSL11M5","RGSL11M6","RGSL11M7","RGSL11M8","RGSL11M9","RGSL11M10","RGSL11M11","RGSL11M12","RGSL12M1","RGSL12M2","RGSL12M3","RGSL12M4","RGSL12M5","RGSL12M6","RGSL12M7","RGSL12M8","RGSL12M9","RGSL12M10","RGSL12M11","RGSL12M12","RGSL13M1","RGSL13M2","RGSL13M3","RGSL13M4","RGSL13M5","RGSL13M6","RGSL13M7","RGSL13M8","RGSL13M9","RGSL13M10","RGSL13M11","RGSL13M12","RGSL14M1","RGSL14M2","RGSL14M3","RGSL14M4","RGSL14M5","RGSL14M6","RGSL14M7","RGSL14M8","RGSL14M9","RGSL14M10","RGSL14M11","RGSL14M12","RGSL15M1","RGSL15M2","RGSL15M3","RGSL15M4","RGSL15M5","RGSL15M6","RGSL15M7","RGSL15M8","RGSL15M9","RGSL15M10","RGSL15M11"
"1947:Q1","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9"
"1947:Q2","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9"
"1947:Q3","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0"
"1947:Q4","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6"
"1948:Q1","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1"
"1948:Q2","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4"
"1948:Q3","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5"
"1948:Q4","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3"
"1949:Q1","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4"
"1949:Q2","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8"
