"DATE","RGSL65Q4","RGSL66Q1","RGSL66Q2","RGSL66Q3","RGSL66Q4","RGSL67Q1","RGSL67Q2","RGSL67Q3","RGSL67Q4","RGSL68Q1","RGSL68Q2","RGSL68Q3","RGSL68Q4","RGSL69Q1","RGSL69Q2","RGSL69Q3","RGSL69Q4","RGSL70Q1","RGSL70Q2","RGSL70Q3","RGSL70Q4","RGSL71Q1","RGSL71Q2","RGSL71Q3","RGSL71Q4","RGSL72Q1","RGSL72Q2","RGSL72Q3","RGSL72Q4","RGSL73Q1","RGSL73Q2","RGSL73Q3","RGSL73Q4","RGSL74Q1","RGSL74Q2","RGSL74Q3","RGSL74Q4","RGSL75Q1","RGSL75Q2","RGSL75Q3","RGSL75Q4","RGSL76Q1","RGSL76Q2","RGSL76Q3","RGSL76Q4","RGSL77Q1","RGSL77Q2","RGSL77Q3","RGSL77Q4","RGSL78Q1","RGSL78Q2","RGSL78Q3","RGSL78Q4","RGSL79Q1","RGSL79Q2","RGSL79Q3","RGSL79Q4","RGSL80Q1","RGSL80Q2","RGSL80Q3","RGSL80Q4","RGSL81Q1","RGSL81Q2","RGSL81Q3","RGSL81Q4","RGSL82Q1","RGSL82Q2","RGSL82Q3","RGSL82Q4","RGSL83Q1","RGSL83Q2","RGSL83Q3","RGSL83Q4","RGSL84Q1","RGSL84Q2","RGSL84Q3","RGSL84Q4","RGSL85Q1","RGSL85Q2","RGSL85Q3","RGSL85Q4","RGSL86Q1","RGSL86Q2","RGSL86Q3","RGSL86Q4","RGSL87Q1","RGSL87Q2","RGSL87Q3","RGSL87Q4","RGSL88Q1","RGSL88Q2","RGSL88Q3","RGSL88Q4","RGSL89Q1","RGSL89Q2","RGSL89Q3","RGSL89Q4","RGSL90Q1","RGSL90Q2","RGSL90Q3","RGSL90Q4","RGSL91Q1","RGSL91Q2","RGSL91Q3","RGSL91Q4","RGSL92Q1","RGSL92Q2","RGSL92Q3","RGSL92Q4","RGSL93Q1","RGSL93Q2","RGSL93Q3","RGSL93Q4","RGSL94Q1","RGSL94Q2","RGSL94Q3","RGSL94Q4","RGSL95Q1","RGSL95Q2","RGSL95Q3","RGSL95Q4","RGSL96Q1","RGSL96Q2","RGSL96Q3","RGSL96Q4","RGSL97Q1","RGSL97Q2","RGSL97Q3","RGSL97Q4","RGSL98Q1","RGSL98Q2","RGSL98Q3","RGSL98Q4","RGSL99Q1","RGSL99Q2","RGSL99Q3","RGSL99Q4","RGSL00Q1","RGSL00Q2","RGSL00Q3","RGSL00Q4","RGSL01Q1","RGSL01Q2","RGSL01Q3","RGSL01Q4","RGSL02Q1","RGSL02Q2","RGSL02Q3","RGSL02Q4","RGSL03Q1","RGSL03Q2","RGSL03Q3","RGSL03Q4","RGSL04Q1","RGSL04Q2","RGSL04Q3","RGSL04Q4","RGSL05Q1","RGSL05Q2","RGSL05Q3","RGSL05Q4","RGSL06Q1","RGSL06Q2","RGSL06Q3","RGSL06Q4","RGSL07Q1","RGSL07Q2","RGSL07Q3","RGSL07Q4","RGSL08Q1","RGSL08Q2","RGSL08Q3","RGSL08Q4","RGSL09Q1","RGSL09Q2","RGSL09Q3","RGSL09Q4","RGSL10Q1","RGSL10Q2","RGSL10Q3","RGSL10Q4","RGSL11Q1","RGSL11Q2","RGSL11Q3","RGSL11Q4","RGSL12Q1","RGSL12Q2","RGSL12Q3","RGSL12Q4","RGSL13Q1","RGSL13Q2","RGSL13Q3","RGSL13Q4","RGSL14Q1","RGSL14Q2","RGSL14Q3","RGSL14Q4","RGSL15Q1","RGSL15Q2"
"1947:Q1","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","#N/A","#N/A","#N/A","#N/A","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","104.9","#N/A","#N/A","#N/A","#N/A","#N/A","121.8828","121.8828","121.8828","121.8828","121.8828","121.8828","121.8828","121.8828","121.8828","121.8828","#N/A","#N/A","#N/A","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","147.0","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","221.9","221.9","221.9","221.9","221.9","221.9","221.9","221.9"
"1947:Q2","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","20.4","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","#N/A","#N/A","#N/A","#N/A","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","#N/A","#N/A","#N/A","#N/A","#N/A","123.8688","123.8688","123.8688","123.8688","123.8688","123.8688","123.8688","123.8688","123.8688","123.8688","#N/A","#N/A","#N/A","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","135.6","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.8","181.9","181.9","181.9","181.9","181.9","181.9","181.9","181.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9","224.9"
"1947:Q3","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","#N/A","#N/A","#N/A","#N/A","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","#N/A","#N/A","#N/A","#N/A","#N/A","126.7375","126.7375","126.7375","126.7375","126.7375","126.7375","126.7375","126.7375","126.7375","126.7375","#N/A","#N/A","#N/A","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.0","186.1","186.1","186.1","186.1","186.1","186.1","186.1","186.1","230.0","230.0","230.0","230.0","230.0","230.0","230.0","230.0"
"1947:Q4","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","#N/A","#N/A","#N/A","#N/A","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","#N/A","#N/A","#N/A","#N/A","#N/A","128.7971","128.7971","128.7971","128.7971","128.7971","128.7971","128.7971","128.7971","128.7971","128.7971","#N/A","#N/A","#N/A","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","154.9","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.0","189.1","189.1","189.1","189.1","189.1","189.1","189.1","189.1","233.6","233.6","233.6","233.6","233.6","233.6","233.6","233.6"
"1948:Q1","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","90.4","#N/A","#N/A","#N/A","#N/A","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","#N/A","#N/A","#N/A","#N/A","#N/A","128.65","128.65","128.65","128.65","128.65","128.65","128.65","128.65","128.65","128.65","#N/A","#N/A","#N/A","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","140.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","154.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.7","188.9","188.9","188.9","188.9","188.9","188.9","188.9","188.9","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1"
"1948:Q2","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","22.5","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","#N/A","#N/A","#N/A","#N/A","113.3","113.3","113.3","113.3","113.3","113.3","113.3","113.3","113.3","113.3","113.3","113.3","#N/A","#N/A","#N/A","#N/A","#N/A","132.3278","132.3278","132.3278","132.3278","132.3278","132.3278","132.3278","132.3278","132.3278","132.3278","#N/A","#N/A","#N/A","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","159.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.1","194.3","194.3","194.3","194.3","194.3","194.3","194.3","194.3","239.4","239.4","239.4","239.4","239.4","239.4","239.4","239.4"
"1948:Q3","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","#N/A","#N/A","#N/A","#N/A","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","#N/A","#N/A","#N/A","#N/A","#N/A","134.6081","134.6081","134.6081","134.6081","134.6081","134.6081","134.6081","134.6081","134.6081","134.6081","#N/A","#N/A","#N/A","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","147.2","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.6","197.7","197.7","197.7","197.7","197.7","197.7","197.7","197.7","243.5","243.5","243.5","243.5","243.5","243.5","243.5","243.5"
"1948:Q4","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","23.3","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","#N/A","#N/A","#N/A","#N/A","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","#N/A","#N/A","#N/A","#N/A","#N/A","138.0652","138.0652","138.0652","138.0652","138.0652","138.0652","138.0652","138.0652","138.0652","138.0652","#N/A","#N/A","#N/A","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","150.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","202.5","249.3","249.3","249.3","249.3","249.3","249.3","249.3","249.3"
"1949:Q1","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","#N/A","#N/A","#N/A","#N/A","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2","#N/A","#N/A","#N/A","#N/A","#N/A","143.729","143.729","143.729","143.729","143.729","143.729","143.729","143.729","143.729","143.729","#N/A","#N/A","#N/A","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","157.1","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","172.7","211.0","211.0","211.0","211.0","211.0","211.0","211.0","211.0","210.9","210.9","210.9","210.9","210.9","210.9","210.9","210.9","259.4","259.4","259.4","259.4","259.4","259.4","259.4","259.4"
"1949:Q2","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.8","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","#N/A","#N/A","#N/A","#N/A","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","127.9","#N/A","#N/A","#N/A","#N/A","#N/A","152.1145","152.1145","152.1145","152.1145","152.1145","152.1145","152.1145","152.1145","152.1145","152.1145","#N/A","#N/A","#N/A","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","182.6","223.0","223.0","223.0","223.0","223.0","223.0","223.0","223.0","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8"
