"DATE","RIMP65Q4","RIMP66Q1","RIMP66Q2","RIMP66Q3","RIMP66Q4","RIMP67Q1","RIMP67Q2","RIMP67Q3","RIMP67Q4","RIMP68Q1","RIMP68Q2","RIMP68Q3","RIMP68Q4","RIMP69Q1","RIMP69Q2","RIMP69Q3","RIMP69Q4","RIMP70Q1","RIMP70Q2","RIMP70Q3","RIMP70Q4","RIMP71Q1","RIMP71Q2","RIMP71Q3","RIMP71Q4","RIMP72Q1","RIMP72Q2","RIMP72Q3","RIMP72Q4","RIMP73Q1","RIMP73Q2","RIMP73Q3","RIMP73Q4","RIMP74Q1","RIMP74Q2","RIMP74Q3","RIMP74Q4","RIMP75Q1","RIMP75Q2","RIMP75Q3","RIMP75Q4","RIMP76Q1","RIMP76Q2","RIMP76Q3","RIMP76Q4","RIMP77Q1","RIMP77Q2","RIMP77Q3","RIMP77Q4","RIMP78Q1","RIMP78Q2","RIMP78Q3","RIMP78Q4","RIMP79Q1","RIMP79Q2","RIMP79Q3","RIMP79Q4","RIMP80Q1","RIMP80Q2","RIMP80Q3","RIMP80Q4","RIMP81Q1","RIMP81Q2","RIMP81Q3","RIMP81Q4","RIMP82Q1","RIMP82Q2","RIMP82Q3","RIMP82Q4","RIMP83Q1","RIMP83Q2","RIMP83Q3","RIMP83Q4","RIMP84Q1","RIMP84Q2","RIMP84Q3","RIMP84Q4","RIMP85Q1","RIMP85Q2","RIMP85Q3","RIMP85Q4","RIMP86Q1","RIMP86Q2","RIMP86Q3","RIMP86Q4","RIMP87Q1","RIMP87Q2","RIMP87Q3","RIMP87Q4","RIMP88Q1","RIMP88Q2","RIMP88Q3","RIMP88Q4","RIMP89Q1","RIMP89Q2","RIMP89Q3","RIMP89Q4","RIMP90Q1","RIMP90Q2","RIMP90Q3","RIMP90Q4","RIMP91Q1","RIMP91Q2","RIMP91Q3","RIMP91Q4","RIMP92Q1","RIMP92Q2","RIMP92Q3","RIMP92Q4","RIMP93Q1","RIMP93Q2","RIMP93Q3","RIMP93Q4","RIMP94Q1","RIMP94Q2","RIMP94Q3","RIMP94Q4","RIMP95Q1","RIMP95Q2","RIMP95Q3","RIMP95Q4","RIMP96Q1","RIMP96Q2","RIMP96Q3","RIMP96Q4","RIMP97Q1","RIMP97Q2","RIMP97Q3","RIMP97Q4","RIMP98Q1","RIMP98Q2","RIMP98Q3","RIMP98Q4","RIMP99Q1","RIMP99Q2","RIMP99Q3","RIMP99Q4","RIMP00Q1","RIMP00Q2","RIMP00Q3","RIMP00Q4","RIMP01Q1","RIMP01Q2","RIMP01Q3","RIMP01Q4","RIMP02Q1","RIMP02Q2","RIMP02Q3","RIMP02Q4","RIMP03Q1","RIMP03Q2","RIMP03Q3","RIMP03Q4","RIMP04Q1","RIMP04Q2","RIMP04Q3","RIMP04Q4","RIMP05Q1","RIMP05Q2","RIMP05Q3","RIMP05Q4","RIMP06Q1","RIMP06Q2","RIMP06Q3","RIMP06Q4","RIMP07Q1","RIMP07Q2","RIMP07Q3","RIMP07Q4","RIMP08Q1","RIMP08Q2","RIMP08Q3","RIMP08Q4","RIMP09Q1","RIMP09Q2","RIMP09Q3","RIMP09Q4","RIMP10Q1","RIMP10Q2","RIMP10Q3","RIMP10Q4","RIMP11Q1","RIMP11Q2","RIMP11Q3","RIMP11Q4","RIMP12Q1","RIMP12Q2","RIMP12Q3","RIMP12Q4","RIMP13Q1","RIMP13Q2","RIMP13Q3","RIMP13Q4","RIMP14Q1","RIMP14Q2","RIMP14Q3","RIMP14Q4","RIMP15Q1","RIMP15Q2","RIMP15Q3","RIMP15Q4"
"1947:Q1","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.6","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","13.3","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","#N/A","#N/A","#N/A","#N/A","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","#N/A","#N/A","#N/A","#N/A","#N/A","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","#N/A","#N/A","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","54.8","54.8","54.8","54.8","54.7","54.7","54.7","54.7","54.7","54.7"
"1947:Q2","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","40.5","#N/A","#N/A","#N/A","#N/A","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","#N/A","#N/A","#N/A","#N/A","#N/A","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","#N/A","#N/A","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","49.0","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","52.0","55.9","55.9","55.9","55.9","55.7","55.7","55.7","55.7","55.7","55.7"
"1947:Q3","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","#N/A","#N/A","#N/A","#N/A","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","#N/A","#N/A","#N/A","#N/A","#N/A","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","#N/A","#N/A","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","43.5","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","49.5","49.5","49.5","49.5","49.4","49.4","49.4","49.4","49.4","49.4"
"1947:Q4","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.9","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","13.8","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","#N/A","#N/A","#N/A","#N/A","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","#N/A","#N/A","#N/A","#N/A","#N/A","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","#N/A","#N/A","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","48.6","52.2","52.2","52.2","52.2","52.1","52.1","52.1","52.1","52.1","52.1"
"1948:Q1","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","15.1","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","#N/A","#N/A","#N/A","#N/A","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","#N/A","#N/A","#N/A","#N/A","#N/A","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5","51.5","#N/A","#N/A","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","51.7","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","58.9","58.9","58.9","58.9","58.8","58.8","58.8","58.8","58.8","58.8"
"1948:Q2","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","#N/A","#N/A","#N/A","#N/A","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","#N/A","#N/A","#N/A","#N/A","#N/A","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","#N/A","#N/A","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","53.7","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","61.2","61.2","61.2","61.2","61.1","61.1","61.1","61.1","61.1","61.1"
"1948:Q3","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.2","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","16.1","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","48.5","#N/A","#N/A","#N/A","#N/A","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","#N/A","#N/A","#N/A","#N/A","#N/A","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","#N/A","#N/A","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","64.4","64.4","64.4","64.4","64.3","64.3","64.3","64.3","64.3","64.3"
"1948:Q4","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.6","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","#N/A","#N/A","#N/A","#N/A","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","#N/A","#N/A","#N/A","#N/A","#N/A","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","#N/A","#N/A","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","63.4","63.4","63.4","63.4","63.2","63.2","63.2","63.2","63.2","63.2"
"1949:Q1","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","15.2","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","#N/A","#N/A","#N/A","#N/A","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","#N/A","#N/A","#N/A","#N/A","#N/A","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","53.9","#N/A","#N/A","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","51.6","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","61.5","61.5","61.5","61.5","61.3","61.3","61.3","61.3","61.3","61.3"
"1949:Q2","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","15.3","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","46.6","#N/A","#N/A","#N/A","#N/A","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","#N/A","#N/A","#N/A","#N/A","#N/A","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","#N/A","#N/A","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.3","56.3","56.3","56.3","56.3","56.3","56.3","56.3","60.6","60.6","60.6","60.6","60.4","60.4","60.4","60.4","60.4","60.4"
