"DATE","RINVCHI00M1","RINVCHI00M2","RINVCHI00M3","RINVCHI00M4","RINVCHI00M5","RINVCHI00M6","RINVCHI00M7","RINVCHI00M8","RINVCHI00M9","RINVCHI00M10","RINVCHI00M11","RINVCHI00M12","RINVCHI01M1","RINVCHI01M2","RINVCHI01M3","RINVCHI01M4","RINVCHI01M5","RINVCHI01M6","RINVCHI01M7","RINVCHI01M8","RINVCHI01M9","RINVCHI01M10","RINVCHI01M11","RINVCHI01M12","RINVCHI02M1","RINVCHI02M2","RINVCHI02M3","RINVCHI02M4","RINVCHI02M5","RINVCHI02M6","RINVCHI02M7","RINVCHI02M8","RINVCHI02M9","RINVCHI02M10","RINVCHI02M11","RINVCHI02M12","RINVCHI03M1","RINVCHI03M2","RINVCHI03M3","RINVCHI03M4","RINVCHI03M5","RINVCHI03M6","RINVCHI03M7","RINVCHI03M8","RINVCHI03M9","RINVCHI03M10","RINVCHI03M11","RINVCHI03M12","RINVCHI04M1","RINVCHI04M2","RINVCHI04M3","RINVCHI04M4","RINVCHI04M5","RINVCHI04M6","RINVCHI04M7","RINVCHI04M8","RINVCHI04M9","RINVCHI04M10","RINVCHI04M11","RINVCHI04M12","RINVCHI05M1","RINVCHI05M2","RINVCHI05M3","RINVCHI05M4","RINVCHI05M5","RINVCHI05M6","RINVCHI05M7","RINVCHI05M8","RINVCHI05M9","RINVCHI05M10","RINVCHI05M11","RINVCHI05M12","RINVCHI06M1","RINVCHI06M2","RINVCHI06M3","RINVCHI06M4","RINVCHI06M5","RINVCHI06M6","RINVCHI06M7","RINVCHI06M8","RINVCHI06M9","RINVCHI06M10","RINVCHI06M11","RINVCHI06M12","RINVCHI07M1","RINVCHI07M2","RINVCHI07M3","RINVCHI07M4","RINVCHI07M5","RINVCHI07M6","RINVCHI07M7","RINVCHI07M8","RINVCHI07M9","RINVCHI07M10","RINVCHI07M11","RINVCHI07M12","RINVCHI08M1","RINVCHI08M2","RINVCHI08M3","RINVCHI08M4","RINVCHI08M5","RINVCHI08M6","RINVCHI08M7","RINVCHI08M8","RINVCHI08M9","RINVCHI08M10","RINVCHI08M11","RINVCHI08M12","RINVCHI09M1","RINVCHI09M2","RINVCHI09M3","RINVCHI09M4","RINVCHI09M5","RINVCHI09M6","RINVCHI09M7","RINVCHI09M8","RINVCHI09M9","RINVCHI09M10","RINVCHI09M11","RINVCHI09M12"
"1947:Q1","#N/A","#N/A","#N/A","#N/A","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","-4.5","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.9","4.9","4.9","4.9","4.9"
"1947:Q2","#N/A","#N/A","#N/A","#N/A","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.1","-3.5","-3.5","-3.5","-3.5","-3.5"
"1947:Q3","#N/A","#N/A","#N/A","#N/A","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-10.9","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-12.3","-13.4","-13.4","-13.4","-13.4","-13.4"
"1947:Q4","#N/A","#N/A","#N/A","#N/A","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.1","-2.2","-2.2","-2.2","-2.2","-2.2"
"1948:Q1","#N/A","#N/A","#N/A","#N/A","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","15.4","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","11.4","11.4","11.4","11.4","11.4"
"1948:Q2","#N/A","#N/A","#N/A","#N/A","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","21.4","21.4","21.4","21.4","21.4"
"1948:Q3","#N/A","#N/A","#N/A","#N/A","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","25.0","25.0","25.0","25.0","25.0"
"1948:Q4","#N/A","#N/A","#N/A","#N/A","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","18.4","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","19.4","19.4","19.4","19.4","19.4"
"1949:Q1","#N/A","#N/A","#N/A","#N/A","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.3","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-1.8","-2.0","-2.0","-2.0","-2.0","-2.0"
"1949:Q2","#N/A","#N/A","#N/A","#N/A","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-15.8","-17.4","-17.4","-17.4","-17.4","-17.4"
