"DATE","ROUTPUT65M11","ROUTPUT65M12","ROUTPUT66M1","ROUTPUT66M2","ROUTPUT66M3","ROUTPUT66M4","ROUTPUT66M5","ROUTPUT66M6","ROUTPUT66M7","ROUTPUT66M8","ROUTPUT66M9","ROUTPUT66M10","ROUTPUT66M11","ROUTPUT66M12","ROUTPUT67M1","ROUTPUT67M2","ROUTPUT67M3","ROUTPUT67M4","ROUTPUT67M5","ROUTPUT67M6","ROUTPUT67M7","ROUTPUT67M8","ROUTPUT67M9","ROUTPUT67M10","ROUTPUT67M11","ROUTPUT67M12","ROUTPUT68M1","ROUTPUT68M2","ROUTPUT68M3","ROUTPUT68M4","ROUTPUT68M5","ROUTPUT68M6","ROUTPUT68M7","ROUTPUT68M8","ROUTPUT68M9","ROUTPUT68M10","ROUTPUT68M11","ROUTPUT68M12","ROUTPUT69M1","ROUTPUT69M2","ROUTPUT69M3","ROUTPUT69M4","ROUTPUT69M5","ROUTPUT69M6","ROUTPUT69M7","ROUTPUT69M8","ROUTPUT69M9","ROUTPUT69M10","ROUTPUT69M11","ROUTPUT69M12"
"1947:Q1","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4","306.4"
"1947:Q2","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0","309.0"
"1947:Q3","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6","309.6"
"1947:Q4","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5","314.5"
"1948:Q1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1"
"1948:Q2","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9","322.9"
"1948:Q3","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8","325.8"
"1948:Q4","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7","328.7"
"1949:Q1","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5","324.5"
"1949:Q2","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5"
"1949:Q3","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1"
"1949:Q4","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3","323.3"
"1950:Q1","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6","339.6"
"1950:Q2","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5"
"1950:Q3","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8","362.8"
"1950:Q4","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1","370.1"
"1951:Q1","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8","374.8"
"1951:Q2","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5","381.5"
"1951:Q3","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7"
"1951:Q4","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7","388.7"
"1952:Q1","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4","391.4"
"1952:Q2","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6","389.6"
"1952:Q3","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9","393.9"
"1952:Q4","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3"
"1953:Q1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1"
"1953:Q2","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4"
"1953:Q3","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7"
"1953:Q4","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8"
"1954:Q1","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9"
"1954:Q2","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1"
"1954:Q3","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2"
"1954:Q4","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7"
"1955:Q1","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0"
"1955:Q2","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4"
