"DATE","ROUTPUT90M1","ROUTPUT90M2","ROUTPUT90M3","ROUTPUT90M4","ROUTPUT90M5","ROUTPUT90M6","ROUTPUT90M7","ROUTPUT90M8","ROUTPUT90M9","ROUTPUT90M10","ROUTPUT90M11","ROUTPUT90M12","ROUTPUT91M1","ROUTPUT91M2","ROUTPUT91M3","ROUTPUT91M4","ROUTPUT91M5","ROUTPUT91M6","ROUTPUT91M7","ROUTPUT91M8","ROUTPUT91M9","ROUTPUT91M10","ROUTPUT91M11","ROUTPUT91M12","ROUTPUT92M1","ROUTPUT92M2","ROUTPUT92M3","ROUTPUT92M4","ROUTPUT92M5","ROUTPUT92M6","ROUTPUT92M7","ROUTPUT92M8","ROUTPUT92M9","ROUTPUT92M10","ROUTPUT92M11","ROUTPUT92M12","ROUTPUT93M1","ROUTPUT93M2","ROUTPUT93M3","ROUTPUT93M4","ROUTPUT93M5","ROUTPUT93M6","ROUTPUT93M7","ROUTPUT93M8","ROUTPUT93M9","ROUTPUT93M10","ROUTPUT93M11","ROUTPUT93M12","ROUTPUT94M1","ROUTPUT94M2","ROUTPUT94M3","ROUTPUT94M4","ROUTPUT94M5","ROUTPUT94M6","ROUTPUT94M7","ROUTPUT94M8","ROUTPUT94M9","ROUTPUT94M10","ROUTPUT94M11","ROUTPUT94M12","ROUTPUT95M1","ROUTPUT95M2","ROUTPUT95M3","ROUTPUT95M4","ROUTPUT95M5","ROUTPUT95M6","ROUTPUT95M7","ROUTPUT95M8","ROUTPUT95M9","ROUTPUT95M10","ROUTPUT95M11","ROUTPUT95M12","ROUTPUT96M1","ROUTPUT96M2","ROUTPUT96M3","ROUTPUT96M4","ROUTPUT96M5","ROUTPUT96M6","ROUTPUT96M7","ROUTPUT96M8","ROUTPUT96M9","ROUTPUT96M10","ROUTPUT96M11","ROUTPUT96M12","ROUTPUT97M1","ROUTPUT97M2","ROUTPUT97M3","ROUTPUT97M4","ROUTPUT97M5","ROUTPUT97M6","ROUTPUT97M7","ROUTPUT97M8","ROUTPUT97M9","ROUTPUT97M10","ROUTPUT97M11","ROUTPUT97M12","ROUTPUT98M1","ROUTPUT98M2","ROUTPUT98M3","ROUTPUT98M4","ROUTPUT98M5","ROUTPUT98M6","ROUTPUT98M7","ROUTPUT98M8","ROUTPUT98M9","ROUTPUT98M10","ROUTPUT98M11","ROUTPUT98M12","ROUTPUT99M1","ROUTPUT99M2","ROUTPUT99M3","ROUTPUT99M4","ROUTPUT99M5","ROUTPUT99M6","ROUTPUT99M7","ROUTPUT99M8","ROUTPUT99M9","ROUTPUT99M10","ROUTPUT99M11","ROUTPUT99M12"
"1947:Q1","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","1056.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","1239.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","1402.5","#N/A","#N/A"
"1947:Q2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","1063.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","1247.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","1424.6","#N/A","#N/A"
"1947:Q3","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","1067.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","1255.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","1437.5","#N/A","#N/A"
"1947:Q4","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","1080.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","1269.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","1458.1","#N/A","#N/A"
"1948:Q1","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","1086.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","1284.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","1474.3","#N/A","#N/A"
"1948:Q2","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","1106.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","1295.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","1493.9","#N/A","#N/A"
"1948:Q3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","1116.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","1303.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","1497.0","#N/A","#N/A"
"1948:Q4","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","1125.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","1316.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","1498.9","#N/A","#N/A"
"1949:Q1","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","1112.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","1305.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","1480.1","#N/A","#N/A"
"1949:Q2","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","1105.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","1302.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","1474.1","#N/A","#N/A"
