"DATE","ROUTPUT10M1","ROUTPUT10M2","ROUTPUT10M3","ROUTPUT10M4","ROUTPUT10M5","ROUTPUT10M6","ROUTPUT10M7","ROUTPUT10M8","ROUTPUT10M9","ROUTPUT10M10","ROUTPUT10M11","ROUTPUT10M12","ROUTPUT11M1","ROUTPUT11M2","ROUTPUT11M3","ROUTPUT11M4","ROUTPUT11M5","ROUTPUT11M6","ROUTPUT11M7","ROUTPUT11M8","ROUTPUT11M9","ROUTPUT11M10","ROUTPUT11M11","ROUTPUT11M12","ROUTPUT12M1","ROUTPUT12M2","ROUTPUT12M3","ROUTPUT12M4","ROUTPUT12M5","ROUTPUT12M6","ROUTPUT12M7","ROUTPUT12M8","ROUTPUT12M9","ROUTPUT12M10","ROUTPUT12M11","ROUTPUT12M12","ROUTPUT13M1","ROUTPUT13M2","ROUTPUT13M3","ROUTPUT13M4","ROUTPUT13M5","ROUTPUT13M6","ROUTPUT13M7","ROUTPUT13M8","ROUTPUT13M9","ROUTPUT13M10","ROUTPUT13M11","ROUTPUT13M12","ROUTPUT14M1","ROUTPUT14M2","ROUTPUT14M3","ROUTPUT14M4","ROUTPUT14M5","ROUTPUT14M6","ROUTPUT14M7","ROUTPUT14M8","ROUTPUT14M9","ROUTPUT14M10","ROUTPUT14M11","ROUTPUT14M12","ROUTPUT15M1","ROUTPUT15M2","ROUTPUT15M3","ROUTPUT15M4","ROUTPUT15M5","ROUTPUT15M6","ROUTPUT15M7","ROUTPUT15M8","ROUTPUT15M9","ROUTPUT15M10","ROUTPUT15M11"
"1947:Q1","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1772.2","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1770.7","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1932.6","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5","1934.5"
"1947:Q2","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1769.5","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1930.4","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3","1932.3"
"1947:Q3","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1768.0","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1766.5","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1928.4","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3","1930.3"
"1947:Q4","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1794.8","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1793.3","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1958.8","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7","1960.7"
"1948:Q1","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1823.4","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1821.8","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1987.6","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5","1989.5"
"1948:Q2","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1856.9","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","1855.3","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2019.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9","2021.9"
"1948:Q3","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1866.9","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","1865.3","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2031.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2","2033.2"
"1948:Q4","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1869.8","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","1868.2","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2033.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3","2035.3"
"1949:Q1","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1843.8","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","1842.2","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2005.6","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5","2007.5"
"1949:Q2","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1837.1","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1835.5","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","1998.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8","2000.8"
