"DATE","TRANR65Q4","TRANR66Q1","TRANR66Q2","TRANR66Q3","TRANR66Q4","TRANR67Q1","TRANR67Q2","TRANR67Q3","TRANR67Q4","TRANR68Q1","TRANR68Q2","TRANR68Q3","TRANR68Q4","TRANR69Q1","TRANR69Q2","TRANR69Q3","TRANR69Q4","TRANR70Q1","TRANR70Q2","TRANR70Q3","TRANR70Q4","TRANR71Q1","TRANR71Q2","TRANR71Q3","TRANR71Q4","TRANR72Q1","TRANR72Q2","TRANR72Q3","TRANR72Q4","TRANR73Q1","TRANR73Q2","TRANR73Q3","TRANR73Q4","TRANR74Q1","TRANR74Q2","TRANR74Q3","TRANR74Q4","TRANR75Q1","TRANR75Q2","TRANR75Q3","TRANR75Q4","TRANR76Q1","TRANR76Q2","TRANR76Q3","TRANR76Q4","TRANR77Q1","TRANR77Q2","TRANR77Q3","TRANR77Q4","TRANR78Q1","TRANR78Q2","TRANR78Q3","TRANR78Q4","TRANR79Q1","TRANR79Q2","TRANR79Q3","TRANR79Q4","TRANR80Q1","TRANR80Q2","TRANR80Q3","TRANR80Q4","TRANR81Q1","TRANR81Q2","TRANR81Q3","TRANR81Q4","TRANR82Q1","TRANR82Q2","TRANR82Q3","TRANR82Q4","TRANR83Q1","TRANR83Q2","TRANR83Q3","TRANR83Q4","TRANR84Q1","TRANR84Q2","TRANR84Q3","TRANR84Q4","TRANR85Q1","TRANR85Q2","TRANR85Q3","TRANR85Q4","TRANR86Q1","TRANR86Q2","TRANR86Q3","TRANR86Q4","TRANR87Q1","TRANR87Q2","TRANR87Q3","TRANR87Q4","TRANR88Q1","TRANR88Q2","TRANR88Q3","TRANR88Q4","TRANR89Q1","TRANR89Q2","TRANR89Q3","TRANR89Q4","TRANR90Q1","TRANR90Q2","TRANR90Q3","TRANR90Q4","TRANR91Q1","TRANR91Q2","TRANR91Q3","TRANR91Q4","TRANR92Q1","TRANR92Q2","TRANR92Q3","TRANR92Q4","TRANR93Q1","TRANR93Q2","TRANR93Q3","TRANR93Q4","TRANR94Q1","TRANR94Q2","TRANR94Q3","TRANR94Q4","TRANR95Q1","TRANR95Q2","TRANR95Q3","TRANR95Q4","TRANR96Q1","TRANR96Q2","TRANR96Q3","TRANR96Q4","TRANR97Q1","TRANR97Q2","TRANR97Q3","TRANR97Q4","TRANR98Q1","TRANR98Q2","TRANR98Q3","TRANR98Q4","TRANR99Q1","TRANR99Q2","TRANR99Q3","TRANR99Q4","TRANR00Q1","TRANR00Q2","TRANR00Q3","TRANR00Q4","TRANR01Q1","TRANR01Q2","TRANR01Q3","TRANR01Q4","TRANR02Q1","TRANR02Q2","TRANR02Q3","TRANR02Q4","TRANR03Q1","TRANR03Q2","TRANR03Q3","TRANR03Q4","TRANR04Q1","TRANR04Q2","TRANR04Q3","TRANR04Q4","TRANR05Q1","TRANR05Q2","TRANR05Q3","TRANR05Q4","TRANR06Q1","TRANR06Q2","TRANR06Q3","TRANR06Q4","TRANR07Q1","TRANR07Q2","TRANR07Q3","TRANR07Q4","TRANR08Q1","TRANR08Q2","TRANR08Q3","TRANR08Q4","TRANR09Q1","TRANR09Q2","TRANR09Q3","TRANR09Q4","TRANR10Q1","TRANR10Q2","TRANR10Q3","TRANR10Q4","TRANR11Q1","TRANR11Q2","TRANR11Q3","TRANR11Q4","TRANR12Q1","TRANR12Q2","TRANR12Q3","TRANR12Q4","TRANR13Q1","TRANR13Q2","TRANR13Q3","TRANR13Q4","TRANR14Q1","TRANR14Q2","TRANR14Q3","TRANR14Q4","TRANR15Q1","TRANR15Q2"
"1947:Q1","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","#N/A","#N/A","#N/A","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","#N/A","#N/A","#N/A","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","#N/A","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","#N/A","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7"
"1947:Q2","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","#N/A","#N/A","#N/A","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","#N/A","#N/A","#N/A","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","#N/A","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","#N/A","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6","9.6"
"1947:Q3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.3","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","14.4","#N/A","#N/A","#N/A","#N/A","#N/A","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","#N/A","#N/A","#N/A","#N/A","#N/A","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","14.2","#N/A","#N/A","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","#N/A","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5"
"1947:Q4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","#N/A","#N/A","#N/A","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","#N/A","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","#N/A","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5"
"1948:Q1","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","#N/A","#N/A","#N/A","#N/A","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","#N/A","#N/A","#N/A","#N/A","#N/A","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","#N/A","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7"
"1948:Q2","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","#N/A","#N/A","#N/A","#N/A","#N/A","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","#N/A","#N/A","#N/A","#N/A","#N/A","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","#N/A","#N/A","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","#N/A","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4"
"1948:Q3","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","#N/A","#N/A","#N/A","#N/A","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","#N/A","#N/A","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","#N/A","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","#N/A","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1","10.1"
"1948:Q4","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","#N/A","#N/A","#N/A","#N/A","#N/A","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","10.7","#N/A","#N/A","#N/A","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","#N/A","#N/A","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","#N/A","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8"
"1949:Q1","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","11.7","#N/A","#N/A","#N/A","#N/A","#N/A","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","#N/A","#N/A","#N/A","#N/A","#N/A","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","11.4","#N/A","#N/A","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","#N/A","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5"
"1949:Q2","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","#N/A","#N/A","#N/A","#N/A","#N/A","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","#N/A","#N/A","#N/A","#N/A","#N/A","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","#N/A","#N/A","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.1","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","#N/A","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0"
