"DATE","ULC98M11","ULC98M12","ULC99M1","ULC99M2","ULC99M3","ULC99M4","ULC99M5","ULC99M6","ULC99M7","ULC99M8","ULC99M9","ULC99M10","ULC99M11","ULC99M12","ULC00M1","ULC00M2","ULC00M3","ULC00M4","ULC00M5","ULC00M6","ULC00M7","ULC00M8","ULC00M9","ULC00M10","ULC00M11","ULC00M12","ULC01M1","ULC01M2","ULC01M3","ULC01M4","ULC01M5","ULC01M6","ULC01M7","ULC01M8","ULC01M9","ULC01M10","ULC01M11","ULC01M12","ULC02M1","ULC02M2","ULC02M3","ULC02M4","ULC02M5","ULC02M6","ULC02M7","ULC02M8","ULC02M9","ULC02M10","ULC02M11","ULC02M12","ULC03M1","ULC03M2","ULC03M3","ULC03M4","ULC03M5","ULC03M6","ULC03M7","ULC03M8","ULC03M9","ULC03M10","ULC03M11","ULC03M12","ULC04M1","ULC04M2","ULC04M3","ULC04M4","ULC04M5","ULC04M6","ULC04M7","ULC04M8","ULC04M9","ULC04M10","ULC04M11","ULC04M12","ULC05M1","ULC05M2","ULC05M3","ULC05M4","ULC05M5","ULC05M6","ULC05M7","ULC05M8","ULC05M9","ULC05M10","ULC05M11","ULC05M12","ULC06M1","ULC06M2","ULC06M3","ULC06M4","ULC06M5","ULC06M6","ULC06M7","ULC06M8","ULC06M9","ULC06M10","ULC06M11","ULC06M12","ULC07M1","ULC07M2","ULC07M3","ULC07M4","ULC07M5","ULC07M6","ULC07M7","ULC07M8","ULC07M9","ULC07M10","ULC07M11","ULC07M12","ULC08M1","ULC08M2","ULC08M3","ULC08M4","ULC08M5","ULC08M6","ULC08M7","ULC08M8","ULC08M9","ULC08M10","ULC08M11","ULC08M12","ULC09M1","ULC09M2","ULC09M3","ULC09M4","ULC09M5","ULC09M6","ULC09M7","ULC09M8","ULC09M9","ULC09M10","ULC09M11","ULC09M12","ULC10M1","ULC10M2","ULC10M3","ULC10M4","ULC10M5","ULC10M6","ULC10M7","ULC10M8","ULC10M9","ULC10M10","ULC10M11","ULC10M12","ULC11M1","ULC11M2","ULC11M3","ULC11M4","ULC11M5","ULC11M6","ULC11M7","ULC11M8","ULC11M9","ULC11M10","ULC11M11","ULC11M12","ULC12M1","ULC12M2","ULC12M3","ULC12M4","ULC12M5","ULC12M6","ULC12M7","ULC12M8","ULC12M9","ULC12M10","ULC12M11","ULC12M12","ULC13M1","ULC13M2","ULC13M3","ULC13M4","ULC13M5","ULC13M6","ULC13M7","ULC13M8","ULC13M9","ULC13M10","ULC13M11","ULC13M12","ULC14M1","ULC14M2","ULC14M3","ULC14M4","ULC14M5","ULC14M6","ULC14M7","ULC14M8","ULC14M9","ULC14M10","ULC14M11","ULC14M12","ULC15M1","ULC15M2","ULC15M3","ULC15M4","ULC15M5"
"1947:Q1","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","#N/A","#N/A","#N/A","#N/A","#N/A","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.1","21.2","21.2","21.2","21.2","21.2","21.2","21.18","21.18","21.18","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.175","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.749","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.741","17.353","17.353","17.353","17.239","17.239","17.239","17.239","17.241","17.241","17.241","17.241","17.241","17.221","17.221","17.221","17.221","17.221","17.221","17.221","17.221","17.221","17.221"
"1947:Q2","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","20.0","#N/A","#N/A","#N/A","#N/A","#N/A","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.5","21.6","21.6","21.6","21.6","21.6","21.6","21.552","21.552","21.552","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.547","21.583","21.583","21.583","21.583","21.583","21.583","21.583","21.583","21.583","21.583","21.583","21.583","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.07","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.061","18.062","18.062","18.062","18.062","18.062","17.773","17.773","17.773","17.657","17.657","17.657","17.657","17.659","17.659","17.659","17.659","17.659","17.638","17.638","17.638","17.638","17.638","17.638","17.638","17.638","17.638","17.638"
"1947:Q3","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","20.1","#N/A","#N/A","#N/A","#N/A","#N/A","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.9","21.9","21.9","21.9","21.9","21.9","21.879","21.879","21.879","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.874","21.916","21.916","21.916","21.916","21.916","21.916","21.916","21.916","21.916","21.916","21.916","21.916","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.349","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.198","18.198","18.198","18.079","18.079","18.079","18.079","18.081","18.081","18.081","18.081","18.081","18.06","18.06","18.06","18.06","18.06","18.06","18.06","18.06","18.06","18.06"
"1947:Q4","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","#N/A","#N/A","#N/A","#N/A","#N/A","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.448","22.448","22.448","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.444","22.479","22.479","22.479","22.479","22.479","22.479","22.479","22.479","22.479","22.479","22.479","22.479","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.82","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.812","18.624","18.624","18.624","18.504","18.504","18.504","18.504","18.506","18.506","18.506","18.506","18.506","18.483","18.483","18.483","18.483","18.483","18.483","18.483","18.483","18.483","18.483"
"1948:Q1","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","#N/A","#N/A","#N/A","#N/A","#N/A","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.8","21.9","21.9","21.9","21.9","21.9","21.9","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.3","22.3","22.3","22.3","22.3","22.3","22.282","22.282","22.282","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.278","22.293","22.293","22.293","22.293","22.293","22.293","22.293","22.293","22.293","22.293","22.293","22.293","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.664","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.656","18.46","18.46","18.46","18.338","18.338","18.338","18.338","18.34","18.34","18.34","18.34","18.34","18.32","18.32","18.32","18.32","18.32","18.32","18.32","18.32","18.32","18.32"
"1948:Q2","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","20.5","#N/A","#N/A","#N/A","#N/A","#N/A","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.1","22.1","22.1","22.1","22.1","22.1","22.062","22.062","22.062","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.058","22.067","22.067","22.067","22.067","22.067","22.067","22.067","22.067","22.067","22.067","22.067","22.067","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.475","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.467","18.296","18.296","18.296","18.176","18.176","18.176","18.176","18.178","18.178","18.178","18.178","18.178","18.157","18.157","18.157","18.157","18.157","18.157","18.157","18.157","18.157","18.157"
"1948:Q3","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","#N/A","#N/A","#N/A","#N/A","#N/A","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.5","22.5","22.5","22.5","22.5","22.5","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.8","22.8","22.8","22.8","22.8","22.8","22.786","22.786","22.786","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.781","22.807","22.807","22.807","22.807","22.807","22.807","22.807","22.807","22.807","22.807","22.807","22.807","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.094","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","19.086","18.881","18.881","18.881","18.756","18.756","18.756","18.756","18.758","18.758","18.758","18.758","18.758","18.737","18.737","18.737","18.737","18.737","18.737","18.737","18.737","18.737","18.737"
"1948:Q4","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","#N/A","#N/A","#N/A","#N/A","#N/A","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.145","23.145","23.145","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.141","23.203","23.203","23.203","23.203","23.203","23.203","23.203","23.203","23.203","23.203","23.203","23.203","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.426","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.416","19.171","19.171","19.171","19.046","19.046","19.046","19.046","19.048","19.048","19.048","19.048","19.048","19.026","19.026","19.026","19.026","19.026","19.026","19.026","19.026","19.026","19.026"
"1949:Q1","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","#N/A","#N/A","#N/A","#N/A","#N/A","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.8","22.8","22.8","22.8","22.8","22.8","22.769","22.769","22.769","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.765","22.785","22.785","22.785","22.785","22.785","22.785","22.785","22.785","22.785","22.785","22.785","22.785","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.076","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","19.068","18.861","18.861","18.861","18.737","18.737","18.737","18.737","18.739","18.739","18.739","18.739","18.739","18.717","18.717","18.717","18.717","18.717","18.717","18.717","18.717","18.717","18.717"
"1949:Q2","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","20.8","#N/A","#N/A","#N/A","#N/A","#N/A","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.35","22.35","22.35","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.345","22.378","22.378","22.378","22.378","22.378","22.378","22.378","22.378","22.378","22.378","22.378","22.378","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.735","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.727","18.607","18.607","18.607","18.485","18.485","18.485","18.485","18.487","18.487","18.487","18.487","18.487","18.465","18.465","18.465","18.465","18.465","18.465","18.465","18.465","18.465","18.465"
