"DATE","HG71M9","HG71M10","HG71M11","HG71M12","HG72M1","HG72M2","HG72M3","HG72M4","HG72M5","HG72M6","HG72M7","HG72M8","HG72M9","HG72M10","HG72M11","HG72M12","HG73M1","HG73M2","HG73M3","HG73M4","HG73M5","HG73M6","HG73M7","HG73M8","HG73M9","HG73M10","HG73M11","HG73M12","HG74M1","HG74M2","HG74M3","HG74M4","HG74M5","HG74M6","HG74M7","HG74M8","HG74M9","HG74M10","HG74M11","HG74M12","HG75M1","HG75M2","HG75M3","HG75M4","HG75M5","HG75M6","HG75M7","HG75M8","HG75M9","HG75M10","HG75M11","HG75M12","HG76M1","HG76M2","HG76M3","HG76M4","HG76M5","HG76M6","HG76M7","HG76M8","HG76M9","HG76M10","HG76M11","HG76M12","HG77M1","HG77M2","HG77M3","HG77M4","HG77M5","HG77M6","HG77M7","HG77M8","HG77M9","HG77M10","HG77M11","HG77M12","HG78M1","HG78M2","HG78M3","HG78M4","HG78M5","HG78M6","HG78M7","HG78M8","HG78M9","HG78M10","HG78M11","HG78M12","HG79M1","HG79M2","HG79M3","HG79M4","HG79M5","HG79M6","HG79M7","HG79M8","HG79M9","HG79M10","HG79M11","HG79M12"
"1947:01","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9"
"1947:02","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2"
"1947:03","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.2","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3","90.3"
"1947:04","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5","89.5"
"1947:05","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0"
"1947:06","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9","88.9"
"1947:07","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8"
"1947:08","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2"
"1947:09","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7"
"1947:10","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.4","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0"
"1947:11","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.9","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7"
"1947:12","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9"
"1948:01","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.1","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2"
"1948:02","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6","89.6"
"1948:03","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6","90.6"
"1948:04","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0"
