"","NBRBASA65M11","NBRBASA66M2","NBRBASA66M5","NBRBASA66M8","NBRBASA66M11","NBRBASA67M2","NBRBASA67M5","NBRBASA67M8","NBRBASA67M11","NBRBASA68M2","NBRBASA68M5","NBRBASA68M8","NBRBASA68M11","NBRBASA69M2","NBRBASA69M5","NBRBASA69M8","NBRBASA69M11","NBRBASA70M2","NBRBASA70M5","NBRBASA70M8","NBRBASA70M11","NBRBASA71M2","NBRBASA71M5","NBRBASA71M8","NBRBASA71M11","NBRBASA72M2","NBRBASA72M5","NBRBASA72M8","NBRBASA72M11","NBRBASA73M2","NBRBASA73M5","NBRBASA73M8","NBRBASA73M11","NBRBASA74M2","NBRBASA74M5","NBRBASA74M8","NBRBASA74M11","NBRBASA75M2","NBRBASA75M5","NBRBASA75M8","NBRBASA75M11","NBRBASA76M2","NBRBASA76M5","NBRBASA76M8","NBRBASA76M11","NBRBASA77M2","NBRBASA77M5","NBRBASA77M8","NBRBASA77M11","NBRBASA78M2","NBRBASA78M5","NBRBASA78M8","NBRBASA78M11","NBRBASA79M2","NBRBASA79M5","NBRBASA79M8","NBRBASA79M11","NBRBASA80M2","NBRBASA80M5","NBRBASA80M8","NBRBASA80M11","NBRBASA81M2","NBRBASA81M5","NBRBASA81M8","NBRBASA81M11","NBRBASA82M2","NBRBASA82M5","NBRBASA82M8","NBRBASA82M11","NBRBASA83M2","NBRBASA83M5","NBRBASA83M8","NBRBASA83M11","NBRBASA84M2","NBRBASA84M5","NBRBASA84M8","NBRBASA84M11","NBRBASA85M2","NBRBASA85M5","NBRBASA85M8","NBRBASA85M11","NBRBASA86M2","NBRBASA86M5","NBRBASA86M8","NBRBASA86M11","NBRBASA87M2","NBRBASA87M5","NBRBASA87M8","NBRBASA87M11","NBRBASA88M2","NBRBASA88M5","NBRBASA88M8","NBRBASA88M11","NBRBASA89M2","NBRBASA89M5","NBRBASA89M8","NBRBASA89M11","NBRBASA90M2","NBRBASA90M5","NBRBASA90M8","NBRBASA90M11","NBRBASA91M2","NBRBASA91M5","NBRBASA91M8","NBRBASA91M11","NBRBASA92M2","NBRBASA92M5","NBRBASA92M8","NBRBASA92M11","NBRBASA93M2","NBRBASA93M5","NBRBASA93M8","NBRBASA93M11","NBRBASA94M2","NBRBASA94M5","NBRBASA94M8","NBRBASA94M11","NBRBASA95M2","NBRBASA95M5","NBRBASA95M8","NBRBASA95M11","NBRBASA96M2","NBRBASA96M5","NBRBASA96M8","NBRBASA96M11","NBRBASA97M2","NBRBASA97M5","NBRBASA97M8","NBRBASA97M11","NBRBASA98M2","NBRBASA98M5","NBRBASA98M8","NBRBASA98M11","NBRBASA99M2","NBRBASA99M5","NBRBASA99M8","NBRBASA99M11","NBRBASA00M2","NBRBASA00M5","NBRBASA00M8","NBRBASA00M11","NBRBASA01M2","NBRBASA01M5","NBRBASA01M8","NBRBASA01M11","NBRBASA02M2","NBRBASA02M5","NBRBASA02M8","NBRBASA02M11","NBRBASA03M2","NBRBASA03M5","NBRBASA03M8","NBRBASA03M11","NBRBASA04M2","NBRBASA04M5","NBRBASA04M8","NBRBASA04M11","NBRBASA05M2","NBRBASA05M5","NBRBASA05M8","NBRBASA05M11","NBRBASA06M2","NBRBASA06M5","NBRBASA06M8","NBRBASA06M11","NBRBASA07M2","NBRBASA07M5","NBRBASA07M8","NBRBASA07M11","NBRBASA08M2","NBRBASA08M5","NBRBASA08M8","NBRBASA08M11","NBRBASA09M2","NBRBASA09M5","NBRBASA09M8","NBRBASA09M11","NBRBASA10M2","NBRBASA10M5","NBRBASA10M8","NBRBASA10M11","NBRBASA11M2","NBRBASA11M5","NBRBASA11M8","NBRBASA11M11","NBRBASA12M2","NBRBASA12M5","NBRBASA12M8","NBRBASA12M11","NBRBASA13M2","NBRBASA13M5"
"1947:01","42","42","42","42","42","42","42","13.73","13.73","13.73","13.73","13.93","13.93","13.93","13.93","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:02","42","42","42","42","42","42","42","13.76","13.76","13.76","13.76","13.96","13.96","13.96","13.96","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:03","42","42","42","42","42","42","42","13.9","13.9","13.9","13.9","14.1","14.1","14.1","14.1","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:04","42","42","42","42","42","42","42","13.96","13.96","13.96","13.96","14.16","14.16","14.16","14.16","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:05","42","42","42","42","42","42","42","14.0","14.0","14.0","14.0","14.2","14.2","14.2","14.2","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:06","42","42","42","42","42","42","42","13.75","13.75","13.75","13.75","13.95","13.95","13.95","13.95","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:07","42","42","42","42","42","42","42","13.83","13.83","13.83","13.83","14.03","14.03","14.03","14.03","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:08","42","42","42","42","42","42","42","13.89","13.89","13.89","13.89","14.09","14.09","14.09","14.09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:09","42","42","42","42","42","42","42","14.06","14.06","14.06","14.06","14.27","14.27","14.27","14.27","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1947:10","42","42","42","42","42","42","42","14.16","14.16","14.16","14.16","14.36","14.36","14.36","14.36","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
