"DATE","NOUTPUT00M1","NOUTPUT00M2","NOUTPUT00M3","NOUTPUT00M4","NOUTPUT00M5","NOUTPUT00M6","NOUTPUT00M7","NOUTPUT00M8","NOUTPUT00M9","NOUTPUT00M10","NOUTPUT00M11","NOUTPUT00M12","NOUTPUT01M1","NOUTPUT01M2","NOUTPUT01M3","NOUTPUT01M4","NOUTPUT01M5","NOUTPUT01M6","NOUTPUT01M7","NOUTPUT01M8","NOUTPUT01M9","NOUTPUT01M10","NOUTPUT01M11","NOUTPUT01M12","NOUTPUT02M1","NOUTPUT02M2","NOUTPUT02M3","NOUTPUT02M4","NOUTPUT02M5","NOUTPUT02M6","NOUTPUT02M7","NOUTPUT02M8","NOUTPUT02M9","NOUTPUT02M10","NOUTPUT02M11","NOUTPUT02M12","NOUTPUT03M1","NOUTPUT03M2","NOUTPUT03M3","NOUTPUT03M4","NOUTPUT03M5","NOUTPUT03M6","NOUTPUT03M7","NOUTPUT03M8","NOUTPUT03M9","NOUTPUT03M10","NOUTPUT03M11","NOUTPUT03M12","NOUTPUT04M1","NOUTPUT04M2","NOUTPUT04M3","NOUTPUT04M4","NOUTPUT04M5","NOUTPUT04M6","NOUTPUT04M7","NOUTPUT04M8","NOUTPUT04M9","NOUTPUT04M10","NOUTPUT04M11","NOUTPUT04M12","NOUTPUT05M1","NOUTPUT05M2","NOUTPUT05M3","NOUTPUT05M4","NOUTPUT05M5","NOUTPUT05M6","NOUTPUT05M7","NOUTPUT05M8","NOUTPUT05M9","NOUTPUT05M10","NOUTPUT05M11","NOUTPUT05M12","NOUTPUT06M1","NOUTPUT06M2","NOUTPUT06M3","NOUTPUT06M4","NOUTPUT06M5","NOUTPUT06M6","NOUTPUT06M7","NOUTPUT06M8","NOUTPUT06M9","NOUTPUT06M10","NOUTPUT06M11","NOUTPUT06M12","NOUTPUT07M1","NOUTPUT07M2","NOUTPUT07M3","NOUTPUT07M4","NOUTPUT07M5","NOUTPUT07M6","NOUTPUT07M7","NOUTPUT07M8","NOUTPUT07M9","NOUTPUT07M10","NOUTPUT07M11","NOUTPUT07M12","NOUTPUT08M1","NOUTPUT08M2","NOUTPUT08M3","NOUTPUT08M4","NOUTPUT08M5","NOUTPUT08M6","NOUTPUT08M7","NOUTPUT08M8","NOUTPUT08M9","NOUTPUT08M10","NOUTPUT08M11","NOUTPUT08M12","NOUTPUT09M1","NOUTPUT09M2","NOUTPUT09M3","NOUTPUT09M4","NOUTPUT09M5","NOUTPUT09M6","NOUTPUT09M7","NOUTPUT09M8","NOUTPUT09M9","NOUTPUT09M10","NOUTPUT09M11","NOUTPUT09M12"
"1947:Q1","#N/A","#N/A","#N/A","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.5","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2"
"1947:Q2","#N/A","#N/A","#N/A","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.7","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.4","240.4","240.4","240.4","240.4"
"1947:Q3","#N/A","#N/A","#N/A","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.9","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.6","244.5","244.5","244.5","244.5","244.5"
"1947:Q4","#N/A","#N/A","#N/A","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.3","254.3","254.3","254.3","254.3"
"1948:Q1","#N/A","#N/A","#N/A","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.8","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.4","260.3","260.3","260.3","260.3","260.3"
"1948:Q2","#N/A","#N/A","#N/A","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.7","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3"
"1948:Q3","#N/A","#N/A","#N/A","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.9","273.8","273.8","273.8","273.8","273.8"
"1948:Q4","#N/A","#N/A","#N/A","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.2","275.1","275.1","275.1","275.1","275.1"
"1949:Q1","#N/A","#N/A","#N/A","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.4","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","269.9","269.9","269.9","269.9","269.9"
"1949:Q2","#N/A","#N/A","#N/A","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2"
