"DATE","NOUTPUT10M1","NOUTPUT10M2","NOUTPUT10M3","NOUTPUT10M4","NOUTPUT10M5","NOUTPUT10M6","NOUTPUT10M7","NOUTPUT10M8","NOUTPUT10M9","NOUTPUT10M10","NOUTPUT10M11","NOUTPUT10M12","NOUTPUT11M1","NOUTPUT11M2","NOUTPUT11M3","NOUTPUT11M4","NOUTPUT11M5","NOUTPUT11M6","NOUTPUT11M7","NOUTPUT11M8","NOUTPUT11M9","NOUTPUT11M10","NOUTPUT11M11","NOUTPUT11M12","NOUTPUT12M1","NOUTPUT12M2","NOUTPUT12M3","NOUTPUT12M4","NOUTPUT12M5","NOUTPUT12M6","NOUTPUT12M7","NOUTPUT12M8","NOUTPUT12M9","NOUTPUT12M10","NOUTPUT12M11","NOUTPUT12M12","NOUTPUT13M1","NOUTPUT13M2","NOUTPUT13M3","NOUTPUT13M4","NOUTPUT13M5","NOUTPUT13M6","NOUTPUT13M7","NOUTPUT13M8","NOUTPUT13M9","NOUTPUT13M10","NOUTPUT13M11","NOUTPUT13M12","NOUTPUT14M1","NOUTPUT14M2","NOUTPUT14M3","NOUTPUT14M4","NOUTPUT14M5","NOUTPUT14M6","NOUTPUT14M7","NOUTPUT14M8","NOUTPUT14M9","NOUTPUT14M10","NOUTPUT14M11","NOUTPUT14M12","NOUTPUT15M1","NOUTPUT15M2","NOUTPUT15M3","NOUTPUT15M4","NOUTPUT15M5","NOUTPUT15M6","NOUTPUT15M7","NOUTPUT15M8","NOUTPUT15M9","NOUTPUT15M10","NOUTPUT15M11"
"1947:Q1","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1"
"1947:Q2","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","240.4","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3","246.3"
"1947:Q3","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","244.5","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1","250.1"
"1947:Q4","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","254.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3"
"1948:Q1","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","260.3","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2"
"1948:Q2","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","267.3","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9","272.9"
"1948:Q3","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","273.8","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5","279.5"
"1948:Q4","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","275.1","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7","280.7"
"1949:Q1","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","269.9","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4","275.4"
"1949:Q2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","266.2","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7","271.7"
