"DATE","PIMP65Q4","PIMP66Q1","PIMP66Q2","PIMP66Q3","PIMP66Q4","PIMP67Q1","PIMP67Q2","PIMP67Q3","PIMP67Q4","PIMP68Q1","PIMP68Q2","PIMP68Q3","PIMP68Q4","PIMP69Q1","PIMP69Q2","PIMP69Q3","PIMP69Q4","PIMP70Q1","PIMP70Q2","PIMP70Q3","PIMP70Q4","PIMP71Q1","PIMP71Q2","PIMP71Q3","PIMP71Q4","PIMP72Q1","PIMP72Q2","PIMP72Q3","PIMP72Q4","PIMP73Q1","PIMP73Q2","PIMP73Q3","PIMP73Q4","PIMP74Q1","PIMP74Q2","PIMP74Q3","PIMP74Q4","PIMP75Q1","PIMP75Q2","PIMP75Q3","PIMP75Q4","PIMP76Q1","PIMP76Q2","PIMP76Q3","PIMP76Q4","PIMP77Q1","PIMP77Q2","PIMP77Q3","PIMP77Q4","PIMP78Q1","PIMP78Q2","PIMP78Q3","PIMP78Q4","PIMP79Q1","PIMP79Q2","PIMP79Q3","PIMP79Q4","PIMP80Q1","PIMP80Q2","PIMP80Q3","PIMP80Q4","PIMP81Q1","PIMP81Q2","PIMP81Q3","PIMP81Q4","PIMP82Q1","PIMP82Q2","PIMP82Q3","PIMP82Q4","PIMP83Q1","PIMP83Q2","PIMP83Q3","PIMP83Q4","PIMP84Q1","PIMP84Q2","PIMP84Q3","PIMP84Q4","PIMP85Q1","PIMP85Q2","PIMP85Q3","PIMP85Q4","PIMP86Q1","PIMP86Q2","PIMP86Q3","PIMP86Q4","PIMP87Q1","PIMP87Q2","PIMP87Q3","PIMP87Q4","PIMP88Q1","PIMP88Q2","PIMP88Q3","PIMP88Q4","PIMP89Q1","PIMP89Q2","PIMP89Q3","PIMP89Q4","PIMP90Q1","PIMP90Q2","PIMP90Q3","PIMP90Q4","PIMP91Q1","PIMP91Q2","PIMP91Q3","PIMP91Q4","PIMP92Q1","PIMP92Q2","PIMP92Q3","PIMP92Q4","PIMP93Q1","PIMP93Q2","PIMP93Q3","PIMP93Q4","PIMP94Q1","PIMP94Q2","PIMP94Q3","PIMP94Q4","PIMP95Q1","PIMP95Q2","PIMP95Q3","PIMP95Q4","PIMP96Q1","PIMP96Q2","PIMP96Q3","PIMP96Q4","PIMP97Q1","PIMP97Q2","PIMP97Q3","PIMP97Q4","PIMP98Q1","PIMP98Q2","PIMP98Q3","PIMP98Q4","PIMP99Q1","PIMP99Q2","PIMP99Q3","PIMP99Q4","PIMP00Q1","PIMP00Q2","PIMP00Q3","PIMP00Q4","PIMP01Q1","PIMP01Q2","PIMP01Q3","PIMP01Q4","PIMP02Q1","PIMP02Q2","PIMP02Q3","PIMP02Q4","PIMP03Q1","PIMP03Q2","PIMP03Q3","PIMP03Q4","PIMP04Q1","PIMP04Q2","PIMP04Q3","PIMP04Q4","PIMP05Q1","PIMP05Q2","PIMP05Q3","PIMP05Q4","PIMP06Q1","PIMP06Q2","PIMP06Q3","PIMP06Q4","PIMP07Q1","PIMP07Q2","PIMP07Q3","PIMP07Q4","PIMP08Q1","PIMP08Q2","PIMP08Q3","PIMP08Q4","PIMP09Q1","PIMP09Q2","PIMP09Q3","PIMP09Q4","PIMP10Q1","PIMP10Q2","PIMP10Q3","PIMP10Q4","PIMP11Q1","PIMP11Q2","PIMP11Q3","PIMP11Q4","PIMP12Q1","PIMP12Q2","PIMP12Q3","PIMP12Q4","PIMP13Q1","PIMP13Q2","PIMP13Q3","PIMP13Q4","PIMP14Q1","PIMP14Q2","PIMP14Q3","PIMP14Q4","PIMP15Q1","PIMP15Q2","PIMP15Q3","PIMP15Q4"
"1947:Q1","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","19.9","#N/A","#N/A","#N/A","#N/A","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","20.2703","#N/A","#N/A","#N/A","#N/A","#N/A","15.36","15.36","15.36","15.36","15.36","15.36","15.36","15.36","15.36","15.36","#N/A","#N/A","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","15.58","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","16.298","14.707","14.707","14.707","14.707","14.707","14.707","14.707","14.707","14.717","14.717","14.717","14.717","14.717","14.717","14.717","14.717","13.691","13.691","13.691","13.691","13.854","13.854","13.854","13.854","13.854","13.854"
"1947:Q2","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","63.6","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.2","#N/A","#N/A","#N/A","#N/A","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","21.0256","#N/A","#N/A","#N/A","#N/A","#N/A","16.66","16.66","16.66","16.66","16.66","16.66","16.66","16.66","16.66","16.66","#N/A","#N/A","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","16.69","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","17.455","15.742","15.742","15.742","15.742","15.742","15.742","15.742","15.742","15.753","15.753","15.753","15.753","15.753","15.753","15.753","15.753","14.655","14.655","14.655","14.655","14.829","14.829","14.829","14.829","14.829","14.829"
"1947:Q3","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","#N/A","#N/A","#N/A","#N/A","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","21.7514","#N/A","#N/A","#N/A","#N/A","#N/A","17.68","17.68","17.68","17.68","17.68","17.68","17.68","17.68","17.68","17.68","#N/A","#N/A","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","17.6","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","18.396","16.585","16.585","16.585","16.585","16.585","16.585","16.585","16.585","16.597","16.597","16.597","16.597","16.597","16.597","16.597","16.597","15.44","15.44","15.44","15.44","15.624","15.624","15.624","15.624","15.624","15.624"
"1947:Q4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","21.6","#N/A","#N/A","#N/A","#N/A","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","22.3118","#N/A","#N/A","#N/A","#N/A","#N/A","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","18.34","#N/A","#N/A","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","18.21","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","17.151","17.151","17.151","17.151","17.151","17.151","17.151","17.151","17.163","17.163","17.163","17.163","17.163","17.163","17.163","17.163","15.967","15.967","15.967","15.967","16.156","16.156","16.156","16.156","16.156","16.156"
"1948:Q1","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","85.2","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","22.0","#N/A","#N/A","#N/A","#N/A","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","23.0769","#N/A","#N/A","#N/A","#N/A","#N/A","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","#N/A","#N/A","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","18.62","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","19.461","17.551","17.551","17.551","17.551","17.551","17.551","17.551","17.551","17.563","17.563","17.563","17.563","17.563","17.563","17.563","17.563","16.339","16.339","16.339","16.339","16.533","16.533","16.533","16.533","16.533","16.533"
"1948:Q2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","67.9","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","#N/A","#N/A","#N/A","#N/A","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","23.0947","#N/A","#N/A","#N/A","#N/A","#N/A","18.69","18.69","18.69","18.69","18.69","18.69","18.69","18.69","18.69","18.69","#N/A","#N/A","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","18.68","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","19.519","17.611","17.611","17.611","17.611","17.611","17.611","17.611","17.611","17.623","17.623","17.623","17.623","17.623","17.623","17.623","17.623","16.395","16.395","16.395","16.395","16.59","16.59","16.59","16.59","16.59","16.59"
"1948:Q3","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","66.8","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.7","#N/A","#N/A","#N/A","#N/A","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","22.8758","#N/A","#N/A","#N/A","#N/A","#N/A","18.45","18.45","18.45","18.45","18.45","18.45","18.45","18.45","18.45","18.45","#N/A","#N/A","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","18.49","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","19.331","17.437","17.437","17.437","17.437","17.437","17.437","17.437","17.437","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","16.233","16.233","16.233","16.233","16.426","16.426","16.426","16.426","16.426","16.426"
"1948:Q4","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","66.6","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","#N/A","#N/A","#N/A","#N/A","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","22.2467","#N/A","#N/A","#N/A","#N/A","#N/A","18.12","18.12","18.12","18.12","18.12","18.12","18.12","18.12","18.12","18.12","#N/A","#N/A","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","18.19","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","19.033","17.157","17.157","17.157","17.157","17.157","17.157","17.157","17.157","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","15.973","15.973","15.973","15.973","16.162","16.162","16.162","16.162","16.162","16.162"
"1949:Q1","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","66.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","21.7","#N/A","#N/A","#N/A","#N/A","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","22.0183","#N/A","#N/A","#N/A","#N/A","#N/A","17.82","17.82","17.82","17.82","17.82","17.82","17.82","17.82","17.82","17.82","#N/A","#N/A","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","17.83","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","18.588","16.771","16.771","16.771","16.771","16.771","16.771","16.771","16.771","16.783","16.783","16.783","16.783","16.783","16.783","16.783","16.783","15.613","15.613","15.613","15.613","15.799","15.799","15.799","15.799","15.799","15.799"
"1949:Q2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","82.2","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","64.7","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","#N/A","#N/A","#N/A","#N/A","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","21.8097","#N/A","#N/A","#N/A","#N/A","#N/A","17.61","17.61","17.61","17.61","17.61","17.61","17.61","17.61","17.61","17.61","#N/A","#N/A","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","17.62","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","18.404","16.597","16.597","16.597","16.597","16.597","16.597","16.597","16.597","16.609","16.609","16.609","16.609","16.609","16.609","16.609","16.609","15.451","15.451","15.451","15.451","15.635","15.635","15.635","15.635","15.635","15.635"
