"DATE","P65Q4","P66Q1","P66Q2","P66Q3","P66Q4","P67Q1","P67Q2","P67Q3","P67Q4","P68Q1","P68Q2","P68Q3","P68Q4","P69Q1","P69Q2","P69Q3","P69Q4","P70Q1","P70Q2","P70Q3","P70Q4","P71Q1","P71Q2","P71Q3","P71Q4","P72Q1","P72Q2","P72Q3","P72Q4","P73Q1","P73Q2","P73Q3","P73Q4","P74Q1","P74Q2","P74Q3","P74Q4","P75Q1","P75Q2","P75Q3","P75Q4","P76Q1","P76Q2","P76Q3","P76Q4","P77Q1","P77Q2","P77Q3","P77Q4","P78Q1","P78Q2","P78Q3","P78Q4","P79Q1","P79Q2","P79Q3","P79Q4","P80Q1","P80Q2","P80Q3","P80Q4","P81Q1","P81Q2","P81Q3","P81Q4","P82Q1","P82Q2","P82Q3","P82Q4","P83Q1","P83Q2","P83Q3","P83Q4","P84Q1","P84Q2","P84Q3","P84Q4","P85Q1","P85Q2","P85Q3","P85Q4","P86Q1","P86Q2","P86Q3","P86Q4","P87Q1","P87Q2","P87Q3","P87Q4","P88Q1","P88Q2","P88Q3","P88Q4","P89Q1","P89Q2","P89Q3","P89Q4","P90Q1","P90Q2","P90Q3","P90Q4","P91Q1","P91Q2","P91Q3","P91Q4","P92Q1","P92Q2","P92Q3","P92Q4","P93Q1","P93Q2","P93Q3","P93Q4","P94Q1","P94Q2","P94Q3","P94Q4","P95Q1","P95Q2","P95Q3","P95Q4","P96Q1","P96Q2","P96Q3","P96Q4","P97Q1","P97Q2","P97Q3","P97Q4","P98Q1","P98Q2","P98Q3","P98Q4","P99Q1","P99Q2","P99Q3","P99Q4","P00Q1","P00Q2","P00Q3","P00Q4","P01Q1","P01Q2","P01Q3","P01Q4","P02Q1","P02Q2","P02Q3","P02Q4","P03Q1","P03Q2","P03Q3","P03Q4","P04Q1","P04Q2","P04Q3","P04Q4","P05Q1","P05Q2","P05Q3","P05Q4","P06Q1","P06Q2","P06Q3","P06Q4","P07Q1","P07Q2","P07Q3","P07Q4","P08Q1","P08Q2","P08Q3","P08Q4","P09Q1","P09Q2","P09Q3","P09Q4","P10Q1","P10Q2","P10Q3","P10Q4","P11Q1","P11Q2","P11Q3","P11Q4","P12Q1","P12Q2","P12Q3","P12Q4","P13Q1","P13Q2","P13Q3","P13Q4","P14Q1","P14Q2","P14Q3","P14Q4","P15Q1","P15Q2","P15Q3","P15Q4"
"1947:Q1","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","72.9765","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.4698","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","48.3047","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","21.5334","#N/A","#N/A","#N/A","#N/A","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","18.2896","#N/A","#N/A","#N/A","#N/A","#N/A","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","16.72","#N/A","#N/A","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.92","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","15.115","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.411","13.411","13.411","13.411","13.411","13.411","13.411","13.411","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607","12.607"
"1947:Q2","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","73.657","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","49.0053","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","48.8392","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","21.7739","#N/A","#N/A","#N/A","#N/A","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","18.4894","#N/A","#N/A","#N/A","#N/A","#N/A","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","16.91","#N/A","#N/A","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","16.15","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","15.335","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.595","13.607","13.607","13.607","13.607","13.607","13.607","13.607","13.607","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779","12.779"
"1947:Q3","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","74.8708","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.8504","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","49.681","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","22.1066","#N/A","#N/A","#N/A","#N/A","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","18.7171","#N/A","#N/A","#N/A","#N/A","#N/A","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","17.17","#N/A","#N/A","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","16.44","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","15.59","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.823","13.835","13.835","13.835","13.835","13.835","13.835","13.835","13.835","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979","12.979"
"1947:Q4","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","76.9793","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.425","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","51.2928","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","22.787","#N/A","#N/A","#N/A","#N/A","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","19.2989","#N/A","#N/A","#N/A","#N/A","#N/A","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","17.53","#N/A","#N/A","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","16.78","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","15.912","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.106","14.118","14.118","14.118","14.118","14.118","14.118","14.118","14.118","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246","13.246"
"1948:Q1","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","78.2088","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.2942","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","52.1485","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","23.2241","#N/A","#N/A","#N/A","#N/A","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","19.5561","#N/A","#N/A","#N/A","#N/A","#N/A","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","17.75","#N/A","#N/A","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.97","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","16.093","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.264","14.276","14.276","14.276","14.276","14.276","14.276","14.276","14.276","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395","13.395"
"1948:Q2","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","79.1576","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.9012","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","52.734","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","23.4789","#N/A","#N/A","#N/A","#N/A","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","19.9352","#N/A","#N/A","#N/A","#N/A","#N/A","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","17.97","#N/A","#N/A","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","17.16","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","16.276","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.422","14.434","14.434","14.434","14.434","14.434","14.434","14.434","14.434","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552","13.552"
"1948:Q3","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","80.5709","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.7897","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","53.662","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","23.8825","#N/A","#N/A","#N/A","#N/A","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","20.3482","#N/A","#N/A","#N/A","#N/A","#N/A","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","#N/A","#N/A","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","17.47","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","16.563","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.679","14.692","14.692","14.692","14.692","14.692","14.692","14.692","14.692","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788","13.788"
"1948:Q4","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","80.286","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.539","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","53.4043","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","23.8028","#N/A","#N/A","#N/A","#N/A","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","20.2522","#N/A","#N/A","#N/A","#N/A","#N/A","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","18.3","#N/A","#N/A","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","17.45","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","16.555","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.676","14.688","14.688","14.688","14.688","14.688","14.688","14.688","14.688","13.783","13.783","13.783","13.783","13.782","13.782","13.782","13.782","13.782","13.782"
"1949:Q1","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","79.661","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.9843","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","52.8827","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","23.6156","#N/A","#N/A","#N/A","#N/A","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","20.0414","#N/A","#N/A","#N/A","#N/A","#N/A","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","18.25","#N/A","#N/A","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","17.42","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","16.514","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.634","14.647","14.647","14.647","14.647","14.647","14.647","14.647","14.647","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738","13.738"
"1949:Q2","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","79.1318","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4852","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","52.4169","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","23.4379","#N/A","#N/A","#N/A","#N/A","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","19.8233","#N/A","#N/A","#N/A","#N/A","#N/A","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","18.13","#N/A","#N/A","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","17.31","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","16.405","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.541","14.553","14.553","14.553","14.553","14.553","14.553","14.553","14.553","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652","13.652"
