"DATE","RCOND80M1","RCOND80M2","RCOND80M3","RCOND80M4","RCOND80M5","RCOND80M6","RCOND80M7","RCOND80M8","RCOND80M9","RCOND80M10","RCOND80M11","RCOND80M12","RCOND81M1","RCOND81M2","RCOND81M3","RCOND81M4","RCOND81M5","RCOND81M6","RCOND81M7","RCOND81M8","RCOND81M9","RCOND81M10","RCOND81M11","RCOND81M12","RCOND82M1","RCOND82M2","RCOND82M3","RCOND82M4","RCOND82M5","RCOND82M6","RCOND82M7","RCOND82M8","RCOND82M9","RCOND82M10","RCOND82M11","RCOND82M12","RCOND83M1","RCOND83M2","RCOND83M3","RCOND83M4","RCOND83M5","RCOND83M6","RCOND83M7","RCOND83M8","RCOND83M9","RCOND83M10","RCOND83M11","RCOND83M12","RCOND84M1","RCOND84M2","RCOND84M3","RCOND84M4","RCOND84M5","RCOND84M6","RCOND84M7","RCOND84M8","RCOND84M9","RCOND84M10","RCOND84M11","RCOND84M12","RCOND85M1","RCOND85M2","RCOND85M3","RCOND85M4","RCOND85M5","RCOND85M6","RCOND85M7","RCOND85M8","RCOND85M9","RCOND85M10","RCOND85M11","RCOND85M12","RCOND86M1","RCOND86M2","RCOND86M3","RCOND86M4","RCOND86M5","RCOND86M6","RCOND86M7","RCOND86M8","RCOND86M9","RCOND86M10","RCOND86M11","RCOND86M12","RCOND87M1","RCOND87M2","RCOND87M3","RCOND87M4","RCOND87M5","RCOND87M6","RCOND87M7","RCOND87M8","RCOND87M9","RCOND87M10","RCOND87M11","RCOND87M12","RCOND88M1","RCOND88M2","RCOND88M3","RCOND88M4","RCOND88M5","RCOND88M6","RCOND88M7","RCOND88M8","RCOND88M9","RCOND88M10","RCOND88M11","RCOND88M12","RCOND89M1","RCOND89M2","RCOND89M3","RCOND89M4","RCOND89M5","RCOND89M6","RCOND89M7","RCOND89M8","RCOND89M9","RCOND89M10","RCOND89M11","RCOND89M12"
"1947:Q1","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","28.9","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3","54.3"
"1947:Q2","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2","55.2"
"1947:Q3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","30.3","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0","56.0"
"1947:Q4","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6"
"1948:Q1","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7"
"1948:Q2","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7"
"1948:Q3","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5"
"1948:Q4","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9"
"1949:Q1","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8"
"1949:Q2","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1"
