"DATE","RCONM98M11","RCONM98M12","RCONM99M1","RCONM99M2","RCONM99M3","RCONM99M4","RCONM99M5","RCONM99M6","RCONM99M7","RCONM99M8","RCONM99M9","RCONM99M10","RCONM99M11","RCONM99M12","RCONM00M1","RCONM00M2","RCONM00M3","RCONM00M4","RCONM00M5","RCONM00M6","RCONM00M7","RCONM00M8","RCONM00M9","RCONM00M10","RCONM00M11","RCONM00M12","RCONM01M1","RCONM01M2","RCONM01M3","RCONM01M4","RCONM01M5","RCONM01M6","RCONM01M7","RCONM01M8","RCONM01M9","RCONM01M10","RCONM01M11","RCONM01M12","RCONM02M1","RCONM02M2","RCONM02M3","RCONM02M4","RCONM02M5","RCONM02M6","RCONM02M7","RCONM02M8","RCONM02M9","RCONM02M10","RCONM02M11","RCONM02M12","RCONM03M1","RCONM03M2","RCONM03M3","RCONM03M4","RCONM03M5","RCONM03M6","RCONM03M7","RCONM03M8","RCONM03M9","RCONM03M10","RCONM03M11","RCONM03M12","RCONM04M1","RCONM04M2","RCONM04M3","RCONM04M4","RCONM04M5","RCONM04M6","RCONM04M7","RCONM04M8","RCONM04M9","RCONM04M10","RCONM04M11","RCONM04M12","RCONM05M1","RCONM05M2","RCONM05M3","RCONM05M4","RCONM05M5","RCONM05M6","RCONM05M7","RCONM05M8","RCONM05M9","RCONM05M10","RCONM05M11","RCONM05M12","RCONM06M1","RCONM06M2","RCONM06M3","RCONM06M4","RCONM06M5","RCONM06M6","RCONM06M7","RCONM06M8","RCONM06M9","RCONM06M10","RCONM06M11","RCONM06M12","RCONM07M1","RCONM07M2","RCONM07M3","RCONM07M4","RCONM07M5","RCONM07M6","RCONM07M7","RCONM07M8","RCONM07M9","RCONM07M10","RCONM07M11","RCONM07M12","RCONM08M1","RCONM08M2","RCONM08M3","RCONM08M4","RCONM08M5","RCONM08M6","RCONM08M7","RCONM08M8","RCONM08M9","RCONM08M10","RCONM08M11","RCONM08M12","RCONM09M1","RCONM09M2","RCONM09M3","RCONM09M4","RCONM09M5","RCONM09M6","RCONM09M7","RCONM09M8","RCONM09M9","RCONM09M10","RCONM09M11","RCONM09M12","RCONM10M1","RCONM10M2","RCONM10M3","RCONM10M4","RCONM10M5","RCONM10M6","RCONM10M7","RCONM10M8","RCONM10M9","RCONM10M10","RCONM10M11","RCONM10M12","RCONM11M1","RCONM11M2","RCONM11M3","RCONM11M4","RCONM11M5","RCONM11M6","RCONM11M7","RCONM11M8","RCONM11M9","RCONM11M10","RCONM11M11","RCONM11M12","RCONM12M1","RCONM12M2","RCONM12M3","RCONM12M4","RCONM12M5","RCONM12M6","RCONM12M7","RCONM12M8","RCONM12M9","RCONM12M10","RCONM12M11","RCONM12M12","RCONM13M1","RCONM13M2","RCONM13M3","RCONM13M4","RCONM13M5","RCONM13M6","RCONM13M7","RCONM13M8","RCONM13M9","RCONM13M10","RCONM13M11","RCONM13M12","RCONM14M1","RCONM14M2","RCONM14M3","RCONM14M4","RCONM14M5","RCONM14M6","RCONM14M7","RCONM14M8","RCONM14M9","RCONM14M10","RCONM14M11","RCONM14M12","RCONM15M1","RCONM15M2","RCONM15M3","RCONM15M4","RCONM15M5","RCONM15M6","RCONM15M7","RCONM15M8","RCONM15M9","RCONM15M10","RCONM15M11"
"1959:01","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","1356.453","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1509.4","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.167","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1689.573","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.316","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262","1791.262"
"1959:02","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","1369.872","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1526.5","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1706.719","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1707.092","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.919","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873","1809.873"
"1959:03","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","1383.376","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1541.8","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1722.86","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1723.29","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.145","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105","1827.105"
"1959:04","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","1378.818","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1537.0","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1716.563","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1717.04","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.451","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507","1820.507"
"1959:05","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","1395.318","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1556.0","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.235","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1737.728","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.401","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368","1842.368"
"1959:06","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","1400.888","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1562.3","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1743.63","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1744.067","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.193","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162","1849.162"
"1959:07","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","1396.668","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1557.4","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1737.77","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1738.168","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.992","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959","1842.959"
"1959:08","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","1405.445","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1567.1","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.141","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1748.644","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1854.016","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987","1853.987"
"1959:09","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","1419.371","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1583.2","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1765.679","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1766.163","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.619","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598","1872.598"
"1959:10","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","1410.214","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1572.5","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1753.699","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1754.103","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.823","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797","1859.797"
