"DATE","RCON80M1","RCON80M2","RCON80M3","RCON80M4","RCON80M5","RCON80M6","RCON80M7","RCON80M8","RCON80M9","RCON80M10","RCON80M11","RCON80M12","RCON81M1","RCON81M2","RCON81M3","RCON81M4","RCON81M5","RCON81M6","RCON81M7","RCON81M8","RCON81M9","RCON81M10","RCON81M11","RCON81M12","RCON82M1","RCON82M2","RCON82M3","RCON82M4","RCON82M5","RCON82M6","RCON82M7","RCON82M8","RCON82M9","RCON82M10","RCON82M11","RCON82M12","RCON83M1","RCON83M2","RCON83M3","RCON83M4","RCON83M5","RCON83M6","RCON83M7","RCON83M8","RCON83M9","RCON83M10","RCON83M11","RCON83M12","RCON84M1","RCON84M2","RCON84M3","RCON84M4","RCON84M5","RCON84M6","RCON84M7","RCON84M8","RCON84M9","RCON84M10","RCON84M11","RCON84M12","RCON85M1","RCON85M2","RCON85M3","RCON85M4","RCON85M5","RCON85M6","RCON85M7","RCON85M8","RCON85M9","RCON85M10","RCON85M11","RCON85M12","RCON86M1","RCON86M2","RCON86M3","RCON86M4","RCON86M5","RCON86M6","RCON86M7","RCON86M8","RCON86M9","RCON86M10","RCON86M11","RCON86M12","RCON87M1","RCON87M2","RCON87M3","RCON87M4","RCON87M5","RCON87M6","RCON87M7","RCON87M8","RCON87M9","RCON87M10","RCON87M11","RCON87M12","RCON88M1","RCON88M2","RCON88M3","RCON88M4","RCON88M5","RCON88M6","RCON88M7","RCON88M8","RCON88M9","RCON88M10","RCON88M11","RCON88M12","RCON89M1","RCON89M2","RCON89M3","RCON89M4","RCON89M5","RCON89M6","RCON89M7","RCON89M8","RCON89M9","RCON89M10","RCON89M11","RCON89M12"
"1947:Q1","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.7","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1","658.1"
"1947:Q2","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.3","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","307.0","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4","669.4"
"1947:Q3","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0","670.0"
"1947:Q4","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","307.2","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","306.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8","668.8"
"1948:Q1","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","309.3","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","308.8","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6","674.6"
"1948:Q2","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.5","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","312.1","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4","681.4"
"1948:Q3","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9","682.9"
"1948:Q4","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","316.1","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","315.4","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3","688.3"
"1949:Q1","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","316.5","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","315.8","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7","688.7"
"1949:Q2","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","320.5","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9","696.9"
