"DATE","RCONND90M1","RCONND90M2","RCONND90M3","RCONND90M4","RCONND90M5","RCONND90M6","RCONND90M7","RCONND90M8","RCONND90M9","RCONND90M10","RCONND90M11","RCONND90M12","RCONND91M1","RCONND91M2","RCONND91M3","RCONND91M4","RCONND91M5","RCONND91M6","RCONND91M7","RCONND91M8","RCONND91M9","RCONND91M10","RCONND91M11","RCONND91M12","RCONND92M1","RCONND92M2","RCONND92M3","RCONND92M4","RCONND92M5","RCONND92M6","RCONND92M7","RCONND92M8","RCONND92M9","RCONND92M10","RCONND92M11","RCONND92M12","RCONND93M1","RCONND93M2","RCONND93M3","RCONND93M4","RCONND93M5","RCONND93M6","RCONND93M7","RCONND93M8","RCONND93M9","RCONND93M10","RCONND93M11","RCONND93M12","RCONND94M1","RCONND94M2","RCONND94M3","RCONND94M4","RCONND94M5","RCONND94M6","RCONND94M7","RCONND94M8","RCONND94M9","RCONND94M10","RCONND94M11","RCONND94M12","RCONND95M1","RCONND95M2","RCONND95M3","RCONND95M4","RCONND95M5","RCONND95M6","RCONND95M7","RCONND95M8","RCONND95M9","RCONND95M10","RCONND95M11","RCONND95M12","RCONND96M1","RCONND96M2","RCONND96M3","RCONND96M4","RCONND96M5","RCONND96M6","RCONND96M7","RCONND96M8","RCONND96M9","RCONND96M10","RCONND96M11","RCONND96M12","RCONND97M1","RCONND97M2","RCONND97M3","RCONND97M4","RCONND97M5","RCONND97M6","RCONND97M7","RCONND97M8","RCONND97M9","RCONND97M10","RCONND97M11","RCONND97M12","RCONND98M1","RCONND98M2","RCONND98M3","RCONND98M4","RCONND98M5","RCONND98M6","RCONND98M7","RCONND98M8","RCONND98M9","RCONND98M10","RCONND98M11","RCONND98M12","RCONND99M1","RCONND99M2","RCONND99M3","RCONND99M4","RCONND99M5","RCONND99M6","RCONND99M7","RCONND99M8","RCONND99M9","RCONND99M10","RCONND99M11","RCONND99M12"
"1947:Q1","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","332.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","377.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","440.4","#N/A","#N/A"
"1947:Q2","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","339.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","385.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","448.7","#N/A","#N/A"
"1947:Q3","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","386.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","450.5","#N/A","#N/A"
"1947:Q4","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","336.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","#N/A","#N/A"
"1948:Q1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","337.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","444.6","#N/A","#N/A"
"1948:Q2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","340.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","385.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","449.0","#N/A","#N/A"
"1948:Q3","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","336.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","381.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","445.2","#N/A","#N/A"
"1948:Q4","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","386.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","451.5","#N/A","#N/A"
"1949:Q1","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","341.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","388.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","#N/A","#N/A"
"1949:Q2","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","342.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","389.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","454.9","#N/A","#N/A"
