"DATE","RGF65M11","RGF65M12","RGF66M1","RGF66M2","RGF66M3","RGF66M4","RGF66M5","RGF66M6","RGF66M7","RGF66M8","RGF66M9","RGF66M10","RGF66M11","RGF66M12","RGF67M1","RGF67M2","RGF67M3","RGF67M4","RGF67M5","RGF67M6","RGF67M7","RGF67M8","RGF67M9","RGF67M10","RGF67M11","RGF67M12","RGF68M1","RGF68M2","RGF68M3","RGF68M4","RGF68M5","RGF68M6","RGF68M7","RGF68M8","RGF68M9","RGF68M10","RGF68M11","RGF68M12","RGF69M1","RGF69M2","RGF69M3","RGF69M4","RGF69M5","RGF69M6","RGF69M7","RGF69M8","RGF69M9","RGF69M10","RGF69M11","RGF69M12"
"1947:Q1","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8"
"1947:Q2","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4"
"1947:Q3","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4","19.4"
"1947:Q4","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8","18.8"
"1948:Q1","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3","19.3"
"1948:Q2","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0"
"1948:Q3","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0"
"1948:Q4","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3"
"1949:Q1","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8"
"1949:Q2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2"
"1949:Q3","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1"
"1949:Q4","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1"
"1950:Q1","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2"
"1950:Q2","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8"
"1950:Q3","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0"
"1950:Q4","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0","27.0"
