"DATE","RGF90M1","RGF90M2","RGF90M3","RGF90M4","RGF90M5","RGF90M6","RGF90M7","RGF90M8","RGF90M9","RGF90M10","RGF90M11","RGF90M12","RGF91M1","RGF91M2","RGF91M3","RGF91M4","RGF91M5","RGF91M6","RGF91M7","RGF91M8","RGF91M9","RGF91M10","RGF91M11","RGF91M12","RGF92M1","RGF92M2","RGF92M3","RGF92M4","RGF92M5","RGF92M6","RGF92M7","RGF92M8","RGF92M9","RGF92M10","RGF92M11","RGF92M12","RGF93M1","RGF93M2","RGF93M3","RGF93M4","RGF93M5","RGF93M6","RGF93M7","RGF93M8","RGF93M9","RGF93M10","RGF93M11","RGF93M12","RGF94M1","RGF94M2","RGF94M3","RGF94M4","RGF94M5","RGF94M6","RGF94M7","RGF94M8","RGF94M9","RGF94M10","RGF94M11","RGF94M12","RGF95M1","RGF95M2","RGF95M3","RGF95M4","RGF95M5","RGF95M6","RGF95M7","RGF95M8","RGF95M9","RGF95M10","RGF95M11","RGF95M12","RGF96M1","RGF96M2","RGF96M3","RGF96M4","RGF96M5","RGF96M6","RGF96M7","RGF96M8","RGF96M9","RGF96M10","RGF96M11","RGF96M12","RGF97M1","RGF97M2","RGF97M3","RGF97M4","RGF97M5","RGF97M6","RGF97M7","RGF97M8","RGF97M9","RGF97M10","RGF97M11","RGF97M12","RGF98M1","RGF98M2","RGF98M3","RGF98M4","RGF98M5","RGF98M6","RGF98M7","RGF98M8","RGF98M9","RGF98M10","RGF98M11","RGF98M12","RGF99M1","RGF99M2","RGF99M3","RGF99M4","RGF99M5","RGF99M6","RGF99M7","RGF99M8","RGF99M9","RGF99M10","RGF99M11","RGF99M12"
"1947:Q1","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","93.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","166.273","#N/A","#N/A"
"1947:Q2","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","167.5403","#N/A","#N/A"
"1947:Q3","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","111.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","167.4875","#N/A","#N/A"
"1947:Q4","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","88.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","161.3624","#N/A","#N/A"
"1948:Q1","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","166.7482","#N/A","#N/A"
"1948:Q2","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","122.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","175.9886","#N/A","#N/A"
"1948:Q3","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","127.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","178.9983","#N/A","#N/A"
"1948:Q4","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","118.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","136.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","188.397","#N/A","#N/A"
"1949:Q1","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","137.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","191.5123","#N/A","#N/A"
"1949:Q2","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","198.5878","#N/A","#N/A"
