"DATE","RG00M1","RG00M2","RG00M3","RG00M4","RG00M5","RG00M6","RG00M7","RG00M8","RG00M9","RG00M10","RG00M11","RG00M12","RG01M1","RG01M2","RG01M3","RG01M4","RG01M5","RG01M6","RG01M7","RG01M8","RG01M9","RG01M10","RG01M11","RG01M12","RG02M1","RG02M2","RG02M3","RG02M4","RG02M5","RG02M6","RG02M7","RG02M8","RG02M9","RG02M10","RG02M11","RG02M12","RG03M1","RG03M2","RG03M3","RG03M4","RG03M5","RG03M6","RG03M7","RG03M8","RG03M9","RG03M10","RG03M11","RG03M12","RG04M1","RG04M2","RG04M3","RG04M4","RG04M5","RG04M6","RG04M7","RG04M8","RG04M9","RG04M10","RG04M11","RG04M12","RG05M1","RG05M2","RG05M3","RG05M4","RG05M5","RG05M6","RG05M7","RG05M8","RG05M9","RG05M10","RG05M11","RG05M12","RG06M1","RG06M2","RG06M3","RG06M4","RG06M5","RG06M6","RG06M7","RG06M8","RG06M9","RG06M10","RG06M11","RG06M12","RG07M1","RG07M2","RG07M3","RG07M4","RG07M5","RG07M6","RG07M7","RG07M8","RG07M9","RG07M10","RG07M11","RG07M12","RG08M1","RG08M2","RG08M3","RG08M4","RG08M5","RG08M6","RG08M7","RG08M8","RG08M9","RG08M10","RG08M11","RG08M12","RG09M1","RG09M2","RG09M3","RG09M4","RG09M5","RG09M6","RG09M7","RG09M8","RG09M9","RG09M10","RG09M11","RG09M12"
"1947:Q1","#N/A","#N/A","#N/A","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","407.3","407.3","407.3","407.3","407.3"
"1947:Q2","#N/A","#N/A","#N/A","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","409.8","409.8","409.8","409.8","409.8"
"1947:Q3","#N/A","#N/A","#N/A","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","413.6","413.6","413.6","413.6","413.6"
"1947:Q4","#N/A","#N/A","#N/A","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","407.5","407.5","407.5","407.5","407.5"
"1948:Q1","#N/A","#N/A","#N/A","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","415.5","415.5","415.5","415.5","415.5"
"1948:Q2","#N/A","#N/A","#N/A","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","435.5","435.5","435.5","435.5","435.5"
"1948:Q3","#N/A","#N/A","#N/A","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","444.0","444.0","444.0","444.0","444.0"
"1948:Q4","#N/A","#N/A","#N/A","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","462.7","462.7","462.7","462.7","462.7"
"1949:Q1","#N/A","#N/A","#N/A","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","475.9","475.9","475.9","475.9","475.9"
"1949:Q2","#N/A","#N/A","#N/A","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","497.4","497.4","497.4","497.4","497.4"
"1949:Q3","#N/A","#N/A","#N/A","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","375.3","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","502.4","502.4","502.4","502.4","502.4"
"1949:Q4","#N/A","#N/A","#N/A","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","404.7","491.8","491.8","491.8","491.8","491.8"
"1950:Q1","#N/A","#N/A","#N/A","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","361.0","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","397.9","483.5","483.5","483.5","483.5","483.5"
"1950:Q2","#N/A","#N/A","#N/A","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","366.4","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","404.3","491.4","491.4","491.4","491.4","491.4"
"1950:Q3","#N/A","#N/A","#N/A","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","359.6","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","396.7","482.0","482.0","482.0","482.0","482.0"
"1950:Q4","#N/A","#N/A","#N/A","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","382.5","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","422.3","512.7","512.7","512.7","512.7","512.7"
