"DATE","RIMP65M11","RIMP65M12","RIMP66M1","RIMP66M2","RIMP66M3","RIMP66M4","RIMP66M5","RIMP66M6","RIMP66M7","RIMP66M8","RIMP66M9","RIMP66M10","RIMP66M11","RIMP66M12","RIMP67M1","RIMP67M2","RIMP67M3","RIMP67M4","RIMP67M5","RIMP67M6","RIMP67M7","RIMP67M8","RIMP67M9","RIMP67M10","RIMP67M11","RIMP67M12","RIMP68M1","RIMP68M2","RIMP68M3","RIMP68M4","RIMP68M5","RIMP68M6","RIMP68M7","RIMP68M8","RIMP68M9","RIMP68M10","RIMP68M11","RIMP68M12","RIMP69M1","RIMP69M2","RIMP69M3","RIMP69M4","RIMP69M5","RIMP69M6","RIMP69M7","RIMP69M8","RIMP69M9","RIMP69M10","RIMP69M11","RIMP69M12"
"1947:Q1","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2"
"1947:Q2","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4","10.4"
"1947:Q3","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9"
"1947:Q4","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8"
"1948:Q1","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6"
"1948:Q2","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9"
"1948:Q3","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4"
"1948:Q4","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"1949:Q1","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6","11.6"
"1949:Q2","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8"
