"DATE","RINVCHI65M11","RINVCHI65M12","RINVCHI66M1","RINVCHI66M2","RINVCHI66M3","RINVCHI66M4","RINVCHI66M5","RINVCHI66M6","RINVCHI66M7","RINVCHI66M8","RINVCHI66M9","RINVCHI66M10","RINVCHI66M11","RINVCHI66M12","RINVCHI67M1","RINVCHI67M2","RINVCHI67M3","RINVCHI67M4","RINVCHI67M5","RINVCHI67M6","RINVCHI67M7","RINVCHI67M8","RINVCHI67M9","RINVCHI67M10","RINVCHI67M11","RINVCHI67M12","RINVCHI68M1","RINVCHI68M2","RINVCHI68M3","RINVCHI68M4","RINVCHI68M5","RINVCHI68M6","RINVCHI68M7","RINVCHI68M8","RINVCHI68M9","RINVCHI68M10","RINVCHI68M11","RINVCHI68M12","RINVCHI69M1","RINVCHI69M2","RINVCHI69M3","RINVCHI69M4","RINVCHI69M5","RINVCHI69M6","RINVCHI69M7","RINVCHI69M8","RINVCHI69M9","RINVCHI69M10","RINVCHI69M11","RINVCHI69M12"
"1947:Q1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"1947:Q2","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8","-0.8"
"1947:Q3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3"
"1947:Q4","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2"
"1948:Q1","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4"
"1948:Q2","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7","4.7"
"1948:Q3","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8","5.8"
"1948:Q4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4"
"1949:Q1","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5"
"1949:Q2","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3"
