"DATE","RINVRESID10M1","RINVRESID10M2","RINVRESID10M3","RINVRESID10M4","RINVRESID10M5","RINVRESID10M6","RINVRESID10M7","RINVRESID10M8","RINVRESID10M9","RINVRESID10M10","RINVRESID10M11","RINVRESID10M12","RINVRESID11M1","RINVRESID11M2","RINVRESID11M3","RINVRESID11M4","RINVRESID11M5","RINVRESID11M6","RINVRESID11M7","RINVRESID11M8","RINVRESID11M9","RINVRESID11M10","RINVRESID11M11","RINVRESID11M12","RINVRESID12M1","RINVRESID12M2","RINVRESID12M3","RINVRESID12M4","RINVRESID12M5","RINVRESID12M6","RINVRESID12M7","RINVRESID12M8","RINVRESID12M9","RINVRESID12M10","RINVRESID12M11","RINVRESID12M12","RINVRESID13M1","RINVRESID13M2","RINVRESID13M3","RINVRESID13M4","RINVRESID13M5","RINVRESID13M6","RINVRESID13M7","RINVRESID13M8","RINVRESID13M9","RINVRESID13M10","RINVRESID13M11","RINVRESID13M12","RINVRESID14M1","RINVRESID14M2","RINVRESID14M3","RINVRESID14M4","RINVRESID14M5","RINVRESID14M6","RINVRESID14M7","RINVRESID14M8","RINVRESID14M9","RINVRESID14M10","RINVRESID14M11","RINVRESID14M12","RINVRESID15M1","RINVRESID15M2","RINVRESID15M3","RINVRESID15M4","RINVRESID15M5","RINVRESID15M6","RINVRESID15M7","RINVRESID15M8","RINVRESID15M9","RINVRESID15M10","RINVRESID15M11"
"1947:Q1","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6"
"1947:Q2","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8","111.8"
"1947:Q3","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8"
"1947:Q4","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","147.7","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","148.0","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7","153.7"
"1948:Q1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.1","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7"
"1948:Q2","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5"
"1948:Q3","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.9","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4","155.4"
"1948:Q4","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","138.8","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0"
"1949:Q1","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.5","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4","133.4"
"1949:Q2","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.3","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1","131.1"
