"DATE","RNX10M1","RNX10M2","RNX10M3","RNX10M4","RNX10M5","RNX10M6","RNX10M7","RNX10M8","RNX10M9","RNX10M10","RNX10M11","RNX10M12","RNX11M1","RNX11M2","RNX11M3","RNX11M4","RNX11M5","RNX11M6","RNX11M7","RNX11M8","RNX11M9","RNX11M10","RNX11M11","RNX11M12","RNX12M1","RNX12M2","RNX12M3","RNX12M4","RNX12M5","RNX12M6","RNX12M7","RNX12M8","RNX12M9","RNX12M10","RNX12M11","RNX12M12","RNX13M1","RNX13M2","RNX13M3","RNX13M4","RNX13M5","RNX13M6","RNX13M7","RNX13M8","RNX13M9","RNX13M10","RNX13M11","RNX13M12","RNX14M1","RNX14M2","RNX14M3","RNX14M4","RNX14M5","RNX14M6","RNX14M7","RNX14M8","RNX14M9","RNX14M10","RNX14M11","RNX14M12","RNX15M1","RNX15M2","RNX15M3","RNX15M4","RNX15M5","RNX15M6","RNX15M7","RNX15M8","RNX15M9","RNX15M10","RNX15M11"
"1947:Q1","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3"
"1947:Q2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1"
"1947:Q3","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.5","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9"
"1947:Q4","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.3","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.3","22.3","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.1","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5"
"1948:Q1","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.9","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.0","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4","13.4"
"1948:Q2","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3","4.3"
"1948:Q3","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7","2.7"
"1948:Q4","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4"
"1949:Q1","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0"
"1949:Q2","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","10.9","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3"
"1949:Q3","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7","7.7"
"1949:Q4","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-2.3","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9","-1.9"
