"DATE","ROUTPUT00M1","ROUTPUT00M2","ROUTPUT00M3","ROUTPUT00M4","ROUTPUT00M5","ROUTPUT00M6","ROUTPUT00M7","ROUTPUT00M8","ROUTPUT00M9","ROUTPUT00M10","ROUTPUT00M11","ROUTPUT00M12","ROUTPUT01M1","ROUTPUT01M2","ROUTPUT01M3","ROUTPUT01M4","ROUTPUT01M5","ROUTPUT01M6","ROUTPUT01M7","ROUTPUT01M8","ROUTPUT01M9","ROUTPUT01M10","ROUTPUT01M11","ROUTPUT01M12","ROUTPUT02M1","ROUTPUT02M2","ROUTPUT02M3","ROUTPUT02M4","ROUTPUT02M5","ROUTPUT02M6","ROUTPUT02M7","ROUTPUT02M8","ROUTPUT02M9","ROUTPUT02M10","ROUTPUT02M11","ROUTPUT02M12","ROUTPUT03M1","ROUTPUT03M2","ROUTPUT03M3","ROUTPUT03M4","ROUTPUT03M5","ROUTPUT03M6","ROUTPUT03M7","ROUTPUT03M8","ROUTPUT03M9","ROUTPUT03M10","ROUTPUT03M11","ROUTPUT03M12","ROUTPUT04M1","ROUTPUT04M2","ROUTPUT04M3","ROUTPUT04M4","ROUTPUT04M5","ROUTPUT04M6","ROUTPUT04M7","ROUTPUT04M8","ROUTPUT04M9","ROUTPUT04M10","ROUTPUT04M11","ROUTPUT04M12","ROUTPUT05M1","ROUTPUT05M2","ROUTPUT05M3","ROUTPUT05M4","ROUTPUT05M5","ROUTPUT05M6","ROUTPUT05M7","ROUTPUT05M8","ROUTPUT05M9","ROUTPUT05M10","ROUTPUT05M11","ROUTPUT05M12","ROUTPUT06M1","ROUTPUT06M2","ROUTPUT06M3","ROUTPUT06M4","ROUTPUT06M5","ROUTPUT06M6","ROUTPUT06M7","ROUTPUT06M8","ROUTPUT06M9","ROUTPUT06M10","ROUTPUT06M11","ROUTPUT06M12","ROUTPUT07M1","ROUTPUT07M2","ROUTPUT07M3","ROUTPUT07M4","ROUTPUT07M5","ROUTPUT07M6","ROUTPUT07M7","ROUTPUT07M8","ROUTPUT07M9","ROUTPUT07M10","ROUTPUT07M11","ROUTPUT07M12","ROUTPUT08M1","ROUTPUT08M2","ROUTPUT08M3","ROUTPUT08M4","ROUTPUT08M5","ROUTPUT08M6","ROUTPUT08M7","ROUTPUT08M8","ROUTPUT08M9","ROUTPUT08M10","ROUTPUT08M11","ROUTPUT08M12","ROUTPUT09M1","ROUTPUT09M2","ROUTPUT09M3","ROUTPUT09M4","ROUTPUT09M5","ROUTPUT09M6","ROUTPUT09M7","ROUTPUT09M8","ROUTPUT09M9","ROUTPUT09M10","ROUTPUT09M11","ROUTPUT09M12"
"1947:Q1","#N/A","#N/A","#N/A","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1481.7","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1570.5","1772.2","1772.2","1772.2","1772.2","1772.2"
"1947:Q2","#N/A","#N/A","#N/A","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1489.4","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1568.7","1769.5","1769.5","1769.5","1769.5","1769.5"
"1947:Q3","#N/A","#N/A","#N/A","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1493.1","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1568.0","1768.0","1768.0","1768.0","1768.0","1768.0"
"1947:Q4","#N/A","#N/A","#N/A","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1516.4","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1590.9","1794.8","1794.8","1794.8","1794.8","1794.8"
"1948:Q1","#N/A","#N/A","#N/A","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1537.9","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1616.1","1823.4","1823.4","1823.4","1823.4","1823.4"
"1948:Q2","#N/A","#N/A","#N/A","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1562.0","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1644.6","1856.9","1856.9","1856.9","1856.9","1856.9"
"1948:Q3","#N/A","#N/A","#N/A","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1568.4","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1654.1","1866.9","1866.9","1866.9","1866.9","1866.9"
"1948:Q4","#N/A","#N/A","#N/A","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1571.4","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1658.0","1869.8","1869.8","1869.8","1869.8","1869.8"
"1949:Q1","#N/A","#N/A","#N/A","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1549.4","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1633.2","1843.8","1843.8","1843.8","1843.8","1843.8"
"1949:Q2","#N/A","#N/A","#N/A","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1545.1","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1628.4","1837.1","1837.1","1837.1","1837.1","1837.1"
